,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Justin Anderson,0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
1,Kent Bazemore,0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0
2,Taurean Prince,0,3.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
3,DeAndre' Bembry,0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
4,Miles Plumlee,0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5,John Collins,0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0
6,Dewayne Dedmon,0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,4.0
7,Trae Young,0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
8,Kevin Huerter,0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0
9,Omari Spellman,0,2.0,0.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0
10,Jaylen Adams,0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
11,Alex Len,0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
12,Alex Poythress,0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
13,Vince Carter,0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
14,Isaac Humphries,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,Deyonta Davis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
