,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Justin Anderson,0,24.0,7.0,33.0,17.0,15.0,8.0,3.0,14.0,4.0,1.0,31.0,3.0,0,6.0,14.0,69.0,15.0,8.0,5.0,11.0,36.0,37.0,6.0,24.0,3.0,26.0,28.0,6.0,9.0
1,Kent Bazemore,0,61.0,51.0,89.0,98.0,80.0,66.0,54.0,90.0,46.0,48.0,79.0,26.0,49.0,39.0,76.0,49.0,47.0,34.0,118.0,23.0,41.0,68.0,48.0,21.0,44.0,52.0,30.0,33.0,82.0
2,Taurean Prince,0,72.0,29.0,100.0,81.0,52.0,34.0,0.0,51.0,66.0,27.0,34.0,62.0,63.0,48.0,55.0,38.0,26.0,64.0,92.0,47.0,103.0,90.0,65.0,36.0,55.0,19.0,62.0,54.0,26.0
3,DeAndre' Bembry,0,97.0,70.0,115.0,96.0,68.0,48.0,35.0,53.0,36.0,46.0,97.0,48.0,39.0,55.0,94.0,100.0,69.0,33.0,105.0,53.0,103.0,101.0,34.0,45.0,45.0,40.0,69.0,42.0,95.0
4,Miles Plumlee,0,4.0,0.0,0.0,4.0,7.0,0.0,16.0,17.0,15.0,0.0,12.0,0.0,15.0,19.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,10.0,0.0,0.0,5.0,0.0,14.0,0.0,7.0
5,John Collins,0,122.0,99.0,29.0,97.0,27.0,36.0,33.0,34.0,30.0,64.0,112.0,51.0,34.0,25.0,56.0,97.0,73.0,50.0,58.0,61.0,111.0,98.0,69.0,64.0,25.0,25.0,94.0,54.0,101.0
6,Dewayne Dedmon,0,107.0,59.0,112.0,89.0,16.0,46.0,30.0,70.0,31.0,57.0,60.0,51.0,24.0,21.0,99.0,21.0,48.0,44.0,71.0,17.0,75.0,83.0,58.0,50.0,36.0,0.0,81.0,56.0,97.0
7,Trae Young,0,107.0,87.0,137.0,116.0,103.0,61.0,59.0,91.0,53.0,74.0,115.0,68.0,73.0,58.0,123.0,101.0,74.0,62.0,123.0,61.0,115.0,127.0,68.0,64.0,56.0,62.0,81.0,71.0,114.0
8,Kevin Huerter,0,116.0,88.0,70.0,123.0,70.0,54.0,64.0,63.0,41.0,50.0,130.0,44.0,37.0,40.0,109.0,125.0,56.0,60.0,62.0,62.0,51.0,114.0,34.0,52.0,26.0,55.0,53.0,59.0,139.0
9,Omari Spellman,0,23.0,0.0,53.0,64.0,44.0,16.0,27.0,45.0,22.0,20.0,20.0,25.0,42.0,0.0,43.0,30.0,19.0,0.0,54.0,37.0,43.0,26.0,29.0,15.0,45.0,0.0,15.0,19.0,30.0
10,Jaylen Adams,0,19.0,22.0,38.0,0.0,4.0,3.0,5.0,11.0,0.0,30.0,9.0,0.0,0,23.0,18.0,43.0,5.0,28.0,4.0,15.0,39.0,33.0,14.0,16.0,0.0,35.0,2.0,9.0,0.0
11,Alex Len,0,65.0,57.0,102.0,45.0,83.0,41.0,29.0,62.0,36.0,21.0,76.0,44.0,39.0,49.0,82.0,100.0,9.0,55.0,82.0,54.0,80.0,63.0,32.0,14.0,40.0,57.0,28.0,27.0,71.0
12,Alex Poythress,0,0.0,0.0,26.0,17.0,40.0,6.0,24.0,14.0,21.0,0.0,18.0,0.0,3.0,21.0,31.0,0.0,23.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,0.0,0.0
13,Vince Carter,0,56.0,60.0,80.0,43.0,59.0,40.0,33.0,50.0,35.0,40.0,64.0,21.0,46.0,37.0,64.0,71.0,40.0,35.0,60.0,15.0,55.0,51.0,9.0,31.0,20.0,56.0,51.0,36.0,72.0
14,Isaac Humphries,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
15,Deyonta Davis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.0,35.0,0.0,6.0,0.0,0.0,16.0,18.0,0.0,18.0,0.0,20.0,0.0,0.0,0.0
