,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Justin Anderson,0,41.2,20.0,6.4,-16.8,38.9,3.2,45.2,-32.1,37.5,100.0,-22.8,33.3,0,-50.5,18.8,-9.3,-6.3,7.9,-7.3,-32.0,-21.7,-20.4,-76.5,-31.3,-25.0,-14.0,14.8,15.4,-18.6
1,Kent Bazemore,0,-16.1,-23.4,-9.8,-6.0,-9.7,9.7,-20.0,-14.9,-28.8,-10.9,2.3,-24.8,1.0,-17.7,-5.6,-10.6,-8.4,29.2,-8.4,-21.2,-4.5,-19.2,12.9,-12.8,-14.6,14.3,-37.8,1.3,-7.1
2,Taurean Prince,0,-27.5,14.6,-3.0,-5.8,-16.2,3.9,0.0,-28.2,-11.0,-16.8,13.5,-6.4,0.7,12.5,-3.2,-12.9,28.2,12.1,-16.0,-7.9,-29.8,3.6,10.1,-6.6,-27.6,6.7,-36.5,-4.2,7.6
3,DeAndre' Bembry,0,-16.7,-15.7,9.9,-17.7,3.1,7.2,-30.9,14.5,-7.9,-17.3,-17.3,-4.3,1.0,-9.1,15.3,-9.5,0.7,30.6,-3.5,-0.9,-12.5,2.3,11.4,-20.5,-25.2,-12.0,1.3,-3.9,-10.6
4,Miles Plumlee,0,10.0,0.0,0.0,50.0,8.3,0.0,-60.0,19.4,2.9,0.0,-13.4,0.0,-65.6,-29.2,0.0,0.0,0.0,0.0,14.4,-1.9,0.0,-8.5,0.0,0.0,2.4,0.0,-27.2,0.0,-23.5
5,John Collins,0,-7.3,-16.3,50.4,-2.1,-0.2,4.3,11.1,-8.9,-8.8,-11.6,8.1,-10.9,-4.0,56.0,13.5,-14.6,7.7,2.8,1.6,2.2,-32.4,16.4,20.7,-7.1,-18.3,-28.8,-10.9,1.0,-8.1
6,Dewayne Dedmon,0,-27.6,-16.0,22.4,-8.8,-22.9,2.0,1.8,-3.4,-10.1,-7.3,-5.2,1.3,-14.9,59.6,-1.6,-41.4,9.3,30.9,-19.7,-10.8,-32.3,13.7,10.4,-25.3,-22.6,0.0,-14.5,-5.1,-0.5
7,Trae Young,0,-36.9,-3.5,1.5,-9.0,-8.8,-7.0,-14.2,-10.6,-10.3,-6.1,2.6,0.7,12.2,9.4,9.5,-13.3,12.8,3.8,-7.1,-4.7,-38.2,5.5,7.9,-12.9,-9.0,-22.7,-24.1,-6.7,-9.5
8,Kevin Huerter,0,-16.0,-9.3,-0.2,-9.4,9.6,-4.4,-2.7,-8.2,2.3,-2.1,-3.4,17.1,-7.0,41.8,10.3,-18.0,24.1,-2.9,5.5,10.2,-31.5,15.1,-2.5,-10.9,-25.7,-24.1,-8.7,-15.3,2.4
9,Omari Spellman,0,-40.4,0.0,-25.9,-21.2,-4.7,-5.4,-46.8,-13.8,-15.2,-15.4,-44.7,15.8,7.8,0.0,-4.0,-3.9,-35.6,0.0,0.1,4.9,-2.7,-25.3,-26.1,-9.7,-18.2,0.0,-9.4,4.6,18.0
10,Jaylen Adams,0,47.2,-10.7,-4.5,0.0,32.1,-100.0,-56.7,13.7,0.0,-27.5,-40.0,0.0,0,-8.0,-8.9,-6.0,-57.1,14.3,35.6,-1.9,3.6,-17.2,-19.5,-36.9,0.0,23.4,0.0,-24.0,0.0
11,Alex Len,0,5.6,-2.3,-11.4,11.8,1.4,-1.1,-8.5,-9.3,-20.3,-35.0,11.4,-11.4,37.8,1.4,4.5,-14.2,-27.3,1.1,-10.6,-2.1,-15.2,-22.8,-2.9,-23.3,-30.3,10.5,-6.1,-16.0,-5.8
12,Alex Poythress,0,0.0,0.0,2.1,-23.2,25.6,-84.6,-22.6,7.1,9.2,0.0,-15.7,0.0,-128.6,-12.1,11.9,0.0,-7.4,0.0,-32.9,0.0,0.0,0.0,0.0,0.0,-2.5,-36.5,0.0,0.0,0.0
13,Vince Carter,0,-11.4,-5.9,1.9,-14.1,-11.0,9.6,-18.4,21.8,-19.8,-8.0,-38.4,25.5,0.0,-16.0,13.4,-13.5,28.7,10.8,-6.2,-3.0,-6.5,-27.0,19.0,-8.9,-34.2,-6.7,-12.9,-11.2,-15.8
14,Isaac Humphries,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0,0.0,0.0,-44.9,0.0,0.0,0.0,0.0,0.0,-29.1,0.0,0.0,0.0,2.5,0.0,0.0,0.0
15,Deyonta Davis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-71.4,0.0,0,0.0,0.0,-13.1,0.0,25.0,0.0,0.0,-7.5,0.3,0.0,-24.3,0.0,-16.1,0.0,0.0,0.0
