,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Kyrie Irving,4.0,0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0
1,Marcus Morris,4.0,0,4.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0
2,Terry Rozier,4.0,0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0
3,Al Horford,2.0,0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0
4,Jaylen Brown,4.0,0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
5,Jayson Tatum,4.0,0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0
6,Gordon Hayward,3.0,0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0
7,Semi Ojeleye,4.0,0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0
8,Guerschon Yabusele,1.0,0,3.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0
9,Daniel Theis,4.0,0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0
10,Brad Wanamaker,3.0,0,4.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
11,Robert Williams,2.0,0,3.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0
12,Aron Baynes,4.0,0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0
13,Marcus Smart,4.0,0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
14,PJ Dozier,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,R.J. Hunter,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,Jonathan Gibson,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
