,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Kyrie Irving,18.4,0,11.3,28.4,8.4,47.2,-15.7,-3.2,3.4,13.5,-7.1,17.7,-7.4,0.6,14.4,11.9,5.6,11.6,30.3,8.1,5.0,-2.5,8.5,2.3,-20.2,0.9,-26.2,-2.9,-20.8,13.2
1,Marcus Morris,19.9,0,-13.8,18.9,9.6,29.0,-16.9,-15.8,-2.3,2.5,-13.2,10.4,-21.0,-3.1,-4.1,15.1,-6.1,-2.3,13.6,9.5,17.9,1.8,-2.2,18.7,-2.9,-9.9,-11.9,-5.2,-6.2,11.3
2,Terry Rozier,-1.1,0,-6.2,19.2,12.8,1.1,18.6,-25.6,5.8,24.1,-20.9,8.3,-19.2,28.4,11.5,-24.4,-27.4,11.1,9.6,6.5,-2.4,-9.4,13.4,-23.9,8.1,0.0,-5.1,-4.6,-11.7,-9.6
3,Al Horford,5.1,0,1.2,6.7,21.0,11.0,4.3,-0.9,15.0,13.9,-1.4,18.6,-22.0,-2.8,7.6,10.0,13.8,12.4,14.4,9.9,6.0,-4.6,8.9,23.5,-2.1,15.9,-2.9,-10.1,-23.7,29.8
4,Jaylen Brown,11.6,0,14.5,17.9,17.3,7.4,7.7,7.7,10.4,14.1,-15.8,0.7,-5.2,18.9,13.0,-31.6,-16.5,26.3,28.5,3.4,-11.8,-17.6,5.6,3.1,-1.7,10.5,-23.2,0.2,-19.8,-9.9
5,Jayson Tatum,11.4,0,1.0,14.0,5.2,15.2,5.1,-11.4,7.9,5.9,-11.6,22.3,-18.8,1.1,-2.6,15.7,6.0,12.3,30.4,10.8,18.0,3.6,3.9,14.5,-17.0,3.7,-6.6,-3.8,-14.5,15.0
6,Gordon Hayward,49.5,0,-1.9,24.4,21.2,17.4,10.1,-2.7,7.2,22.1,-19.2,4.6,-18.0,30.3,2.1,-12.6,-1.4,3.7,-23.0,18.7,-7.9,-8.7,17.0,-11.7,5.0,4.8,-5.3,1.3,-18.3,5.7
7,Semi Ojeleye,0.9,0,1.7,60.4,-20.7,36.9,26.7,-126.7,29.3,72.4,0.0,10.2,-38.6,-25.0,-49.1,-58.6,-5.4,11.8,7.3,40.2,48.9,35.7,16.7,-27.0,0.0,12.5,14.3,22.0,-4.9,3.6
8,Guerschon Yabusele,11.1,0,39.5,22.4,-18.4,-7.0,100.0,0.0,-73.5,57.1,22.2,-17.4,15.4,-58.3,17.1,44.4,-33.1,-25.4,-50.0,30.6,0.0,40.0,66.7,-21.7,0.0,0.0,-7.6,0.0,9.5,-39.9
9,Daniel Theis,7.5,0,19.6,34.7,33.9,13.1,34.5,0.0,3.8,43.2,-31.2,13.8,1.9,29.7,-27.1,-9.5,-21.0,30.5,-15.0,3.0,-1.7,-2.8,3.0,-7.9,17.2,-43.4,-14.0,0.0,19.8,-6.0
10,Brad Wanamaker,-27.4,0,20.0,45.7,-41.3,29.1,22.8,0.0,3.0,50.0,0.0,14.3,-20.5,-25.0,0.0,22.7,50.0,-83.3,21.6,100.0,0.0,-98.7,-19.2,0.0,0.0,0.0,50.0,0.0,28.4,13.9
11,Robert Williams,-34.5,0,-24.4,0.0,-54.5,7.5,0.0,8.3,-19.2,0.0,0.0,0.0,-33.9,0.0,0.0,51.4,-5.1,0.0,33.1,0.0,0.0,-43.9,0.0,-29.3,-100.0,57.1,0.0,-16.7,0.0,14.7
12,Aron Baynes,35.5,0,8.9,44.5,-35.8,32.8,-26.5,-14.2,-3.5,-4.0,-3.4,10.3,-55.0,11.7,51.4,-8.2,-11.4,22.6,12.8,14.8,0.0,-18.1,13.9,-7.9,-78.0,-3.3,-25.6,18.9,-1.7,23.9
13,Marcus Smart,11.1,0,-2.8,24.8,12.2,28.9,-6.1,-13.3,4.4,10.4,-14.2,14.2,-30.1,-7.0,27.5,12.5,-6.9,19.0,14.4,10.2,19.3,14.3,1.5,5.7,-5.2,-1.6,-23.1,-15.3,-3.0,10.8
14,PJ Dozier,0.0,0,0.0,0.0,0.0,61.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,12.3
15,R.J. Hunter,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9
16,Jonathan Gibson,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
