,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,D'Angelo Russell,3.0,4.0,0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
1,Rondae Hollis-Jefferson,1.0,1.0,0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0
2,DeMarre Carroll,3.0,3.0,0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0
3,Allen Crabbe,1.0,0.0,0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0
4,Caris LeVert,1.0,1.0,0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
5,Jared Dudley,2.0,2.0,0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0
6,Spencer Dinwiddie,3.0,3.0,0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0
7,Jarrett Allen,3.0,4.0,0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
8,Dzanan Musa,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,Rodions Kurucs,3.0,4.0,0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0
10,Shabazz Napier,2.0,2.0,0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0
11,Ed Davis,3.0,4.0,0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
12,Joe Harris,3.0,3.0,0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
13,Treveon Graham,1.0,3.0,0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0
14,Theo Pinson,0.0,3.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
15,Alan Williams,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
