,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,D'Angelo Russell,86.0,114.0,0,132.0,125.0,135.0,48.0,61.0,74.0,52.0,50.0,86.0,67.0,68.0,81.0,99.0,97.0,58.0,63.0,115.0,64.0,99.0,109.0,58.0,71.0,70.0,69.0,126.0,61.0,112.0
1,Rondae Hollis-Jefferson,23.0,27.0,0,65.0,76.0,72.0,34.0,37.0,30.0,34.0,26.0,20.0,12.0,38.0,38.0,87.0,23.0,46.0,16.0,83.0,22.0,42.0,108.0,29.0,15.0,30.0,18.0,66.0,38.0,76.0
2,DeMarre Carroll,80.0,89.0,0,103.0,108.0,88.0,42.0,43.0,13.0,16.0,35.0,36.0,53.0,58.0,66.0,63.0,123.0,47.0,29.0,48.0,19.0,90.0,63.0,29.0,63.0,45.0,55.0,72.0,39.0,89.0
3,Allen Crabbe,28.0,0.0,0,21.0,48.0,113.0,56.0,37.0,55.0,55.0,26.0,25.0,30.0,0.0,23.0,77.0,0.0,54.0,22.0,75.0,73.0,0.0,79.0,22.0,29.0,0.0,25.0,56.0,26.0,78.0
4,Caris LeVert,21.0,29.0,0,15.0,53.0,82.0,27.0,31.0,101.0,51.0,30.0,55.0,32.0,18.0,0.0,50.0,56.0,17.0,31.0,62.0,19.0,0.0,57.0,32.0,45.0,24.0,27.0,49.0,27.0,20.0
5,Jared Dudley,41.0,41.0,0,40.0,64.0,42.0,26.0,24.0,88.0,39.0,23.0,77.0,26.0,41.0,46.0,54.0,74.0,44.0,47.0,52.0,38.0,0.0,63.0,46.0,42.0,12.0,0.0,30.0,33.0,70.0
6,Spencer Dinwiddie,84.0,75.0,0,58.0,92.0,83.0,48.0,30.0,88.0,45.0,60.0,85.0,61.0,66.0,70.0,109.0,69.0,58.0,54.0,86.0,57.0,58.0,108.0,56.0,41.0,53.0,0.0,84.0,46.0,91.0
7,Jarrett Allen,70.0,109.0,0,113.0,95.0,128.0,47.0,54.0,77.0,52.0,70.0,79.0,58.0,48.0,65.0,70.0,84.0,26.0,59.0,100.0,58.0,80.0,88.0,48.0,48.0,44.0,55.0,111.0,50.0,108.0
8,Dzanan Musa,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
9,Rodions Kurucs,78.0,94.0,0,87.0,87.0,42.0,24.0,17.0,30.0,8.0,30.0,65.0,13.0,42.0,13.0,62.0,90.0,0.0,26.0,48.0,27.0,54.0,45.0,33.0,19.0,56.0,38.0,71.0,17.0,78.0
10,Shabazz Napier,28.0,59.0,0,74.0,30.0,55.0,25.0,27.0,11.0,34.0,25.0,0.0,13.0,0.0,48.0,65.0,61.0,22.0,40.0,47.0,0.0,56.0,42.0,18.0,21.0,12.0,46.0,42.0,16.0,67.0
11,Ed Davis,69.0,75.0,0,71.0,65.0,75.0,40.0,38.0,53.0,35.0,24.0,58.0,37.0,32.0,40.0,64.0,35.0,34.0,37.0,74.0,38.0,62.0,68.0,48.0,47.0,38.0,41.0,65.0,35.0,51.0
12,Joe Harris,90.0,89.0,0,112.0,130.0,107.0,56.0,58.0,101.0,51.0,75.0,93.0,60.0,70.0,29.0,79.0,91.0,68.0,56.0,105.0,64.0,90.0,119.0,61.0,72.0,49.0,64.0,122.0,52.0,81.0
13,Treveon Graham,18.0,68.0,0,68.0,37.0,0.0,0.0,23.0,17.0,0.0,32.0,20.0,19.0,0.0,12.0,42.0,46.0,0.0,0.0,30.0,0.0,75.0,3.0,0.0,17.0,47.0,44.0,57.0,24.0,16.0
14,Theo Pinson,0.0,43.0,0,0.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,19.0,54.0,0.0,0.0,26.0,1.0,11.0,3.0,1.0,0.0,0.0,0.0,13.0,13.0,4.0
15,Alan Williams,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0
