,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,D'Angelo Russell,11.1,-0.8,0,4.8,-14.3,9.6,5.1,3.3,4.6,-2.2,-29.7,-14.2,14.7,10.8,5.4,6.4,-4.1,-7.9,12.1,0.5,-15.0,6.4,-6.1,19.2,-27.6,25.3,4.1,1.4,-21.4,-5.5
1,Rondae Hollis-Jefferson,34.8,-5.2,0,-8.8,-3.6,-15.2,12.3,23.5,1.5,-43.8,-26.9,-17.8,0.0,-4.6,-8.7,9.6,-6.3,-15.8,9.8,5.0,2.9,-3.7,9.4,3.0,-13.7,37.9,7.3,7.3,-7.3,3.0
2,DeMarre Carroll,-0.9,-1.1,0,3.3,3.8,-2.9,38.8,29.1,17.2,-6.9,6.8,2.9,-7.3,17.1,17.2,-6.2,-5.6,-18.8,8.1,-9.3,35.0,8.9,4.7,-2.9,11.1,-17.2,10.9,-18.8,-15.2,0.5
3,Allen Crabbe,-6.6,0.0,0,-39.1,-14.5,4.1,23.5,-4.2,9.6,-14.9,9.7,-4.4,-4.8,0.0,-18.0,0.0,0.0,-13.8,20.4,-0.8,-11.1,0.0,0.2,29.7,-3.4,0.0,19.2,3.3,-10.9,-11.3
4,Caris LeVert,25.3,-14.3,0,12.8,-6.4,19.2,49.7,3.2,13.6,-4.7,-31.0,-10.5,-15.8,-18.3,0.0,-5.0,2.0,0.4,-5.8,-17.0,-5.1,0.0,9.4,13.4,-5.2,-54.8,28.7,9.0,-14.0,-29.8
5,Jared Dudley,-3.0,-12.5,0,11.3,10.6,11.2,-39.5,19.5,5.6,11.6,-31.0,0.0,7.5,3.5,3.6,-14.3,0.3,3.3,-28.2,1.1,20.0,0.0,-11.7,27.4,3.5,93.1,0.0,-4.9,-7.2,1.4
6,Spencer Dinwiddie,5.2,3.9,0,7.4,5.4,6.6,25.9,-4.7,16.5,-37.7,-1.1,-7.1,-27.0,-4.3,2.2,-13.2,-25.9,-0.9,4.9,-3.6,-20.5,-6.3,6.5,18.9,-14.6,6.2,0.0,-19.0,-24.1,-2.7
7,Jarrett Allen,6.5,9.6,0,3.0,-16.4,11.2,2.0,-13.5,17.2,6.8,5.4,-6.2,-14.9,1.0,-7.3,2.7,-21.9,6.0,-20.7,-3.5,-17.6,-7.7,2.2,19.8,-24.1,-7.4,5.3,-10.6,-5.7,0.9
8,Dzanan Musa,0.0,0.0,0,0.0,0.0,-82.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9,-0.4,0.0,0.0,-39.3,0.0,0.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,18.3
9,Rodions Kurucs,24.0,-10.0,0,-11.0,-3.7,12.2,34.1,-2.6,33.5,18.8,5.7,-8.4,-16.9,-0.1,-57.3,0.7,-13.0,0.0,3.1,-10.4,-28.6,-13.7,-1.8,-4.5,5.1,31.8,-7.0,-11.8,-10.7,9.2
10,Shabazz Napier,-3.3,-17.5,0,5.1,19.1,5.0,2.1,17.2,-71.4,-23.6,19.7,0.0,-7.7,0.0,22.7,3.4,-21.2,-10.4,15.8,2.6,0.0,-0.8,5.8,23.5,27.6,0.0,3.0,-6.5,9.2,1.4
11,Ed Davis,16.5,-20.2,0,0.0,3.9,0.0,43.4,30.3,0.1,-34.3,-9.7,-2.6,6.7,23.5,25.3,-3.8,-12.6,-4.1,36.7,7.4,10.7,1.6,-2.0,12.0,21.1,16.0,7.5,-3.6,-25.4,-4.5
12,Joe Harris,7.9,14.7,0,0.7,-11.8,12.2,5.1,-3.9,3.8,8.2,5.5,-3.7,6.3,9.9,5.1,-21.4,-13.8,-11.6,-10.5,4.4,-4.4,-9.8,-6.2,24.4,-29.0,1.9,3.1,-8.9,-15.0,-2.9
13,Treveon Graham,47.6,9.9,0,14.3,5.3,0.0,0.0,-35.1,10.7,0.0,17.0,22.5,-24.9,0.0,4.2,-6.6,-5.7,0.0,0.0,-3.1,0.0,-15.2,0.0,0.0,-11.0,47.7,-1.1,-12.5,-20.4,-23.5
14,Theo Pinson,0.0,-18.2,0,0.0,0.0,-82.1,-27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,-4.3,0.0,0.0,34.8,0.0,-13.0,0.0,-150.0,0.0,0.0,0.0,34.7,3.4,30.0
15,Alan Williams,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,34.3,0.0,0.0,0.0,0.0,-58.3,0.0,0.0,0.0,0.0,0.0,57.1,-10.6,0.0
