,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Robin Lopez,3.0,3.0,4.0,0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
1,Timothe Luwawu-Cabarrot,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,5.0
2,Denzel Valentine,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kris Dunn,3.0,1.0,4.0,0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0
4,Lauri Markkanen,3.0,2.0,4.0,0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
5,Cristiano Felicio,4.0,3.0,2.0,0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0
6,Otto Porter,4.0,1.0,3.0,0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,4.0,3.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0
7,Wayne Selden,4.0,2.0,3.0,0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0,4.0
8,Chandler Hutchison,2.0,2.0,2.0,0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0
9,Wendell Carter Jr.,1.0,2.0,2.0,0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
10,Zach LaVine,4.0,3.0,3.0,0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
11,Antonio Blakeney,3.0,2.0,3.0,0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
12,Ryan Arcidiacono,4.0,3.0,4.0,0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
13,Rawle Alkins,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
14,Shaquille Harrison,4.0,3.0,4.0,0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
15,Brandon Sampson,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
16,Walt Lemon Jr.,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
