,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Robin Lopez,82.0,53.0,66.0,0,17.0,92.0,28.0,19.0,103.0,13.0,8.0,42.0,42.0,35.0,72.0,70.0,110.0,36.0,40.0,78.0,40.0,98.0,106.0,38.0,35.0,37.0,43.0,78.0,35.0,90.0
1,Timothe Luwawu-Cabarrot,35.0,11.0,14.0,3.0,7.0,4.0,2.0,22.0,35.0,18.0,1.0,5.0,16.0,12.0,25.0,0.0,44.0,0.0,19.0,55.0,0.0,5.0,71.0,42.0,21.0,48.0,1.0,61.0,20.0,73.0
2,Denzel Valentine,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kris Dunn,86.0,25.0,129.0,0,32.0,95.0,30.0,30.0,51.0,25.0,0.0,71.0,64.0,64.0,31.0,67.0,33.0,30.0,38.0,0.0,26.0,119.0,26.0,27.0,30.0,40.0,36.0,31.0,52.0,104.0
4,Lauri Markkanen,117.0,55.0,136.0,0,33.0,103.0,0.0,25.0,62.0,26.0,26.0,108.0,59.0,66.0,70.0,67.0,74.0,32.0,41.0,0.0,56.0,131.0,30.0,31.0,32.0,51.0,37.0,56.0,60.0,98.0
5,Cristiano Felicio,51.0,41.0,18.0,0,58.0,4.0,3.0,21.0,30.0,30.0,16.0,29.0,13.0,12.0,18.0,6.0,14.0,6.0,27.0,51.0,6.0,15.0,50.0,34.0,34.0,20.0,0.0,58.0,25.0,56.0
6,Otto Porter,149.0,14.0,100.0,0,0.0,81.0,38.0,0.0,86.0,58.0,37.0,55.0,98.0,33.0,104.0,78.0,102.0,0.0,56.0,67.0,39.0,115.0,88.0,0.0,72.0,46.0,28.0,105.0,0.0,34.0
7,Wayne Selden,82.0,32.0,57.0,0,35.0,75.0,16.0,40.0,49.0,44.0,13.0,30.0,47.0,63.0,40.0,64.0,71.0,10.0,20.0,66.0,0.0,24.0,81.0,54.0,64.0,95.0,18.0,75.0,105.0,70.0
8,Chandler Hutchison,52.0,43.0,29.0,0,41.0,83.0,36.0,63.0,19.0,52.0,43.0,52.0,41.0,27.0,0.0,23.0,39.0,15.0,16.0,16.0,31.0,39.0,3.0,0.0,30.0,6.0,23.0,35.0,25.0,15.0
9,Wendell Carter Jr.,22.0,40.0,46.0,0,48.0,45.0,58.0,38.0,47.0,44.0,69.0,98.0,0.0,28.0,0.0,14.0,48.0,55.0,29.0,22.0,40.0,56.0,20.0,22.0,29.0,29.0,45.0,55.0,30.0,33.0
10,Zach LaVine,152.0,89.0,108.0,0,93.0,100.0,78.0,68.0,108.0,53.0,73.0,141.0,75.0,33.0,69.0,70.0,143.0,64.0,71.0,49.0,36.0,102.0,69.0,70.0,33.0,62.0,35.0,33.0,29.0,64.0
11,Antonio Blakeney,39.0,37.0,20.0,0,31.0,47.0,23.0,23.0,38.0,35.0,14.0,46.0,6.0,11.0,2.0,22.0,36.0,24.0,17.0,37.0,6.0,36.0,45.0,42.0,52.0,12.0,3.0,72.0,27.0,27.0
12,Ryan Arcidiacono,109.0,78.0,77.0,0,59.0,97.0,35.0,42.0,93.0,53.0,44.0,91.0,21.0,51.0,51.0,93.0,113.0,61.0,48.0,67.0,56.0,91.0,98.0,52.0,35.0,46.0,75.0,101.0,38.0,87.0
13,Rawle Alkins,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,39.0,0.0,16.0,0.0,0.0,18.0,0.0,26.0
14,Shaquille Harrison,67.0,71.0,81.0,0,31.0,67.0,13.0,6.0,63.0,36.0,12.0,50.0,26.0,50.0,36.0,58.0,61.0,37.0,26.0,57.0,33.0,74.0,54.0,50.0,45.0,31.0,28.0,106.0,53.0,109.0
15,Brandon Sampson,0.0,0.0,1.0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,31.0,0.0,0.0,49.0,0.0,30.0,0.0,0.0,45.0,17.0,15.0
16,Walt Lemon Jr.,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,31.0,0.0,29.0
