,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Robin Lopez,4.9,-28.7,-9.4,0,-37.5,17.9,-17.9,-15.5,-3.5,37.9,-40.9,-22.2,-7.2,-17.1,23.1,10.7,-5.8,-17.8,10.9,-7.0,-9.8,4.9,-16.6,26.3,-23.9,-19.5,-12.0,-36.0,-10.7,16.7
1,Timothe Luwawu-Cabarrot,-19.4,35.7,28.4,-33.3,-103.6,-58.9,-83.3,-15.2,-40.1,20.7,-300.0,-5.6,-51.8,-21.7,-17.9,0.0,-7.7,0.0,-11.5,-2.8,0.0,-8.3,-24.4,-14.9,-26.0,-10.6,-150.0,-3.8,-40.2,-9.8
2,Denzel Valentine,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kris Dunn,-16.9,-1.5,-0.3,0,-21.3,26.0,2.1,-46.5,-9.7,-82.9,0.0,-1.8,-2.9,-22.3,17.2,-6.9,1.4,-35.0,-11.5,0.0,-28.8,-11.0,7.1,23.6,-7.3,-33.8,4.6,9.3,-23.0,0.8
4,Lauri Markkanen,0.7,-1.4,4.4,0,-16.4,20.3,0.0,-34.5,-10.0,-64.4,-15.4,-11.6,-22.7,-11.6,12.7,6.0,-7.7,-29.3,0.8,0.0,-17.2,-8.1,-9.9,14.3,-11.3,-22.7,23.2,-19.2,-25.8,7.0
5,Cristiano Felicio,8.7,-24.4,15.8,0,6.8,-39.3,-186.7,-3.1,-18.6,-12.2,-10.9,-10.7,8.4,11.6,-50.0,-123.1,-13.1,-20.0,-32.1,-19.0,7.1,-30.5,2.2,12.1,4.6,-14.6,0.0,-3.3,-25.5,-5.4
6,Otto Porter,9.6,-7.4,11.9,0,0.0,-12.1,-6.3,0.0,6.4,-10.9,4.1,-12.0,5.6,-21.2,7.2,-5.3,-8.9,0.0,6.1,5.1,41.3,-3.1,4.2,0.0,-15.0,-29.1,-24.9,14.7,0.0,-10.2
7,Wayne Selden,-31.6,22.6,5.6,0,-18.5,2.7,3.1,-20.0,-26.7,-7.7,-71.6,-6.7,-2.8,-10.1,-9.5,3.4,-20.7,-67.9,-22.0,-7.6,0.0,-7.6,-23.2,18.8,-6.7,3.9,-23.7,-23.3,9.9,-28.9
8,Chandler Hutchison,5.5,-46.8,-30.9,0,-16.5,23.8,-14.6,-10.8,5.0,-37.4,-1.3,10.7,3.5,-1.4,0.0,-13.0,-9.4,-42.9,17.3,-5.9,14.1,14.0,-40.0,0.0,9.0,-9.8,-30.5,-20.5,-23.5,26.2
9,Wendell Carter Jr.,-14.6,-39.7,-4.5,0,-27.8,0.6,12.5,2.6,-35.5,-63.4,-13.7,7.7,0.0,-24.4,0.0,-27.9,-15.5,-25.0,-16.3,22.2,-6.2,-36.4,-41.9,-8.6,-23.8,-11.1,19.8,-12.6,-34.0,-1.6
10,Zach LaVine,-1.6,-16.4,-1.2,0,-19.8,12.2,-7.5,-20.3,-14.9,-61.0,-10.9,1.7,-11.5,-25.5,17.0,-14.4,-7.3,-7.6,-20.0,3.3,13.6,-11.3,-3.0,10.3,-13.3,-32.3,12.5,1.7,-13.4,5.2
11,Antonio Blakeney,10.7,-51.5,-21.0,0,10.1,6.4,-17.9,-6.0,-6.3,10.7,-10.0,1.7,35.7,-53.6,-133.3,-46.1,-24.9,-35.8,8.1,-14.0,7.1,7.5,20.9,2.6,-14.7,3.8,-83.3,-26.8,-17.8,16.9
12,Ryan Arcidiacono,5.0,-10.9,-2.3,0,1.7,6.6,0.2,7.5,-27.6,2.9,-5.4,-7.0,23.4,10.0,10.4,0.4,-12.3,-12.1,4.2,-17.8,-25.2,-3.9,-13.1,9.0,-28.7,-15.4,19.6,-34.1,-21.7,-0.5
13,Rawle Alkins,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.3,0.0,0.0,0.0,0.0,22.4,33.3,0.0,-10.9,0.0,-44.1,0.0,0.0,-2.7,0.0,4.2
14,Shaquille Harrison,-4.8,-23.5,-3.5,0,7.3,-8.7,-26.6,0.0,-11.6,-3.6,4.0,-24.1,-40.7,-12.0,-16.4,24.5,-31.7,-28.2,6.0,-19.8,11.9,17.8,-54.9,13.5,-20.5,-26.2,-35.8,-22.0,-17.5,6.3
15,Brandon Sampson,0.0,0.0,0.0,0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.7,0.0,-3.9,0.0,0.0,0.0,-19.2,0.0,0.0,13.6,0.0,-41.7,0.0,0.0,-6.1,-48.6,21.7
16,Walt Lemon Jr.,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,-23.9,0.0,0.0,0.0,0.0,-9.5,0.0,2.9
