,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Michael Kidd-Gilchrist,3.0,2.0,3.0,3.0,0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0
1,Kemba Walker,4.0,4.0,4.0,3.0,0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
2,Cody Zeller,4.0,2.0,4.0,2.0,0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0
3,Jeremy Lamb,4.0,4.0,4.0,3.0,0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0
4,Frank Kaminsky,2.0,2.0,2.0,1.0,0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0
5,Nicolas Batum,4.0,3.0,4.0,3.0,0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0
6,Bismack Biyombo,1.0,2.0,2.0,2.0,0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0
7,Marvin Williams,4.0,4.0,4.0,3.0,0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
8,Willy Hernangomez,2.0,4.0,2.0,3.0,0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0
9,Malik Monk,4.0,4.0,3.0,3.0,0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0
10,Dwayne Bacon,2.0,4.0,0.0,1.0,0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
11,Miles Bridges,4.0,4.0,4.0,3.0,0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
12,J.P. Macura,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Devonte' Graham,3.0,3.0,1.0,0.0,0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0
14,Tony Parker,2.0,2.0,4.0,3.0,0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0
15,Shelvin Mack,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0
16,Joe Chealey,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
