,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Michael Kidd-Gilchrist,62.0,37.0,55.0,58.0,0,39.0,27.0,32.0,28.0,20.0,10.0,33.0,39.0,18.0,44.0,67.0,65.0,23.0,40.0,49.0,25.0,58.0,58.0,40.0,18.0,56.0,25.0,41.0,46.0,67.0
1,Kemba Walker,141.0,129.0,158.0,98.0,0,131.0,63.0,70.0,149.0,65.0,77.0,103.0,70.0,63.0,76.0,148.0,143.0,66.0,68.0,107.0,69.0,122.0,149.0,65.0,71.0,62.0,79.0,105.0,73.0,144.0
2,Cody Zeller,105.0,52.0,98.0,42.0,0,63.0,25.0,32.0,80.0,37.0,34.0,58.0,23.0,20.0,0.0,79.0,63.0,33.0,0.0,62.0,53.0,77.0,86.0,0.0,21.0,0.0,0.0,15.0,7.0,77.0
3,Jeremy Lamb,120.0,107.0,143.0,78.0,0,126.0,29.0,21.0,117.0,51.0,69.0,97.0,56.0,43.0,44.0,108.0,114.0,59.0,63.0,93.0,61.0,84.0,122.0,24.0,62.0,52.0,52.0,75.0,69.0,115.0
4,Frank Kaminsky,32.0,27.0,24.0,4.0,0,35.0,16.0,16.0,36.0,20.0,22.0,26.0,0.0,24.0,0.0,54.0,25.0,30.0,54.0,29.0,19.0,40.0,25.0,0.0,36.0,0.0,32.0,65.0,26.0,38.0
5,Nicolas Batum,128.0,85.0,150.0,99.0,0,117.0,63.0,60.0,127.0,61.0,41.0,90.0,77.0,27.0,72.0,149.0,141.0,60.0,14.0,93.0,67.0,95.0,94.0,68.0,66.0,54.0,30.0,52.0,31.0,143.0
6,Bismack Biyombo,4.0,22.0,16.0,31.0,0,36.0,38.0,30.0,22.0,19.0,19.0,35.0,30.0,18.0,61.0,25.0,16.0,19.0,27.0,13.0,0.0,38.0,48.0,49.0,39.0,34.0,35.0,24.0,11.0,24.0
7,Marvin Williams,119.0,108.0,148.0,86.0,0,90.0,49.0,67.0,97.0,47.0,33.0,85.0,64.0,42.0,62.0,111.0,129.0,25.0,11.0,100.0,49.0,67.0,88.0,57.0,52.0,62.0,56.0,41.0,57.0,132.0
8,Willy Hernangomez,17.0,65.0,28.0,28.0,0,34.0,18.0,16.0,48.0,23.0,24.0,18.0,14.0,25.0,24.0,31.0,24.0,26.0,29.0,26.0,12.0,41.0,33.0,41.0,13.0,37.0,36.0,41.0,21.0,20.0
9,Malik Monk,63.0,65.0,45.0,68.0,0,68.0,25.0,44.0,44.0,16.0,32.0,44.0,35.0,36.0,43.0,52.0,70.0,37.0,27.0,55.0,23.0,90.0,50.0,35.0,23.0,33.0,18.0,56.0,31.0,29.0
10,Dwayne Bacon,25.0,66.0,0.0,12.0,0,53.0,17.0,0.0,28.0,28.0,35.0,28.0,4.0,50.0,0.0,18.0,20.0,21.0,28.0,0.0,21.0,51.0,79.0,3.0,8.0,1.0,36.0,68.0,5.0,54.0
11,Miles Bridges,76.0,106.0,48.0,65.0,0,80.0,46.0,28.0,101.0,55.0,53.0,50.0,33.0,62.0,15.0,45.0,70.0,51.0,63.0,58.0,39.0,98.0,114.0,31.0,40.0,38.0,54.0,82.0,42.0,55.0
12,J.P. Macura,0.0,0.0,0.0,0.0,0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Devonte' Graham,28.0,51.0,5.0,0.0,0,29.0,45.0,26.0,17.0,15.0,19.0,6.0,13.0,39.0,0.0,0.0,38.0,15.0,34.0,6.0,19.0,61.0,26.0,23.0,7.0,32.0,33.0,39.0,27.0,22.0
14,Tony Parker,41.0,32.0,93.0,49.0,0,57.0,6.0,39.0,66.0,13.0,12.0,36.0,24.0,13.0,39.0,73.0,41.0,15.0,24.0,55.0,23.0,29.0,29.0,45.0,26.0,18.0,19.0,15.0,33.0,40.0
15,Shelvin Mack,25.0,37.0,38.0,0.0,53.0,18.0,18.0,61.0,23.0,60.0,64.0,61.0,52.0,38.0,0.0,54.0,47.0,62.0,38.0,44.0,0.0,12.0,62.0,43.0,38.0,99.0,35.0,49.0,87.0,30.0
16,Joe Chealey,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
