,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Michael Kidd-Gilchrist,25.6,-45.0,-15.1,19.5,0,42.7,-56.9,-19.9,-24.5,-22.0,-40.9,-36.8,-23.5,-11.4,22.7,6.6,9.7,-9.7,-2.4,14.7,-39.2,38.1,-4.6,13.5,-36.6,15.5,16.1,-12.0,-5.3,-5.5
1,Kemba Walker,12.6,-1.4,11.3,17.0,0,11.3,-10.5,-9.7,13.6,-25.2,3.0,4.4,-5.3,-36.4,11.1,-4.1,-2.0,-10.3,-3.4,9.1,-9.7,7.0,-2.7,19.3,-27.2,1.5,16.9,-17.4,-22.2,6.6
2,Cody Zeller,2.7,-1.9,23.3,23.7,0,2.1,-28.0,-3.1,9.6,-9.3,13.8,17.8,-13.2,-56.8,0.0,3.1,-25.2,-23.8,0.0,21.0,-5.0,1.7,12.0,0.0,-57.1,0.0,0.0,-28.2,-33.8,4.5
3,Jeremy Lamb,7.3,-26.3,5.7,9.1,0,7.6,11.4,-22.1,23.1,-12.3,-2.4,13.8,3.6,-32.7,-13.2,-15.4,0.1,-15.6,4.0,13.1,-5.4,1.0,2.5,42.9,-14.0,4.7,21.9,1.7,-7.2,-0.3
4,Frank Kaminsky,24.8,-30.8,-4.6,38.9,0,14.5,-58.4,30.1,11.3,-22.5,-4.2,-1.9,0.0,-15.3,0.0,-6.8,14.4,-5.1,11.3,-18.6,-7.8,-41.1,-1.0,0.0,14.2,0.0,18.5,11.6,-17.9,19.3
5,Nicolas Batum,4.2,-14.6,7.1,30.4,0,8.4,-17.2,7.2,6.9,-12.5,12.4,6.3,-3.9,-46.3,14.0,-6.9,-13.6,-4.6,-63.3,6.6,-7.6,10.1,-10.9,12.5,-13.8,0.7,26.7,-11.7,-10.8,-1.3
6,Bismack Biyombo,-10.0,-19.0,-12.1,14.4,0,10.7,18.4,-3.3,0.5,-38.2,-72.5,-21.0,21.0,-15.6,12.5,-27.7,20.0,-34.2,-15.5,-54.8,0.0,2.1,-24.0,30.5,-7.2,-14.9,19.8,-37.3,-13.1,-16.5
7,Marvin Williams,6.7,-3.8,-2.3,18.6,0,2.1,-7.2,7.2,23.3,-21.9,12.7,11.4,-6.3,-33.0,-4.4,-4.6,-9.4,15.2,-22.7,10.2,-4.2,-2.0,-13.3,15.7,-33.6,-0.7,9.9,-14.6,-15.2,4.2
8,Willy Hernangomez,-0.1,-21.9,-12.3,-53.6,0,32.4,-30.3,-41.9,1.7,-68.1,-18.8,-40.3,-32.1,-10.0,25.8,8.6,-8.8,10.7,1.6,4.0,-3.0,19.1,-18.2,1.3,-10.9,18.1,-1.8,-2.0,-2.1,-4.3
9,Malik Monk,0.6,-7.5,-9.1,-5.3,0,18.7,-54.7,14.8,8.0,-75.0,-13.6,-40.3,-18.6,-11.9,24.1,-7.9,8.2,-0.2,16.4,10.9,-8.5,-0.6,-11.7,-0.9,-19.4,13.1,-17.3,-7.8,20.2,-3.3
10,Dwayne Bacon,-9.0,15.4,0.0,13.5,0,8.8,-31.7,0.0,25.4,-74.3,-15.7,-4.9,37.5,-15.5,0.0,-30.6,-35.7,6.8,-1.2,0.0,0.0,-7.1,8.6,33.3,-31.3,83.3,21.3,-4.7,-38.9,25.1
11,Miles Bridges,6.8,0.7,-1.2,10.1,0,9.5,-16.1,-19.5,4.7,-49.5,-8.5,-28.3,-26.6,-17.4,37.4,8.9,-8.2,0.8,2.3,14.3,3.8,-9.2,-1.2,-9.2,-24.6,10.1,8.4,-10.2,-8.5,9.4
12,J.P. Macura,0.0,0.0,0.0,0.0,0,133.3,-21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Devonte' Graham,-26.8,10.3,-40.0,0.0,0,20.7,-40.9,-1.5,-15.0,3.4,-34.4,-33.3,-47.8,-17.4,0.0,0.0,-21.5,-4.2,11.2,-75.5,25.6,-16.0,1.8,-3.9,-8.1,-11.5,-4.7,11.5,14.1,20.4
14,Tony Parker,26.5,-8.7,6.8,-6.7,0,9.8,-140.0,-8.5,-0.9,-49.7,-88.0,0.3,-41.0,0.3,7.5,15.5,5.0,11.8,-15.3,3.7,-10.6,20.5,-23.4,6.2,-5.2,23.7,-2.7,0.0,1.2,-10.6
15,Shelvin Mack,-28.5,-22.4,-4.8,0.0,-15.7,6.4,-8.2,0.2,-4.4,-37.4,-6.3,-38.7,-6.7,-8.9,0.0,-11.9,-11.7,-8.5,-6.4,-5.7,0.0,-33.1,-14.5,24.1,-40.6,-4.5,8.7,-25.1,7.9,13.8
16,Joe Chealey,0.0,-20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
