,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,John Henson,0,1.0,0,0,1.0,0,0,1.0,0,1.0,0,1.0,1.0,0,1.0,0,0,1.0,0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,0,0
1,Larry Nance Jr.,3.0,3.0,4.0,3.0,4.0,0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0
2,Brandon Knight,0,1.0,2.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,0,2.0,0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0
3,Kevin Love,1.0,1.0,2.0,0,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,0,1.0,1.0,2.0,1.0,0,2.0,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0,1.0
4,Tristan Thompson,2.0,2.0,2.0,1.0,2.0,0,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
5,Jordan Clarkson,3.0,4.0,4.0,4.0,4.0,0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
6,Matthew Dellavedova,1.0,2.0,2.0,4.0,1.0,0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0
7,Marquese Chriss,0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0,1.0,2.0,0,2.0,1.0,2.0,0.0,0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0
8,J.R. Smith,0,0.0,1.0,1.0,2.0,0,0,0.0,2.0,0.0,0,1.0,0.0,0,0.0,0,0,1.0,0,0.0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0,1.0
9,Ante Zizic,2.0,3.0,2.0,4.0,4.0,0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0
10,Cedi Osman,3.0,3.0,4.0,3.0,3.0,0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
11,Collin Sexton,3.0,4.0,4.0,4.0,4.0,0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
12,Channing Frye,1.0,2.0,0,3.0,2.0,0,0,1.0,3.0,1.0,0,3.0,0.0,0,1.0,2.0,2.0,0.0,2.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0
13,David Nwaba,1.0,2.0,3.0,2.0,4.0,0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,0,2.0
14,Jaron Blossomgame,1.0,2.0,0,2.0,1.0,0,1.0,1.0,0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0,0.0,1.0,0,1.0,1.0,0,1.0,1.0,1.0
15,Deng Adel,0,2.0,1.0,2.0,1.0,0,1.0,1.0,0,0.0,0,1.0,1.0,0,0.0,1.0,0,0.0,0,1.0,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,2.0
16,Nik Stauskas,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0
