,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,John Henson,0,10.0,0,0,12.0,0,0,8.0,0,13.0,0,22.0,11.0,0,5.0,0,0,18.0,0,17.0,0,15.0,16.0,0,10.0,20.0,0,11.0,0,0
1,Larry Nance Jr.,70.0,92.0,102.0,81.0,122.0,0,28.0,19.0,73.0,56.0,18.0,100.0,56.0,18.0,54.0,89.0,115.0,38.0,26.0,87.0,58.0,46.0,44.0,60.0,28.0,61.0,61.0,52.0,31.0,111.0
2,Brandon Knight,0,16.0,35.0,0,31.0,18.0,20.0,6.0,49.0,43.0,0,12.0,49.0,4.0,33.0,43.0,55.0,0.0,0,35.0,0,45.0,26.0,47.0,33.0,28.0,70.0,24.0,8.0,6.0
3,Kevin Love,34.0,29.0,60.0,0,0.0,0,32.0,0.0,0,0.0,0,0.0,33.0,0,26.0,31.0,50.0,39.0,0,44.0,0,53.0,0.0,22.0,28.0,0.0,47.0,63.0,0,6.0
4,Tristan Thompson,57.0,46.0,58.0,34.0,56.0,0,0,28.0,51.0,51.0,63.0,57.0,45.0,67.0,0.0,23.0,45.0,76.0,55.0,0.0,66.0,34.0,35.0,21.0,21.0,30.0,22.0,67.0,27.0,61.0
5,Jordan Clarkson,79.0,101.0,124.0,98.0,107.0,0,61.0,43.0,97.0,62.0,53.0,83.0,57.0,54.0,53.0,112.0,120.0,45.0,54.0,91.0,65.0,79.0,78.0,56.0,58.0,61.0,46.0,116.0,50.0,111.0
6,Matthew Dellavedova,20.0,34.0,57.0,63.0,6.0,0,19.0,15.0,38.0,7.0,20.0,60.0,0.0,17.0,41.0,58.0,43.0,10.0,20.0,65.0,0,25.0,22.0,27.0,47.0,8.0,10.0,23.0,18.0,41.0
7,Marquese Chriss,0,12.0,48.0,3.0,16.0,12.0,24.0,0.0,40.0,9.0,0,24.0,18.0,0,18.0,18.0,10.0,0.0,0,35.0,6.0,45.0,8.0,25.0,23.0,20.0,36.0,14.0,2.0,32.0
8,J.R. Smith,0,0.0,18.0,23.0,64.0,0,0,0.0,26.0,0.0,0,6.0,0.0,0,0.0,0,0,4.0,0,0.0,32.0,25.0,0.0,0,0.0,0.0,0,0.0,0,24.0
9,Ante Zizic,6.0,75.0,34.0,91.0,47.0,0,51.0,36.0,43.0,17.0,24.0,47.0,21.0,10.0,51.0,42.0,25.0,15.0,20.0,26.0,30.0,30.0,52.0,40.0,48.0,35.0,17.0,59.0,34.0,55.0
10,Cedi Osman,109.0,103.0,113.0,108.0,96.0,0,51.0,60.0,130.0,66.0,51.0,104.0,68.0,85.0,63.0,133.0,119.0,65.0,66.0,64.0,45.0,111.0,113.0,66.0,48.0,62.0,66.0,125.0,54.0,99.0
11,Collin Sexton,83.0,145.0,133.0,122.0,117.0,0,69.0,58.0,117.0,67.0,62.0,115.0,70.0,69.0,62.0,120.0,128.0,62.0,56.0,99.0,80.0,85.0,97.0,69.0,62.0,72.0,75.0,109.0,60.0,141.0
12,Channing Frye,12.0,23.0,0,26.0,10.0,0,0,15.0,45.0,3.0,0,16.0,0.0,0,17.0,21.0,19.0,0.0,30.0,16.0,0,0.0,19.0,3.0,0.0,4.0,16.0,6.0,31.0,10.0
13,David Nwaba,9.0,41.0,52.0,38.0,63.0,0,31.0,10.0,89.0,23.0,38.0,52.0,43.0,24.0,17.0,23.0,49.0,0.0,0,62.0,13.0,39.0,75.0,33.0,15.0,20.0,37.0,33.0,0,58.0
14,Jaron Blossomgame,23.0,39.0,0,39.0,23.0,0,2.0,19.0,0,3.0,5.0,38.0,0.0,9.0,19.0,39.0,37.0,0.0,5.0,11.0,0,0.0,9.0,0,29.0,17.0,0,30.0,24.0,20.0
15,Deng Adel,0,28.0,0.0,16.0,4.0,0,14.0,5.0,0,0.0,0,25.0,4.0,0,0.0,15.0,0,0.0,0,4.0,0,4.0,17.0,0,0.0,2.0,4.0,2.0,0,51.0
16,Nik Stauskas,5.0,24.0,39.0,16.0,31.0,16.0,47.0,17.0,41.0,44.0,29.0,24.0,56.0,57.0,40.0,25.0,58.0,37.0,21.0,44.0,0,71.0,31.0,45.0,5.0,31.0,47.0,44.0,26.0,44.0
