,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,John Henson,0,-18.2,0,0,12.1,0,0,-60.0,0,9.3,0,-8.3,-37.7,0,-53.0,0,0,29.3,0,-17.1,0,6.1,11.3,0,-30.4,2.4,0,44.6,0,0
1,Larry Nance Jr.,-6.6,-23.0,-3.3,-9.7,-10.1,0,-15.1,-33.7,-28.3,-9.3,-7.7,-11.5,0.0,31.2,-12.4,-20.1,-1.1,-4.3,-47.9,7.2,-20.9,-8.6,-10.2,15.0,-20.8,-21.5,-8.3,-23.3,-40.1,2.3
2,Brandon Knight,0,-30.3,1.8,0,-39.5,-8.0,-24.2,-22.6,-14.6,-15.6,0,-27.3,-30.8,16.7,12.8,-9.4,-19.7,0.0,0,6.0,0,-44.2,-7.3,-21.9,-12.5,5.6,-10.8,35.8,23.3,38.5
3,Kevin Love,-21.9,-31.9,-13.0,0,0.0,0,9.1,0.0,0,0.0,0,0.0,-14.0,0,25.0,-18.1,-7.4,2.1,0,37.4,0,-17.3,0.0,17.4,-16.4,0.0,-16.7,12.8,0,-5.7
4,Tristan Thompson,30.5,-34.4,-14.4,18.2,8.1,0,0,-32.0,-37.5,-37.4,-14.0,-12.2,-23.6,-1.5,0.0,-38.5,-16.2,2.7,-34.5,0.0,-18.3,16.5,21.0,-18.3,-44.1,-44.3,-9.3,-14.5,-35.4,-3.1
5,Jordan Clarkson,-14.6,-15.4,4.4,-11.9,-13.3,0,-15.5,-40.3,-18.7,-17.5,-29.1,-10.3,8.5,7.6,-7.8,-21.1,-3.6,-23.1,-10.4,4.6,-14.8,3.9,-6.1,4.5,-9.3,0.2,-28.5,-3.9,-11.2,4.2
6,Matthew Dellavedova,-20.0,-3.1,-7.6,-8.7,11.1,0,-30.7,-22.8,0.0,-19.0,-39.2,7.7,0.0,-28.4,-1.3,-17.9,-2.2,-13.0,7.9,11.9,0,5.4,-5.1,21.4,11.1,32.7,-69.0,-5.8,2.6,-8.1
7,Marquese Chriss,0,-9.6,-11.4,-50.0,-45.2,-23.1,-33.3,0.0,-43.6,-22.5,0,-43.2,1.8,0,-25.4,-33.6,-40.0,0.0,0,-18.3,53.3,13.6,-6.3,-7.3,2.0,-18.7,-21.7,-2.4,100.0,-27.1
8,J.R. Smith,0,0.0,-11.6,11.0,1.6,0,0,0.0,-0.5,0.0,0,7.1,0.0,0,0.0,0,0,-150.0,0,0.0,-19.5,20.5,0.0,0,0.0,0.0,0,0.0,0,-22.3
9,Ante Zizic,-53.8,-10.3,0.3,-10.7,-21.8,0,7.7,-14.1,31.0,-12.5,-4.3,8.9,0.0,-23.8,9.9,10.0,-5.9,-48.5,27.0,26.8,-6.8,-32.4,-21.7,14.2,-4.1,-5.1,-31.8,16.4,-1.2,-14.2
10,Cedi Osman,8.1,-25.6,-8.8,-19.1,-23.5,0,-0.7,-16.7,-17.2,-20.7,-13.1,-9.8,-11.3,0.0,-9.2,-19.0,-19.7,-7.0,-30.1,7.1,-19.8,-11.4,-13.2,13.1,-28.3,-23.7,-19.0,-7.2,-45.2,-1.6
11,Collin Sexton,-10.6,-22.9,-4.5,-16.1,-8.1,0,-3.3,-22.9,-14.7,-21.1,-1.4,-16.5,-20.1,5.0,-2.3,-20.7,-17.9,-11.1,-45.2,0.5,-8.5,-9.4,-14.6,14.2,-28.6,-27.3,-18.4,-8.6,-24.0,-5.6
12,Channing Frye,-70.0,-2.0,0,-14.4,5.0,0,0,-40.1,-45.4,0.0,0,-13.2,0.0,0,-19.2,-22.4,-59.5,0.0,-34.9,-42.6,0,0.0,-8.4,-128.6,0.0,8.9,15.4,41.7,-21.6,-35.3
13,David Nwaba,-71.2,2.1,4.6,-18.8,0.2,0,-29.7,-21.0,9.2,26.5,15.6,-8.2,-43.4,-6.4,24.8,-23.5,0.0,0.0,0,10.0,-22.2,10.2,11.5,-8.8,-13.1,-28.9,-16.7,-4.7,0,-21.7
14,Jaron Blossomgame,-13.1,-35.5,0,-7.9,-18.9,0,66.7,-25.6,0,0.0,125.0,23.9,0.0,-12.6,2.9,-17.1,2.7,0.0,8.3,-9.5,0,0.0,-25.0,0,-9.3,-5.7,0,-18.2,21.5,21.6
15,Deng Adel,0,-4.2,-200.0,5.9,-89.3,0,-7.3,0.0,0,0.0,0,-22.7,-37.5,0,0.0,-37.0,0,0.0,0,30.0,0,-25.0,-2.8,0,0.0,-33.3,22.2,100.0,0,-2.9
16,Nik Stauskas,-76.4,-31.7,-23.0,25.8,-14.1,-12.3,-2.3,0.3,-19.1,-25.1,-25.9,12.0,-8.9,-12.7,-1.4,-30.0,-16.3,-11.6,-4.3,-12.3,0,-8.4,-10.6,-14.6,-55.6,-26.0,-23.0,30.1,-57.4,-17.7
