,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Kristaps Porzingis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,J.J. Barea,2.0,2.0,1.0,2.0,1.0,0,0,1.0,0,2.0,2.0,0,2.0,3.0,0,0,0,2.0,3.0,1.0,3.0,1.0,0,2.0,2.0,0,1.0,1.0,3.0,1.0
2,Dwight Powell,2.0,1.0,1.0,2.0,2.0,2.0,0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0
3,Dorian Finney-Smith,2.0,2.0,2.0,2.0,2.0,2.0,0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0
4,Courtney Lee,1.0,1.0,3.0,0,2.0,0,0,2.0,0,1.0,2.0,1.0,0,0,3.0,3.0,2.0,1.0,0,0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1.0,2.0
5,Justin Jackson,2.0,0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,6.0,3.0,2.0,4.0,3.0,0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0
6,Tim Hardaway Jr.,3.0,3.0,5.0,0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,0,3.0,0,2.0,3.0,2.0,0,4.0,0,1.0,1.0,2.0,4.0
7,Maxi Kleber,2.0,1.0,2.0,2.0,2.0,2.0,0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0
8,Trey Burke,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,0,2.0,1.0
9,Luka Doncic,2.0,2.0,2.0,2.0,2.0,1.0,0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0
10,Ryan Broekhoff,1.0,0,2.0,1.0,0,1.0,0,2.0,1.0,1.0,2.0,1.0,0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0
11,Kostas Antetokounmpo,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
12,Jalen Brunson,2.0,2.0,1.0,2.0,2.0,2.0,0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0
13,Dirk Nowitzki,0,1.0,1.0,0,2.0,2.0,0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0
14,Daryl Macon,0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,2.0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0
15,Devin Harris,1.0,2.0,2.0,1.0,2.0,2.0,0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,0,4.0,4.0,3.0,3.0,1.0,2.0,1.0
