,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Kristaps Porzingis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,J.J. Barea,36.0,44.0,29.0,41.0,14.0,0,0,21.0,0,41.0,35.0,0,54.0,61.0,0,0,0,43.0,65.0,15.0,63.0,16.0,0,39.0,37.0,0,15.0,16.0,49.0,17.0
2,Dwight Powell,27.0,17.0,32.0,33.0,51.0,54.0,0,78.0,45.0,60.0,89.0,51.0,62.0,49.0,53.0,58.0,37.0,66.0,89.0,35.0,78.0,53.0,40.0,77.0,87.0,80.0,105.0,27.0,78.0,51.0
3,Dorian Finney-Smith,56.0,48.0,53.0,73.0,55.0,62.0,0,75.0,52.0,101.0,121.0,44.0,108.0,63.0,104.0,33.0,59.0,50.0,101.0,52.0,88.0,48.0,40.0,86.0,81.0,54.0,95.0,48.0,81.0,56.0
4,Courtney Lee,10.0,10.0,29.0,0,36.0,0,0,13.0,0,5.0,8.0,18.0,0,0,60.0,19.0,27.0,16.0,0,0,17.0,23.0,28.0,22.0,24.0,3.0,20.0,0,16.0,24.0
5,Justin Jackson,42.0,0,37.0,8.0,45.0,38.0,23.0,68.0,32.0,101.0,55.0,64.0,50.0,66.0,134.0,67.0,29.0,71.0,53.0,0,85.0,68.0,41.0,83.0,78.0,50.0,57.0,25.0,91.0,55.0
6,Tim Hardaway Jr.,104.0,108.0,158.0,0,127.0,79.0,61.0,102.0,31.0,55.0,92.0,138.0,35.0,38.0,60.0,83.0,141.0,0,108.0,0,52.0,92.0,55.0,0,119.0,0,22.0,32.0,53.0,109.0
7,Maxi Kleber,39.0,23.0,40.0,35.0,41.0,52.0,0,47.0,50.0,75.0,71.0,51.0,40.0,25.0,60.0,44.0,41.0,74.0,102.0,30.0,100.0,14.0,46.0,81.0,59.0,76.0,78.0,43.0,48.0,16.0
8,Trey Burke,21.0,62.0,87.0,24.0,29.0,22.0,39.0,18.0,15.0,67.0,20.0,52.0,6.0,19.0,101.0,63.0,64.0,16.0,49.0,0,31.0,59.0,45.0,36.0,79.0,38.0,13.0,0,31.0,20.0
9,Luka Doncic,69.0,60.0,62.0,68.0,61.0,33.0,0,70.0,35.0,125.0,130.0,56.0,96.0,95.0,63.0,64.0,60.0,103.0,126.0,64.0,88.0,58.0,26.0,131.0,133.0,97.0,109.0,71.0,97.0,69.0
10,Ryan Broekhoff,4.0,0,28.0,3.0,0,29.0,0,7.0,27.0,25.0,6.0,9.0,0,3.0,54.0,23.0,19.0,4.0,17.0,5.0,30.0,9.0,38.0,19.0,14.0,53.0,14.0,0.0,14.0,1.0
11,Kostas Antetokounmpo,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0
12,Jalen Brunson,41.0,11.0,20.0,27.0,42.0,59.0,0,94.0,33.0,78.0,95.0,56.0,51.0,14.0,77.0,55.0,54.0,68.0,64.0,14.0,42.0,62.0,45.0,84.0,82.0,88.0,101.0,36.0,61.0,37.0
13,Dirk Nowitzki,0,16.0,19.0,0,21.0,38.0,0,45.0,23.0,46.0,17.0,32.0,42.0,13.0,60.0,44.0,18.0,35.0,35.0,12.0,37.0,19.0,17.0,39.0,27.0,32.0,61.0,10.0,25.0,12.0
14,Daryl Macon,0,0,0,0,0,1.0,0,0,0,5.0,0,3.0,0,0,54.0,0,3.0,0,0,0,0,0,23.0,0,0,0,0,1.0,0,0
15,Devin Harris,16.0,33.0,28.0,18.0,28.0,42.0,0,43.0,40.0,62.0,65.0,32.0,69.0,34.0,76.0,27.0,34.0,16.0,60.0,12.0,58.0,13.0,0,54.0,51.0,50.0,56.0,8.0,29.0,17.0
