,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Kristaps Porzingis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,J.J. Barea,-2.5,-7.9,13.3,30.7,104.0,0,0,-34.9,0,-20.7,25.5,0,-12.8,10.6,0,0,0,16.8,-12.6,-28.1,5.6,40.3,0,2.5,6.5,0,-56.5,-18.9,14.1,24.2
2,Dwight Powell,29.0,-48.7,-20.2,25.4,34.0,22.0,0,-19.7,19.8,15.8,8.1,11.1,-18.9,14.5,-11.3,-20.0,0.8,8.2,-12.7,3.2,8.8,9.3,15.6,-1.9,2.3,-14.1,-11.1,-28.4,10.0,-9.8
3,Dorian Finney-Smith,-10.6,-14.5,-10.1,-3.9,19.8,10.7,0,-10.8,2.2,3.4,-4.4,-22.8,12.3,-2.9,-15.6,-7.6,-23.8,22.1,-13.3,0.9,3.1,12.3,42.7,-14.2,7.7,-13.1,-12.6,0.4,-0.7,3.9
4,Courtney Lee,20.2,-26.1,-37.1,0,12.8,0,0,34.8,0,-47.2,-47.9,-36.3,0,0,-6.4,-4.9,-17.9,29.4,0,0,0.0,-21.0,-18.9,-30.4,15.6,-28.6,-2.3,0,-18.2,31.5
5,Justin Jackson,27.7,0,-19.0,-19.6,-17.5,10.8,2.1,5.6,-5.0,16.5,-18.6,-3.1,-18.5,0.0,3.6,-5.5,-9.0,-4.7,2.8,0,-2.1,20.8,5.5,21.3,11.1,-20.0,-17.5,-55.8,-18.2,-3.7
6,Tim Hardaway Jr.,10.5,-10.7,-3.5,0,-6.1,0.2,-10.0,-0.7,0.0,-26.3,-10.6,-5.1,-1.4,7.2,1.9,-25.7,-12.6,0,-7.4,0,-18.4,-22.2,-22.0,0,-1.6,0,-29.8,-12.3,-27.5,-21.2
7,Maxi Kleber,24.0,16.1,-23.1,25.7,10.7,-9.4,0,-10.6,3.0,-10.8,11.5,9.9,2.5,31.0,-25.7,-0.1,-21.3,-2.2,1.2,1.7,13.7,40.0,18.9,8.3,9.0,-15.9,-7.9,-9.1,24.5,35.3
8,Trey Burke,22.5,9.2,-2.6,2.2,-5.3,25.0,-34.7,-16.4,-51.4,-7.2,-16.3,4.5,-23.1,6.6,-5.7,-11.1,2.5,29.8,-2.5,0,22.3,11.9,-7.2,-5.1,-6.8,14.5,7.4,0,-3.2,-7.1
9,Luka Doncic,-6.5,6.9,-22.3,-4.8,16.7,13.9,0,3.5,1.1,9.1,-3.8,-3.7,-1.8,-15.0,-10.4,-18.9,-28.7,-1.2,-3.7,4.7,5.6,7.6,-35.4,0.1,-4.4,-14.5,-2.5,-5.4,4.6,1.0
10,Ryan Broekhoff,94.4,0,-16.4,-95.0,0,9.4,0,-10.5,25.0,41.4,33.3,44.4,0,83.3,-8.2,1.8,-3.7,-40.0,-5.8,0.0,-10.1,5.9,10.3,-14.6,-6.7,19.3,-7.4,50.0,43.1,33.3
11,Kostas Antetokounmpo,0,0,0,0,0,0,0,0,0,-47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3,0,0,0,0,0
12,Jalen Brunson,5.2,-26.1,-26.2,31.4,6.8,7.0,0,5.8,-29.0,23.6,6.4,3.5,-12.6,69.0,-10.3,-7.0,-29.5,-7.0,-12.6,14.8,-4.8,7.2,19.4,-6.4,-8.8,-24.4,-14.9,-10.3,6.7,-5.7
13,Dirk Nowitzki,0,-57.1,-33.8,0,56.4,19.5,0,-29.2,23.5,7.3,-40.6,-13.3,-9.3,-18.9,-17.2,-21.9,31.6,-1.4,-12.4,-4.3,9.0,-8.3,34.3,11.5,-39.3,11.7,-6.0,-4.8,-7.7,-2.8
14,Daryl Macon,0,0,0,0,0,-33.3,0,0,0,-47.2,0,33.3,0,0,-10.2,0,0.0,0,0,0,0,0,8.2,0,0,0,0,100.0,0,0
15,Devin Harris,-1.7,-1.1,-38.5,45.0,45.9,12.2,0,-39.6,25.7,-7.9,4.5,-20.9,-15.0,-25.6,-27.2,-5.4,-9.1,29.8,-1.6,42.2,-5.6,41.7,0,0.0,-7.3,6.8,-14.8,-21.3,17.5,-8.8
