,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Trey Lyles,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0
1,Malik Beasley,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0
2,Jamal Murray,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0,1.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0
3,Juan Hernangomez,2.0,1.0,2.0,1.0,2.0,1.0,3.0,0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,0.0
4,Tyler Lydon,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
5,Paul Millsap,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0
6,Mason Plumlee,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0
7,Gary Harris,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0
8,Michael Porter Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Torrey Craig,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0
10,Nikola Jokic,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0
11,Will Barton,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,2.0
12,Jarred Vanderbilt,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
13,Isaiah Thomas,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
14,Thomas Welsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
15,Monte Morris,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0
16,Brandon Goodwin,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
