,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Trey Lyles,66.0,23.0,43.0,41.0,33.0,44.0,21.0,0,29.0,49.0,60.0,9.0,59.0,46.0,64.0,22.0,36.0,34.0,52.0,12.0,62.0,37.0,40.0,47.0,40.0,38.0,38.0,26.0,40.0,10.0
1,Malik Beasley,47.0,40.0,54.0,64.0,55.0,55.0,74.0,0,31.0,84.0,98.0,33.0,95.0,64.0,46.0,64.0,44.0,80.0,97.0,52.0,67.0,46.0,56.0,99.0,92.0,75.0,103.0,42.0,82.0,39.0
2,Jamal Murray,47.0,67.0,72.0,73.0,68.0,48.0,111.0,0,38.0,109.0,90.0,64.0,119.0,101.0,73.0,65.0,71.0,105.0,99.0,65.0,139.0,82.0,36.0,134.0,105.0,87.0,126.0,79.0,127.0,48.0
3,Juan Hernangomez,71.0,24.0,28.0,18.0,56.0,29.0,46.0,0,22.0,50.0,79.0,16.0,73.0,33.0,67.0,11.0,59.0,51.0,60.0,26.0,69.0,69.0,26.0,86.0,64.0,41.0,73.0,57.0,54.0,0.0
4,Tyler Lydon,7.0,0.0,0.0,4.0,1.0,10.0,1.0,0,9.0,9.0,1.0,0.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,6.0,10.0,3.0,2.0,0.0,2.0,0.0
5,Paul Millsap,25.0,55.0,27.0,58.0,46.0,44.0,69.0,0,40.0,83.0,98.0,61.0,86.0,91.0,49.0,50.0,60.0,114.0,119.0,54.0,83.0,57.0,17.0,100.0,94.0,75.0,51.0,30.0,93.0,66.0
6,Mason Plumlee,32.0,38.0,43.0,40.0,39.0,42.0,79.0,0,55.0,82.0,72.0,40.0,79.0,51.0,76.0,42.0,31.0,79.0,71.0,47.0,84.0,41.0,58.0,77.0,95.0,72.0,94.0,45.0,76.0,51.0
7,Gary Harris,27.0,67.0,36.0,57.0,26.0,45.0,48.0,0,36.0,83.0,92.0,55.0,56.0,66.0,64.0,0.0,65.0,103.0,132.0,46.0,53.0,25.0,25.0,56.0,88.0,57.0,57.0,9.0,104.0,63.0
8,Michael Porter Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Torrey Craig,36.0,24.0,32.0,46.0,47.0,45.0,20.0,0,35.0,94.0,72.0,21.0,64.0,51.0,65.0,59.0,0.0,52.0,19.0,37.0,106.0,30.0,44.0,87.0,75.0,64.0,100.0,56.0,83.0,39.0
10,Nikola Jokic,58.0,63.0,67.0,58.0,68.0,50.0,95.0,0,59.0,112.0,117.0,64.0,110.0,91.0,99.0,76.0,62.0,129.0,122.0,63.0,132.0,58.0,69.0,102.0,106.0,91.0,135.0,70.0,114.0,65.0
11,Will Barton,0.0,32.0,19.0,0.0,0.0,21.0,55.0,0,63.0,74.0,53.0,59.0,59.0,33.0,36.0,32.0,0.0,96.0,58.0,32.0,57.0,0.0,64.0,61.0,60.0,32.0,56.0,0.0,88.0,49.0
12,Jarred Vanderbilt,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0,0.0,9.0,5.0,9.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,12.0,0.0,5.0,0.0,3.0,0.0
13,Isaiah Thomas,0.0,7.0,0.0,0.0,0.0,0.0,16.0,0,0.0,25.0,0.0,0.0,24.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,24.0,13.0,16.0,0.0,11.0,0.0
14,Thomas Welsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0
15,Monte Morris,60.0,39.0,50.0,41.0,40.0,42.0,75.0,0,58.0,80.0,119.0,48.0,87.0,69.0,79.0,52.0,53.0,112.0,114.0,43.0,82.0,46.0,40.0,98.0,95.0,64.0,95.0,60.0,81.0,49.0
16,Brandon Goodwin,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0,6.0,9.0,5.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
