,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Trey Lyles,3.4,22.2,-25.3,-3.8,-4.3,8.1,18.5,0,-27.7,11.3,-10.8,-47.6,-5.1,20.3,6.8,-37.6,13.4,-7.0,-17.6,-41.3,7.4,20.1,-10.6,-2.1,-4.7,-4.9,13.9,-2.3,41.1,0.5
1,Malik Beasley,-2.9,21.3,3.9,20.4,-2.9,16.6,19.2,0,-29.4,-24.3,-7.9,-36.2,11.9,17.4,15.5,5.6,-3.4,-12.5,-5.4,11.8,8.8,17.5,1.0,-1.4,6.9,-10.7,3.2,21.1,13.0,18.2
2,Jamal Murray,11.5,2.2,-9.5,23.5,1.4,40.6,4.2,0,13.0,-26.7,-22.6,-6.3,12.9,12.7,5.1,18.2,-8.9,20.4,-5.6,14.9,12.5,24.5,-1.2,22.7,-0.6,11.8,0.7,9.7,-8.7,-8.1
3,Juan Hernangomez,30.0,-0.4,-17.5,13.9,-9.3,37.5,8.0,0,-31.5,2.8,-2.9,-61.1,-1.4,11.9,3.3,-9.8,-10.0,22.3,-13.6,-13.6,12.8,11.9,-6.2,-11.1,-1.8,7.9,-7.6,-3.4,29.7,0.0
4,Tyler Lydon,68.8,0.0,0.0,-48.9,0.0,-45.5,-250.0,0,-45.8,11.7,-150.0,0.0,16.1,72.2,-100.0,0.0,0.0,0.0,0.0,0.0,-50.0,-20.9,0.0,91.7,1.0,-145.2,57.1,0.0,-100.0,0.0
5,Paul Millsap,69.1,3.6,-5.4,31.0,9.0,34.9,12.2,0,13.8,-18.9,-6.4,-10.8,23.9,11.5,-2.1,8.2,-17.8,20.5,-1.2,32.2,7.9,10.2,25.0,36.7,0.0,22.0,10.8,6.8,-23.5,5.1
6,Mason Plumlee,-7.3,19.4,-2.2,6.5,-9.9,35.9,13.3,0,-9.8,-15.5,-3.3,-17.9,14.5,10.9,-2.1,29.8,27.3,11.6,-11.0,10.7,-3.2,17.6,-0.9,2.0,10.0,8.9,-7.5,14.2,-4.0,4.8
7,Gary Harris,59.9,9.8,3.8,4.8,46.2,33.0,-7.3,0,-5.6,-0.4,-16.0,-1.7,15.8,7.5,-1.7,0.0,-22.1,13.1,3.2,19.7,4.5,10.5,35.4,48.4,-4.1,15.8,24.5,-15.8,-10.0,-10.3
8,Michael Porter Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Torrey Craig,-11.1,14.6,-29.1,22.4,6.3,21.3,-18.9,0,-8.8,-5.5,-7.6,-37.8,15.5,10.6,-20.7,0.0,0.0,-8.7,-15.7,-3.0,6.5,0.3,11.0,30.8,7.0,19.7,6.2,3.1,-2.9,25.2
10,Nikola Jokic,22.7,4.1,4.7,25.8,7.7,37.4,2.4,0,-20.5,-26.2,-10.1,-10.1,0.8,11.0,5.9,16.0,-23.5,7.8,4.3,17.3,19.5,17.2,10.0,22.2,9.1,15.9,6.0,10.8,-11.7,-7.9
11,Will Barton,0.0,2.8,-17.7,0.0,0.0,12.5,-7.1,0,-10.7,-42.2,-12.7,-10.4,19.8,37.9,12.7,24.2,0.0,6.3,-8.1,26.7,18.1,0.0,2.7,27.1,-10.5,-1.6,10.1,0.0,-3.4,-17.9
12,Jarred Vanderbilt,0.0,0.0,-5.0,0.0,0.0,0.0,-250.0,0,0.0,71.6,-32.6,-49.0,40.5,-100.0,0.0,-66.7,0.0,35.7,0.0,-14.3,-50.0,0.0,0.0,75.0,0.4,0.0,-18.2,0.0,90.5,0.0
13,Isaiah Thomas,0.0,-55.1,0.0,0.0,0.0,0.0,-8.6,0,0.0,38.2,0.0,0.0,19.2,-24.5,0.0,0.0,0.0,0.0,-15.0,0.0,-21.1,0.0,0.0,0.0,-16.0,11.5,-15.7,0.0,-40.0,0.0
14,Thomas Welsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.3,0.0,0.0,3.9,-100.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0,-9.8,0.0,33.3,0.0,-82.2,87.5,0.0,0.0,0.0
15,Monte Morris,8.5,20.0,15.0,7.6,8.1,8.7,19.8,0,-20.0,-8.4,-5.4,-33.5,-4.3,10.6,11.8,12.5,16.9,11.3,2.7,6.7,9.7,10.8,-6.4,-12.0,8.6,11.4,5.8,5.3,4.0,8.6
16,Brandon Goodwin,0.0,0.0,0.0,-48.9,0.0,-9.5,0.0,0,20.9,11.7,7.6,0.0,23.8,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,-200.0,0.0,0.0,65.0,0.0,0.0,0.0
