,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Reggie Jackson,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
1,Jon Leuer,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0
2,Ish Smith,2.0,3.0,3.0,4.0,2.0,4.0,0.0,2.0,0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0
3,Andre Drummond,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
4,Thon Maker,2.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,4.0,0.0,1.0,3.0,4.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0
5,Luke Kennard,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
6,Langston Galloway,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0
7,Blake Griffin,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0
8,Bruce Brown,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
9,Glenn Robinson III,1.0,2.0,3.0,4.0,1.0,4.0,1.0,0.0,0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0
10,Jose Calderon,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0
11,Sviatoslav Mykhailiuk,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,4.0,1.0,1.0,1.0
12,Zaza Pachulia,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,0.0,3.0
13,Khyri Thomas,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
14,Kalin Lucas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,Isaiah Whitehead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Wayne Ellington,3.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,5.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0
