,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Reggie Jackson,87.0,109.0,89.0,102.0,109.0,90.0,71.0,53.0,0,48.0,57.0,105.0,76.0,61.0,54.0,119.0,107.0,53.0,56.0,112.0,55.0,105.0,128.0,55.0,62.0,53.0,53.0,84.0,55.0,82.0
1,Jon Leuer,10.0,21.0,5.0,18.0,12.0,3.0,0.0,7.0,0,0.0,17.0,22.0,5.0,16.0,14.0,7.0,46.0,6.0,28.0,4.0,9.0,1.0,63.0,0.0,0.0,29.0,11.0,7.0,23.0,19.0
2,Ish Smith,40.0,73.0,89.0,98.0,54.0,89.0,0.0,38.0,0,48.0,51.0,69.0,12.0,19.0,26.0,72.0,15.0,27.0,0.0,58.0,42.0,75.0,62.0,41.0,34.0,0.0,19.0,65.0,19.0,19.0
3,Andre Drummond,101.0,128.0,99.0,127.0,148.0,139.0,75.0,55.0,0,68.0,72.0,145.0,64.0,69.0,77.0,106.0,131.0,81.0,35.0,127.0,50.0,137.0,127.0,63.0,77.0,31.0,74.0,97.0,73.0,71.0
4,Thon Maker,33.0,34.0,32.0,66.0,26.0,80.0,4.0,24.0,45.0,38.0,3.0,98.0,0.0,16.0,26.0,51.0,0.0,26.0,15.0,69.0,17.0,21.0,0.0,37.0,65.0,10.0,32.0,69.0,18.0,19.0
5,Luke Kennard,26.0,58.0,44.0,59.0,64.0,56.0,36.0,54.0,0,28.0,0.0,73.0,30.0,39.0,56.0,96.0,78.0,48.0,47.0,65.0,28.0,69.0,66.0,25.0,48.0,46.0,47.0,63.0,37.0,50.0
6,Langston Galloway,54.0,57.0,66.0,96.0,84.0,102.0,35.0,47.0,0,54.0,47.0,84.0,28.0,47.0,45.0,85.0,76.0,48.0,64.0,71.0,52.0,88.0,98.0,48.0,55.0,25.0,26.0,77.0,24.0,62.0
7,Blake Griffin,88.0,137.0,102.0,126.0,137.0,100.0,79.0,61.0,0,67.0,82.0,67.0,82.0,71.0,57.0,141.0,137.0,72.0,76.0,103.0,65.0,142.0,119.0,66.0,35.0,38.0,72.0,114.0,75.0,110.0
8,Bruce Brown,54.0,53.0,62.0,49.0,70.0,46.0,38.0,27.0,0,33.0,25.0,84.0,49.0,39.0,39.0,50.0,73.0,32.0,41.0,79.0,40.0,67.0,68.0,34.0,42.0,50.0,53.0,32.0,49.0,71.0
9,Glenn Robinson III,19.0,20.0,44.0,43.0,22.0,63.0,1.0,0.0,0,15.0,26.0,13.0,0.0,2.0,10.0,49.0,28.0,13.0,15.0,57.0,33.0,27.0,36.0,15.0,19.0,9.0,7.0,23.0,0.0,1.0
10,Jose Calderon,40.0,46.0,16.0,7.0,48.0,12.0,24.0,6.0,0,1.0,0.0,23.0,8.0,13.0,17.0,23.0,57.0,23.0,40.0,22.0,9.0,32.0,48.0,0.0,0.0,38.0,23.0,6.0,23.0,32.0
11,Sviatoslav Mykhailiuk,0.0,0.0,6.0,16.0,18.0,10.0,6.0,24.0,3.0,23.0,20.0,12.0,0.0,0.0,23.0,21.0,0.0,23.0,0.0,21.0,26.0,19.0,28.0,45.0,0.0,12.0,41.0,10.0,7.0,28.0
12,Zaza Pachulia,39.0,34.0,35.0,41.0,30.0,34.0,21.0,24.0,0,26.0,12.0,43.0,25.0,9.0,7.0,66.0,30.0,5.0,42.0,56.0,31.0,60.0,58.0,17.0,16.0,35.0,9.0,29.0,0.0,43.0
13,Khyri Thomas,4.0,0.0,8.0,9.0,0.0,12.0,2.0,8.0,0,0.0,0.0,4.0,4.0,0.0,0.0,12.0,40.0,3.0,0.0,29.0,1.0,1.0,3.0,0.0,0.0,31.0,0.0,0.0,10.0,12.0
14,Kalin Lucas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
15,Isaiah Whitehead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Wayne Ellington,77.0,33.0,81.0,104.0,33.0,54.0,0.0,29.0,7.0,20.0,5.0,139.0,0.0,66.0,43.0,50.0,8.0,22.0,34.0,49.0,35.0,54.0,26.0,31.0,48.0,0.0,61.0,84.0,54.0,50.0
