,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Reggie Jackson,18.0,-7.1,-4.7,14.4,-9.0,5.8,21.0,11.2,0,-0.9,8.7,-14.4,8.5,1.5,7.4,-7.7,-16.4,15.2,-7.0,24.0,-16.2,1.9,-4.5,3.4,4.8,-19.6,-9.2,-1.7,-6.4,17.5
1,Jon Leuer,-52.1,-4.5,4.4,-2.6,18.6,-30.0,0.0,-25.0,0,0.0,-21.2,-42.2,-97.8,-32.1,-39.9,-66.7,-8.4,-38.9,13.1,-135.6,11.1,100.0,-7.6,0.0,0.0,23.0,3.4,46.3,-33.3,-8.8
2,Ish Smith,-14.0,-28.3,-10.9,24.3,-11.9,35.1,0.0,17.7,0,1.6,0.9,-8.5,-46.6,-19.4,15.6,1.7,-18.6,47.0,0.0,29.3,-33.4,12.0,-6.2,30.5,-6.5,0.0,5.6,7.5,11.3,-2.6
3,Andre Drummond,10.9,-0.4,-22.8,22.5,-8.2,21.1,2.9,23.6,0,-12.1,21.6,-11.9,15.5,13.1,17.9,4.4,-16.7,10.5,-7.5,27.1,-24.0,-3.1,-4.5,5.3,11.6,-28.1,-22.0,7.5,0.6,21.8
4,Thon Maker,-32.4,-12.5,-1.5,18.1,-44.5,-8.9,14.3,-51.4,13.4,-1.1,-56.7,-1.5,0.0,-19.3,-24.4,-5.1,0.0,16.4,38.9,30.8,-35.8,-16.1,0.0,19.7,8.0,40.7,-0.1,13.6,16.7,-0.3
5,Luke Kennard,-41.9,17.1,-25.8,30.8,-16.1,19.9,-11.9,32.5,0,-5.1,0.0,-21.2,-47.1,-6.9,5.7,6.4,-14.1,30.4,14.4,25.7,-17.2,12.5,-0.3,36.3,-4.5,-0.5,-40.4,2.7,-16.5,-26.5
6,Langston Galloway,6.2,-24.1,-11.0,22.2,-1.2,1.5,-12.4,-6.1,0,4.6,6.2,-23.9,-18.9,9.8,3.6,1.1,-15.0,28.4,9.9,23.8,-21.9,12.8,-4.4,30.3,3.4,-13.5,-36.5,14.9,-11.0,5.5
7,Blake Griffin,22.6,-7.8,-12.3,22.4,-13.0,30.6,8.0,19.1,0,-8.3,1.9,-11.3,8.6,-4.3,2.8,-3.2,-14.5,16.6,-0.4,13.8,-20.0,0.2,-6.6,7.4,-2.7,-18.9,-12.3,-0.4,-2.0,1.3
8,Bruce Brown,0.1,5.9,5.4,-2.8,-2.2,29.8,24.8,-11.1,0,-12.5,53.7,-4.0,13.4,3.7,27.2,-22.5,-27.2,-25.5,-7.5,36.6,-8.8,10.8,-26.1,7.4,-2.4,-3.0,2.7,-1.5,0.1,19.3
9,Glenn Robinson III,36.8,-5.2,16.0,5.2,-50.6,12.1,-16.7,0.0,0,17.9,1.9,-64.2,0.0,40.0,4.7,18.5,-37.1,33.5,-52.5,9.0,-14.5,-18.0,-7.9,-26.4,2.8,38.3,-17.9,-2.2,0.0,50.0
10,Jose Calderon,-12.0,17.3,5.6,-19.6,-10.8,-51.5,-62.7,-20.9,0,-150.0,300.0,-56.3,-37.5,-6.9,-9.7,-23.9,-6.7,-23.5,16.1,-53.1,11.1,26.9,-31.1,0.0,0.0,6.6,-42.2,-25.0,-24.5,-28.4
11,Sviatoslav Mykhailiuk,0.0,0.0,30.1,-3.0,1.2,5.3,-109.1,-29.8,-123.8,25.0,13.7,-59.2,0.0,0.0,47.7,-33.8,0.0,-22.0,0.0,-13.4,15.1,20.8,1.7,3.2,0.0,-8.8,-8.6,35.3,30.8,17.2
12,Zaza Pachulia,-1.0,-23.5,23.2,-1.9,-10.7,-5.7,-5.1,7.9,0,34.8,-53.0,-28.7,-19.6,-43.8,-42.9,-8.0,-12.9,45.0,16.5,-4.3,-10.5,26.6,-10.3,48.8,-40.2,-13.4,20.2,-6.4,0.0,-35.4
13,Khyri Thomas,-100.0,0.0,-28.6,-12.7,0.0,-24.5,60.0,29.8,0,0.0,0.0,-46.4,55.6,0.0,0.0,-39.1,-7.4,-51.8,0.0,-14.5,-33.3,100.0,116.7,0.0,0.0,21.0,0.0,0.0,-38.9,-14.4
14,Kalin Lucas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.5
15,Isaiah Whitehead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Wayne Ellington,12.9,-7.4,-13.2,-3.8,-16.7,16.7,0.0,13.8,-35.4,-11.3,114.3,-11.8,0.0,-1.5,24.9,-7.5,-33.3,-6.5,-8.2,39.6,3.8,-12.0,13.1,10.0,6.6,0.0,3.9,-12.0,2.7,-8.3
