,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Klay Thompson,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,0,4.0,4.0,4.0,3.0,2.0,3.0,2.0
1,Draymond Green,0.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,0,4.0,1.0,4.0,4.0,3.0,2.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0
2,Damian Jones,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Jordan Bell,2.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0
4,Stephen Curry,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0
5,Andre Iguodala,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0
6,Shaun Livingston,2.0,1.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0
7,Quinn Cook,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0
8,Jacob Evans,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
9,DeMarcus Cousins,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
10,Kevin Durant,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0
11,Kevon Looney,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0
12,Jonas Jerebko,2.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0
13,Damion Lee,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0
14,Marcus Derrickson,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alfonzo McKinnie,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0
16,Andrew Bogut,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
