,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Klay Thompson,70.0,35.0,64.0,52.0,64.0,68.0,131.0,126.0,73.0,0,146.0,60.0,148.0,125.0,116.0,75.0,68.0,152.0,73.0,67.0,100.0,76.0,0,122.0,138.0,150.0,105.0,78.0,105.0,65.0
1,Draymond Green,0.0,59.0,36.0,46.0,64.0,36.0,93.0,131.0,35.0,0,122.0,29.0,133.0,105.0,80.0,58.0,0.0,137.0,88.0,66.0,67.0,39.0,70.0,118.0,107.0,97.0,60.0,25.0,104.0,61.0
2,Damian Jones,18.0,0.0,31.0,14.0,0.0,0.0,22.0,19.0,20.0,0,18.0,0.0,14.0,0.0,11.0,0.0,23.0,17.0,11.0,14.0,48.0,16.0,0,20.0,10.0,21.0,23.0,11.0,18.0,12.0
3,Jordan Bell,30.0,23.0,37.0,32.0,12.0,30.0,28.0,25.0,25.0,0,48.0,26.0,12.0,28.0,61.0,19.0,38.0,18.0,26.0,17.0,24.0,26.0,16.0,24.0,45.0,31.0,27.0,31.0,9.0,21.0
4,Stephen Curry,29.0,69.0,36.0,52.0,63.0,70.0,76.0,134.0,72.0,0,111.0,56.0,98.0,129.0,100.0,71.0,62.0,146.0,81.0,65.0,70.0,37.0,74.0,132.0,110.0,111.0,66.0,33.0,110.0,67.0
5,Andre Iguodala,47.0,40.0,41.0,26.0,32.0,22.0,98.0,86.0,21.0,0,111.0,49.0,80.0,74.0,60.0,25.0,44.0,70.0,43.0,47.0,59.0,28.0,53.0,90.0,66.0,88.0,45.0,36.0,45.0,51.0
6,Shaun Livingston,34.0,15.0,0.0,9.0,26.0,24.0,51.0,38.0,30.0,0,66.0,29.0,63.0,44.0,29.0,31.0,19.0,30.0,32.0,9.0,48.0,35.0,31.0,48.0,47.0,20.0,47.0,32.0,49.0,31.0
7,Quinn Cook,47.0,17.0,30.0,37.0,25.0,32.0,48.0,41.0,19.0,0,49.0,40.0,48.0,41.0,70.0,25.0,19.0,25.0,29.0,18.0,61.0,42.0,21.0,49.0,60.0,63.0,53.0,35.0,10.0,7.0
8,Jacob Evans,4.0,17.0,11.0,16.0,0.0,3.0,14.0,7.0,1.0,0,11.0,0.0,0.0,8.0,35.0,0.0,0.0,1.0,38.0,8.0,7.0,0.0,0,8.0,5.0,1.0,0.0,6.0,0.0,4.0
9,DeMarcus Cousins,0.0,48.0,0.0,0.0,42.0,0.0,23.0,57.0,0.0,0,58.0,51.0,38.0,70.0,32.0,27.0,0.0,26.0,35.0,0.0,27.0,32.0,54.0,55.0,0.0,27.0,17.0,0.0,28.0,24.0
10,Kevin Durant,70.0,70.0,70.0,56.0,63.0,71.0,140.0,126.0,75.0,0,110.0,58.0,140.0,130.0,119.0,76.0,68.0,148.0,78.0,66.0,72.0,40.0,75.0,121.0,146.0,152.0,102.0,76.0,113.0,69.0
11,Kevon Looney,48.0,20.0,26.0,40.0,29.0,35.0,81.0,70.0,34.0,0,62.0,27.0,89.0,81.0,61.0,34.0,49.0,64.0,65.0,41.0,58.0,28.0,23.0,63.0,98.0,77.0,55.0,47.0,47.0,30.0
12,Jonas Jerebko,48.0,14.0,42.0,40.0,15.0,39.0,78.0,46.0,36.0,0,38.0,11.0,50.0,45.0,65.0,29.0,41.0,62.0,35.0,36.0,30.0,39.0,4.0,58.0,87.0,66.0,40.0,56.0,52.0,15.0
13,Damion Lee,12.0,27.0,6.0,0.0,0.0,3.0,34.0,2.0,6.0,0,3.0,7.0,12.0,16.0,27.0,2.0,12.0,1.0,27.0,0.0,29.0,18.0,26.0,2.0,35.0,25.0,18.0,23.0,0.0,0.0
14,Marcus Derrickson,4.0,0.0,6.0,12.0,0.0,6.0,3.0,0.0,0.0,0,0.0,9.0,0.0,2.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,4.0,0.0,0.0,9.0,0.0,0.0,0.0
15,Alfonzo McKinnie,17.0,26.0,45.0,47.0,33.0,22.0,39.0,49.0,8.0,0,32.0,19.0,50.0,63.0,62.0,8.0,38.0,73.0,55.0,25.0,20.0,24.0,34.0,46.0,34.0,31.0,33.0,17.0,29.0,23.0
16,Andrew Bogut,0.0,0.0,0.0,0.0,11.0,21.0,0.0,4.0,24.0,0,0.0,9.0,7.0,0.0,24.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
