,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Klay Thompson,21.6,-17.7,-1.0,52.6,36.4,7.9,-18.5,20.4,-2.2,0,-7.1,34.3,9.7,19.9,15.7,1.9,-13.1,11.3,-2.2,24.5,7.2,-6.9,0,2.5,1.0,6.9,1.0,-21.7,-0.7,9.6
1,Draymond Green,0.0,-23.7,-17.2,59.7,31.4,8.1,-7.8,27.9,20.9,0,-9.5,35.3,25.6,20.4,8.5,-6.9,0.0,18.2,2.4,22.9,16.5,-14.7,0.6,7.4,8.5,11.8,16.0,-21.6,1.3,8.7
2,Damian Jones,14.6,0.0,-1.1,39.7,0.0,0.0,13.3,-2.9,14.4,0,12.9,0.0,-37.5,0.0,-16.4,0.0,-11.8,13.7,4.2,-10.0,-10.6,-6.3,0,18.8,-5.3,34.9,-12.8,-95.2,19.1,19.2
3,Jordan Bell,0.3,-50.9,11.1,-4.0,64.1,39.9,-7.0,-20.2,-39.9,0,2.0,0.3,1.3,-46.6,-11.4,5.0,10.2,9.9,14.3,20.6,-16.1,-8.5,-9.8,-12.2,1.6,-22.3,3.9,-16.7,-16.1,14.9
4,Stephen Curry,30.4,-12.7,11.7,55.6,26.0,20.1,3.1,23.1,4.3,0,-3.7,26.8,22.0,21.8,27.5,-1.2,-8.8,10.7,23.5,27.9,24.1,-1.2,-2.5,15.2,-2.7,14.1,19.5,-23.5,0.1,21.1
5,Andre Iguodala,21.2,-10.2,19.5,32.7,32.6,-14.2,-5.5,26.0,-1.9,0,1.4,35.0,4.9,11.7,-15.4,7.7,-1.1,23.1,-1.8,18.1,6.4,-6.9,-10.4,16.2,18.0,9.2,20.8,-20.5,-5.1,19.8
6,Shaun Livingston,8.1,7.6,0.0,-18.4,25.2,45.9,17.8,7.2,-10.2,0,-14.3,21.1,-12.2,-19.5,14.0,14.9,31.0,-3.2,11.9,11.1,-6.1,19.1,-34.8,7.2,6.8,-38.7,14.6,0.6,16.8,0.2
7,Quinn Cook,-9.1,-36.4,29.8,-12.3,30.8,7.8,-13.2,-29.3,4.4,0,-8.7,25.9,-19.4,-34.5,-0.5,12.7,5.6,-18.8,-3.1,1.5,-20.9,-9.8,-0.2,20.7,8.9,-13.8,-6.7,-25.7,-12.8,-17.6
8,Jacob Evans,-60.0,-40.6,1.5,-43.9,0.0,0.0,0.5,-14.3,33.3,0,0.0,0.0,0.0,-43.8,2.9,0.0,0.0,-33.3,11.1,45.0,-37.4,0.0,0,-50.0,22.2,-200.0,50.0,22.7,0.0,48.2
9,DeMarcus Cousins,0.0,-14.1,0.0,0.0,15.7,0.0,-56.5,13.9,0.0,0,-5.9,27.5,22.6,36.2,29.1,-18.3,0.0,-16.3,7.9,0.0,33.3,-23.5,-5.0,-14.5,0.0,-8.3,27.0,0.0,13.8,-21.0
10,Kevin Durant,13.3,-5.8,12.6,70.7,25.0,19.0,-10.1,21.3,-6.9,0,-1.5,38.0,17.9,22.3,22.5,4.9,-11.2,11.7,18.2,33.5,0.0,13.4,1.7,16.3,6.0,13.3,-0.9,-11.1,4.3,24.6
11,Kevon Looney,18.3,34.3,41.3,34.5,32.7,3.9,-13.5,-3.0,3.3,0,-19.1,42.8,17.1,-0.6,12.0,11.4,-5.2,8.3,19.6,52.2,12.3,33.9,-9.5,18.5,-8.2,5.8,8.4,17.3,4.7,35.9
12,Jonas Jerebko,31.8,0.0,19.0,6.0,42.3,22.2,-2.0,-11.8,-5.5,0,-34.6,-17.4,-17.1,-50.5,20.5,20.6,4.9,-5.1,-1.0,38.2,-15.9,-0.2,-37.5,39.3,12.2,-12.2,6.4,-4.0,-5.2,0.7
13,Damion Lee,-26.3,-33.0,-55.8,0.0,0.0,-50.0,9.8,-15.0,-36.3,0,-160.0,41.9,40.5,-28.4,-25.5,-126.7,12.0,-33.3,15.5,0.0,-25.7,-9.3,17.1,-25.0,-6.2,-10.6,20.0,20.9,0.0,0.0
14,Marcus Derrickson,-60.0,0.0,-51.5,-7.1,0.0,-91.9,21.4,0.0,0.0,0,0.0,40.0,0.0,-100.0,65.8,0.0,0.0,0.0,-22.2,0.0,0.0,0.0,0,-58.9,0.0,0.0,52.9,0.0,0.0,0.0
15,Alfonzo McKinnie,-28.2,-2.0,22.8,15.6,17.2,36.6,-6.5,-4.6,106.7,0,-17.5,17.5,7.7,-24.2,-6.6,-25.0,-2.6,9.5,17.8,50.0,-9.0,-8.2,0.0,-2.1,-26.8,-30.1,4.2,12.8,7.7,5.4
16,Andrew Bogut,0.0,0.0,0.0,0.0,98.5,38.6,0.0,85.7,-5.9,0,0.0,-57.9,76.0,0.0,-35.9,0.0,0.0,-39.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0
