,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,James Harden,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0
1,Iman Shumpert,3.0,0.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0
2,Eric Gordon,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0
3,Nene,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0,0.0,1.0,3.0,4.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0
4,P.J. Tucker,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0
5,Chris Paul,2.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0
6,Gerald Green,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,0,1.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0
7,Trevon Duval,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Isaiah Hartenstein,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0
9,Clint Capela,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0
10,Gary Clark,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0
11,Vince Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Danuel House,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0
13,Austin Rivers,3.0,3.0,4.0,0.0,2.0,3.0,3.0,3.0,0.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,0.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,0.0,4.0,1.0,0.0
14,Kenneth Faried,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0
15,Chris Chiozza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,Michael Frazier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
