,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,James Harden,69.0,77.0,45.0,64.0,71.0,73.0,143.0,146.0,77.0,114.0,0,73.0,70.0,152.0,161.0,87.0,79.0,109.0,140.0,69.0,151.0,80.0,63.0,109.0,69.0,133.0,144.0,77.0,140.0,81.0
1,Iman Shumpert,58.0,0.0,32.0,34.0,67.0,23.0,30.0,66.0,59.0,65.0,21.0,28.0,80.0,92.0,104.0,27.0,40.0,114.0,66.0,24.0,84.0,0.0,48.0,62.0,48.0,39.0,77.0,29.0,47.0,17.0
2,Eric Gordon,64.0,70.0,56.0,31.0,69.0,39.0,128.0,85.0,65.0,94.0,0,31.0,97.0,135.0,31.0,38.0,23.0,96.0,111.0,56.0,102.0,37.0,56.0,58.0,70.0,114.0,131.0,68.0,130.0,75.0
3,Nene,0.0,24.0,16.0,12.0,0.0,6.0,30.0,27.0,0.0,16.0,0,0.0,6.0,38.0,43.0,26.0,0.0,45.0,26.0,0.0,46.0,12.0,18.0,28.0,34.0,0.0,29.0,21.0,44.0,0.0
4,P.J. Tucker,64.0,75.0,81.0,64.0,67.0,68.0,148.0,138.0,69.0,140.0,0,73.0,99.0,149.0,147.0,60.0,79.0,95.0,132.0,62.0,136.0,78.0,59.0,88.0,97.0,127.0,135.0,72.0,123.0,77.0
5,Chris Paul,64.0,34.0,37.0,67.0,61.0,0.0,100.0,92.0,72.0,97.0,0,73.0,61.0,101.0,78.0,46.0,32.0,101.0,85.0,24.0,105.0,25.0,28.0,59.0,71.0,121.0,102.0,31.0,62.0,28.0
6,Gerald Green,22.0,36.0,58.0,36.0,42.0,41.0,58.0,52.0,29.0,71.0,0,17.0,50.0,81.0,89.0,59.0,33.0,58.0,44.0,48.0,64.0,29.0,55.0,48.0,75.0,42.0,73.0,39.0,94.0,28.0
7,Trevon Duval,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Isaiah Hartenstein,0.0,0.0,8.0,16.0,0.0,3.0,24.0,20.0,18.0,15.0,0,20.0,23.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,7.0,17.0,13.0,0.0,11.0,13.0
9,Clint Capela,61.0,72.0,37.0,68.0,72.0,70.0,99.0,102.0,80.0,143.0,0,64.0,97.0,102.0,116.0,65.0,71.0,68.0,83.0,24.0,101.0,36.0,29.0,58.0,92.0,103.0,130.0,34.0,99.0,73.0
10,Gary Clark,2.0,5.0,33.0,24.0,1.0,41.0,21.0,21.0,32.0,33.0,0,56.0,21.0,14.0,36.0,32.0,15.0,3.0,7.0,21.0,27.0,10.0,21.0,8.0,19.0,29.0,51.0,11.0,20.0,23.0
11,Vince Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Danuel House,33.0,28.0,0.0,17.0,0.0,30.0,32.0,46.0,0.0,39.0,0,0.0,22.0,29.0,121.0,18.0,53.0,41.0,62.0,11.0,49.0,30.0,0.0,57.0,45.0,49.0,71.0,0.0,42.0,54.0
13,Austin Rivers,75.0,78.0,119.0,0.0,43.0,77.0,64.0,94.0,0.0,127.0,17.0,35.0,68.0,68.0,114.0,84.0,59.0,0.0,145.0,95.0,89.0,99.0,84.0,71.0,93.0,90.0,0.0,105.0,35.0,0.0
14,Kenneth Faried,51.0,29.0,0.0,0.0,28.0,4.0,32.0,31.0,0.0,55.0,0,7.0,17.0,18.0,0.0,9.0,27.0,36.0,55.0,54.0,31.0,36.0,26.0,58.0,0.0,51.0,0.0,50.0,20.0,4.0
15,Chris Chiozza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
16,Michael Frazier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
