,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,James Harden,9.9,9.1,-10.8,17.5,-2.8,18.6,-3.6,9.5,-6.6,11.0,0,13.8,14.5,4.1,19.7,5.7,-7.8,-4.6,-5.8,35.6,-4.5,-1.8,-5.3,26.4,-20.3,24.2,19.6,-11.0,-0.3,12.3
1,Iman Shumpert,6.0,0.0,-37.1,15.5,-8.1,38.0,0.0,-6.1,14.4,-19.5,-2.2,-9.6,-22.2,-8.9,-1.0,29.5,-41.4,-2.4,-11.4,38.8,8.3,0.0,14.1,19.4,-10.7,-6.1,16.5,4.8,-27.6,20.6
2,Eric Gordon,16.6,19.3,23.8,26.5,9.2,-12.3,3.9,2.7,0.2,17.8,0,4.0,10.0,9.9,6.8,-5.1,-15.2,10.5,9.8,13.6,-6.0,9.4,-1.7,28.9,-12.9,31.9,12.8,-2.6,-16.3,9.7
3,Nene,0.0,59.9,-9.6,34.9,0.0,20.0,24.8,8.3,0.0,0.0,0,0.0,27.1,-4.3,-16.9,-8.9,0.0,-28.0,13.8,0.0,15.8,-11.7,16.1,-17.5,13.1,0.0,13.6,59.6,5.6,0.0
4,P.J. Tucker,11.5,3.3,4.0,5.4,-1.9,13.8,-1.7,20.0,3.4,7.2,0,21.1,5.0,1.8,14.4,-0.8,-18.6,-8.4,-0.7,26.5,-4.6,1.2,-7.3,27.9,-19.8,19.6,4.5,-8.3,1.1,14.6
5,Chris Paul,16.7,1.5,32.8,13.3,13.9,0.0,11.3,5.0,-15.9,7.9,0,11.3,-1.3,9.3,0.8,-11.1,-12.9,8.9,7.4,65.3,1.9,-2.0,10.1,28.9,-1.4,18.0,0.5,21.0,-13.9,12.3
6,Gerald Green,16.7,36.5,-13.9,31.7,19.4,31.3,1.0,2.0,8.6,-2.1,0,-23.6,-11.8,-5.4,17.3,-11.9,2.9,-27.3,0.3,1.2,-7.0,-16.3,-11.1,-10.9,13.5,20.1,11.2,40.3,10.9,31.8
7,Trevon Duval,0.0,0.0,0.0,-100.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Isaiah Hartenstein,0.0,0.0,0.0,9.6,0.0,-70.0,-19.2,-8.6,-7.0,84.0,0,24.4,-6.3,0.0,-64.1,0.0,50.0,0.0,50.0,0.0,-8.3,0.0,0.0,0.0,7.1,12.0,34.7,0.0,32.7,21.5
9,Clint Capela,17.9,-4.3,25.7,10.9,12.3,15.3,-8.9,26.4,-6.2,8.9,0,-2.3,12.3,7.5,17.8,-5.5,-8.6,26.3,-11.3,34.6,-7.9,-19.7,23.7,30.1,-10.5,25.7,6.7,-6.5,-18.0,8.0
10,Gary Clark,-20.0,-9.1,-9.5,8.1,-33.3,-2.9,-32.5,-27.9,-0.2,25.2,0,18.7,-24.7,-37.6,14.0,6.4,53.9,-89.3,21.9,-38.3,-33.8,-9.1,-15.9,6.3,-13.5,24.2,20.3,73.9,-2.4,-14.7
11,Vince Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Danuel House,33.4,21.5,0.0,18.9,0.0,8.7,-14.8,5.5,0.0,7.3,0,0.0,52.0,31.2,7.8,-29.4,-19.9,6.2,23.2,59.1,4.7,-18.6,0.0,16.8,25.0,21.0,8.9,0.0,3.2,4.1
13,Austin Rivers,13.7,10.2,-1.9,0.0,22.9,22.6,-6.8,17.4,0.0,-1.6,15.6,-2.6,-5.4,4.0,2.7,4.5,-7.9,0.0,-5.0,4.9,-9.0,4.0,-21.4,-6.4,4.9,12.1,0.0,0.6,28.7,0.0
14,Kenneth Faried,-9.9,-21.6,0.0,0.0,30.9,-82.1,33.8,-28.5,0.0,2.4,0,-13.3,23.9,0.0,0.0,10.8,-2.9,-22.5,12.5,12.4,-17.1,9.9,-11.5,20.7,0.0,19.8,0.0,5.8,15.2,20.0
15,Chris Chiozza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.3,0.0,0.0,0,0.0,-7.7,0.0,0.0,0.0,50.0,0.0,-22.2,-52.9,0.0,0.0,0.0,11.1,0.0,-22.2,0.0,0.0,0.0,0.0
16,Michael Frazier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
