,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Victor Oladipo,3.0,2.0,2.0,2.0,1.0,3.0,1.0,0,1.0,0,2.0,0,0,0,1.0,2.0,2.0,1.0,0,3.0,0,0,3.0,1.0,1.0,0,1.0,3.0,0,1.0
1,Myles Turner,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0
2,Thaddeus Young,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
3,Cory Joseph,4.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
4,Domantas Sabonis,3.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
5,T.J. Leaf,2.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0
6,Bojan Bogdanovic,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
7,Darren Collison,4.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
8,Edmond Sumner,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0,2.0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0
9,Aaron Holiday,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0
10,Tyreke Evans,4.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
11,Doug McDermott,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
12,Kyle O'Quinn,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0,2.0,3.0,1.0,0.0,0,2.0,2.0,2.0,3.0
13,Alize Johnson,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0,1.0,0,1.0,1.0,1.0,0.0,0,0.0,0.0,0,0.0
14,Davon Reed,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0
15,Wesley Matthews,2.0,4.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0
