,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Victor Oladipo,14.9,-19.8,26.8,1.7,31.5,23.9,17.7,0,23.1,0,-16.4,0,0,0,22.6,2.0,-11.7,-8.9,0,11.3,0,0,-12.0,43.8,8.4,0,38.1,-14.8,0,3.7
1,Myles Turner,10.6,-8.3,14.9,3.0,-6.4,5.8,-10.1,13.5,6.8,-37.7,-9.1,0,5.4,-10.9,2.2,3.5,-6.2,6.5,10.5,9.8,-2.3,6.3,-15.4,23.6,-2.5,14.4,7.8,10.6,26.7,9.0
2,Thaddeus Young,8.1,-17.6,8.8,12.8,-13.5,21.5,-15.4,11.2,8.7,-29.5,-21.3,0,11.5,9.5,23.7,16.0,-0.4,-8.9,-2.9,6.2,-22.7,8.2,-16.8,32.4,10.7,6.1,-6.7,-4.3,30.0,13.9
3,Cory Joseph,13.6,-12.8,8.4,1.1,19.1,-4.4,9.4,18.3,16.9,-33.7,0.0,0,10.6,11.6,25.8,22.8,-14.3,4.4,9.7,16.1,-3.3,3.0,13.4,14.3,-30.8,-5.1,32.5,-11.7,35.1,-10.2
4,Domantas Sabonis,21.2,-20.5,-25.7,8.4,25.8,6.3,45.9,32.5,29.7,-35.3,4.9,0,8.4,33.2,15.1,0.6,-12.6,-18.9,14.7,16.6,17.5,-30.6,0.0,7.1,-33.0,-0.3,14.8,-15.5,32.1,-1.0
5,T.J. Leaf,-11.2,-1.2,-11.9,20.5,39.4,-4.5,9.1,42.9,37.5,-11.1,23.1,0,1.3,39.8,-13.6,-17.2,-59.6,-7.7,40.5,16.0,-40.0,-5.8,-25.2,48.8,-86.7,-115.0,21.2,-25.0,41.4,-15.5
6,Bojan Bogdanovic,3.6,-10.5,0.4,3.7,-5.2,18.7,-2.3,4.1,13.1,-33.5,4.7,0,18.0,11.5,3.3,16.6,-6.5,2.5,3.2,9.8,-0.7,11.4,-10.3,12.0,-2.4,11.3,-23.7,-3.2,20.8,4.3
7,Darren Collison,11.0,-9.2,7.2,12.7,-3.4,16.5,-15.1,-5.2,10.1,-38.2,-18.3,0,36.3,-1.3,-3.2,6.7,-11.2,8.5,8.9,1.2,-6.7,3.6,-28.7,27.4,3.0,16.1,-21.5,-0.6,27.9,4.6
8,Edmond Sumner,-4.3,25.0,-14.1,0.0,0.0,-2.7,0.0,2.2,0.0,-24.6,0.0,0,-0.8,71.0,0.0,-68.8,45.2,0.0,3.3,-140.0,0,-49.1,-50.0,0.0,0.0,0,-128.6,0.0,28.6,-18.6
9,Aaron Holiday,18.2,-20.2,-14.2,-23.1,10.5,10.3,22.2,32.3,33.6,-17.3,0.0,0,9.5,44.2,-2.2,-32.7,45.2,-1.0,-17.6,19.6,0,2.6,-31.8,21.7,0.0,-19.8,-8.8,-25.0,30.4,7.1
10,Tyreke Evans,-2.7,-20.1,30.6,6.5,-3.6,-11.9,38.7,34.0,5.0,-12.7,-14.9,0,5.2,4.4,16.3,3.3,-11.0,-16.1,13.2,8.9,-0.4,-16.6,5.2,7.9,-35.5,14.1,13.8,-1.4,33.3,31.4
11,Doug McDermott,-4.5,-7.0,5.2,3.5,16.8,-12.1,15.5,46.8,26.6,-2.0,21.8,0,1.9,22.9,24.8,12.8,1.9,-25.2,40.4,7.3,7.3,-5.3,5.5,14.1,-37.0,-10.9,5.1,-19.9,24.3,-7.1
12,Kyle O'Quinn,-41.5,0.1,35.0,-0.2,22.0,-13.6,-10.7,10.0,41.7,3.8,-120.0,0,-1.0,40.0,4.0,0.0,-8.6,3.7,2.8,2.5,0,4.6,-8.5,40.0,0.0,0,-29.9,-11.2,41.4,-5.1
13,Alize Johnson,24.8,21.3,-85.7,0.0,33.3,0.0,-66.7,2.2,0.0,-83.3,0.0,0,0,0,0.0,0.0,64.4,0.0,0,-140.0,0,-61.9,-233.3,8.9,0.0,0,0.0,0.0,0,0.0
14,Davon Reed,-1.9,0.0,125.0,0.0,33.3,0.0,0.0,0,62.5,-83.3,0.0,0,0,48.1,0.0,0.0,0.0,0.0,0,0.0,0,0,-50.0,0.0,0.0,0,66.7,0.0,20.0,83.3
15,Wesley Matthews,-4.3,-2.4,-15.6,11.9,10.3,0.0,-9.7,4.7,-17.2,-9.2,14.4,-13.3,-0.5,-5.0,21.4,0.0,-13.2,-0.4,-8.1,-0.9,-9.2,8.4,-20.3,-4.8,-0.5,2.2,9.2,-5.6,1.2,7.2
