,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Wilson Chandler,1.0,2.0,3.0,1.0,2.0,4.0,0,0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0,1.0,2.0,0,2.0,1.0,3.0,3.0
1,Patrick Beverley,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0
2,Lou Williams,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,0.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,1.0,3.0,2.0
3,Ivica Zubac,0.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,4.0,1.0,3.0,3.0,0.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0
4,Garrett Temple,1.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,3.0,5.0,3.0,2.0,5.0,1.0
5,Rodney McGruder,4.0,3.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0
6,Danilo Gallinari,0.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,2.0,0.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0
7,Sindarius Thornwell,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,1.0
8,JaMychal Green,1.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0
9,Johnathan Motley,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
10,Shai Gilgeous-Alexander,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,0.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0
11,Landry Shamet,2.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,0,3.0,2.0,2.0,2.0,4.0,4.0,3.0
12,Jerome Robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Angel Delgado,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
14,Montrezl Harrell,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,0.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0
15,Tyrone Wallace,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0
