,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Wilson Chandler,26.0,49.0,73.0,13.0,30.0,96.0,0,0,74.0,53.0,42.0,90.0,27.0,44.0,15.0,23.0,17.0,41.0,31.0,97.0,34.0,23.0,0,31.0,40.0,0,60.0,26.0,52.0,70.0
1,Patrick Beverley,57.0,62.0,61.0,71.0,51.0,55.0,116.0,86.0,64.0,73.0,40.0,55.0,0.0,98.0,98.0,58.0,30.0,89.0,72.0,56.0,108.0,48.0,63.0,103.0,119.0,108.0,115.0,50.0,83.0,46.0
2,Lou Williams,61.0,52.0,55.0,60.0,57.0,52.0,107.0,90.0,63.0,85.0,74.0,43.0,0.0,133.0,109.0,49.0,33.0,91.0,80.0,54.0,86.0,46.0,55.0,84.0,79.0,97.0,55.0,21.0,84.0,39.0
3,Ivica Zubac,0.0,50.0,16.0,32.0,12.0,45.0,23.0,27.0,23.0,98.0,42.0,38.0,37.0,33.0,78.0,0.0,18.0,75.0,32.0,55.0,62.0,0.0,17.0,62.0,42.0,40.0,5.0,11.0,62.0,7.0
4,Garrett Temple,34.0,99.0,104.0,13.0,37.0,62.0,51.0,87.0,37.0,67.0,105.0,42.0,57.0,100.0,38.0,66.0,95.0,84.0,103.0,69.0,18.0,0.0,68.0,81.0,74.0,123.0,89.0,57.0,146.0,36.0
5,Rodney McGruder,125.0,32.0,96.0,47.0,106.0,80.0,25.0,37.0,92.0,33.0,30.0,65.0,40.0,62.0,37.0,0.0,53.0,33.0,50.0,32.0,4.0,58.0,49.0,29.0,33.0,54.0,37.0,93.0,34.0,80.0
6,Danilo Gallinari,0.0,57.0,63.0,34.0,31.0,33.0,100.0,116.0,38.0,82.0,78.0,50.0,0.0,96.0,134.0,33.0,65.0,87.0,100.0,57.0,124.0,57.0,70.0,126.0,95.0,86.0,86.0,21.0,89.0,54.0
7,Sindarius Thornwell,10.0,5.0,12.0,1.0,16.0,4.0,13.0,17.0,0.0,28.0,4.0,30.0,0.0,18.0,2.0,8.0,10.0,1.0,0.0,5.0,8.0,2.0,5.0,27.0,3.0,12.0,37.0,21.0,15.0,1.0
8,JaMychal Green,14.0,77.0,62.0,14.0,47.0,61.0,32.0,48.0,24.0,23.0,86.0,50.0,62.0,61.0,39.0,46.0,51.0,63.0,67.0,64.0,14.0,0.0,25.0,25.0,77.0,77.0,76.0,40.0,47.0,0.0
9,Johnathan Motley,0.0,0.0,0.0,10.0,4.0,4.0,15.0,13.0,1.0,20.0,3.0,29.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,3.0,0.0,2.0,0,5.0,0.0,6.0,18.0,6.0,4.0,0.0
10,Shai Gilgeous-Alexander,54.0,48.0,56.0,52.0,39.0,62.0,81.0,111.0,47.0,138.0,90.0,55.0,0.0,100.0,101.0,50.0,72.0,77.0,58.0,67.0,93.0,48.0,38.0,103.0,130.0,122.0,114.0,48.0,66.0,57.0
11,Landry Shamet,41.0,78.0,95.0,56.0,51.0,97.0,46.0,56.0,81.0,46.0,56.0,91.0,37.0,73.0,122.0,24.0,39.0,56.0,20.0,98.0,45.0,36.0,0,60.0,49.0,67.0,40.0,83.0,84.0,75.0
12,Jerome Robinson,14.0,8.0,5.0,17.0,6.0,12.0,10.0,5.0,9.0,21.0,17.0,28.0,0.0,31.0,1.0,16.0,22.0,14.0,0.0,5.0,4.0,6.0,0.0,4.0,7.0,12.0,7.0,17.0,16.0,7.0
13,Angel Delgado,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
14,Montrezl Harrell,64.0,50.0,61.0,55.0,57.0,56.0,113.0,74.0,70.0,116.0,75.0,58.0,0.0,107.0,108.0,54.0,52.0,92.0,84.0,53.0,86.0,48.0,36.0,97.0,110.0,113.0,98.0,51.0,73.0,48.0
15,Tyrone Wallace,10.0,14.0,10.0,0.0,18.0,9.0,34.0,47.0,16.0,54.0,16.0,24.0,0.0,23.0,19.0,7.0,21.0,15.0,31.0,15.0,8.0,18.0,6.0,38.0,29.0,20.0,50.0,35.0,28.0,13.0
