,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Wilson Chandler,-35.8,7.7,-4.9,-25.9,8.9,5.1,0,0,26.9,-21.0,5.6,2.7,-6.6,15.2,18.9,8.2,-8.9,17.1,10.4,13.5,-0.9,0.0,0,-6.9,-24.4,0,0.6,-25.8,31.7,14.4
1,Patrick Beverley,-1.5,20.9,-7.7,17.1,13.2,20.7,-1.8,-17.7,6.1,10.7,-8.0,-13.2,0.0,8.1,-5.4,-6.0,0.3,5.0,11.1,25.9,4.8,13.7,1.4,11.1,-6.8,19.0,-0.4,-18.7,-4.8,10.6
2,Lou Williams,7.5,24.4,0.5,-9.8,34.7,6.9,6.1,-0.6,18.7,-15.6,0.5,-14.3,0.0,5.7,7.5,-9.5,8.7,5.9,8.1,20.6,1.6,22.7,-9.5,1.9,-20.4,5.0,-7.5,-15.8,-6.5,1.6
3,Ivica Zubac,0.0,17.4,0.0,-5.8,0.0,18.2,-21.1,-38.6,-2.0,-3.9,-7.4,-14.7,-20.1,2.9,8.8,0.0,6.9,-37.7,18.0,11.3,33.1,0.0,-32.4,27.2,10.3,5.0,33.6,7.6,8.7,37.5
4,Garrett Temple,46.8,5.8,3.6,3.9,-12.3,16.3,24.2,-6.3,0.4,-13.4,-14.7,-9.8,-10.2,2.0,10.3,-7.6,-8.9,0.1,-14.1,0.2,-42.1,0.0,0.8,2.7,7.1,-7.5,0.5,-28.5,-8.3,31.8
5,Rodney McGruder,-8.7,-43.4,2.5,10.6,-7.0,20.8,-6.3,1.4,4.3,-8.2,13.8,-5.1,18.1,-24.7,-18.8,0.0,-7.9,9.2,23.5,24.2,50.0,1.6,-3.7,31.9,14.5,-8.3,5.3,-4.0,-25.1,2.8
6,Danilo Gallinari,0.0,27.7,6.8,20.5,22.6,15.9,-6.6,-4.5,-14.8,0.3,-7.9,-7.2,0.0,1.0,4.7,-24.4,-4.8,0.1,-9.4,26.3,0.5,19.5,7.6,23.4,-1.8,18.2,-17.2,-57.1,-15.7,1.1
7,Sindarius Thornwell,-14.9,-6.4,4.3,400.0,29.4,8.3,-18.5,-20.5,100.0,2.4,-31.9,-14.2,0.0,25.9,36.1,49.4,52.4,16.7,200.0,-2.1,-5.0,-91.7,-60.0,-14.7,-33.3,-66.7,6.5,21.0,22.9,0.0
8,JaMychal Green,34.8,-0.4,-9.4,-15.3,-21.5,9.8,27.6,-10.8,8.3,-24.5,-16.8,-25.5,5.5,-0.6,19.7,-12.7,-33.3,8.1,-18.5,-9.3,-10.7,0.0,11.1,14.4,-23.5,-5.7,-14.6,-19.4,-4.1,0.0
9,Johnathan Motley,0.0,0.0,0.0,-13.0,-37.5,37.5,2.4,-35.5,-58.3,1.6,-37.5,-17.2,0.0,0.0,0.0,43.4,200.0,-100.0,0.0,0.0,0.0,-91.7,0,-18.2,0.0,-33.3,7.9,32.7,-43.1,0.0
10,Shai Gilgeous-Alexander,-12.3,15.4,8.8,8.3,-29.1,14.1,-21.0,-9.2,13.4,-20.0,10.2,-3.5,0.0,-4.7,2.8,-8.1,-5.1,-3.0,-18.0,19.8,0.3,21.8,-33.4,28.0,-4.3,3.6,-8.2,-39.2,-14.5,19.4
11,Landry Shamet,21.4,-1.8,-7.8,13.3,-3.6,9.8,-4.1,-16.2,5.1,-18.5,-15.9,0.2,6.0,11.1,-3.2,14.9,-6.8,38.8,33.8,19.4,15.0,-1.4,0,8.6,-18.3,-0.2,-23.6,-8.6,2.5,4.4
12,Jerome Robinson,-36.7,23.5,83.3,-8.2,0.6,59.8,31.6,-62.2,-23.5,-21.4,-28.6,-22.0,0.0,-20.6,108.3,46.2,-6.5,-6.3,0.0,7.6,111.1,-2.2,200.0,11.1,25.0,-20.9,-40.0,-2.4,8.4,35.0
13,Angel Delgado,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-6.2,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
14,Montrezl Harrell,4.1,20.9,11.5,6.7,20.7,3.4,7.7,-2.0,15.1,-16.0,3.2,-14.6,0.0,5.0,2.2,-20.0,-15.8,16.6,12.5,21.6,-11.5,23.9,-3.2,-4.1,-4.8,10.8,-6.8,-27.6,-3.5,3.9
15,Tyrone Wallace,-44.3,-23.5,-23.2,0.0,22.6,9.5,35.7,-19.3,43.8,-8.9,-67.6,-0.5,0.0,27.2,12.2,-41.7,5.1,8.1,13.1,18.3,11.9,2.9,10.0,9.6,26.0,-8.5,8.4,11.5,-5.0,17.7
