,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Brandon Ingram,2.0,1.0,0,1.0,0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,0
1,Lonzo Ball,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0
2,Kyle Kuzma,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0
3,Josh Hart,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,3.0,0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0
4,Reggie Bullock,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0
5,Mike Muscala,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,3.0,3.0
6,Moritz Wagner,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0
7,Isaac Bonga,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0
8,Kentavious Caldwell-Pope,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0
9,Rajon Rondo,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,0,2.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
10,LeBron James,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,3.0,2.0,2.0,0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0
11,Lance Stephenson,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,0,3.0,2.0,0.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0
12,JaVale McGee,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0
13,Alex Caruso,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0
14,Johnathan Williams,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
15,Tyson Chandler,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,0.0,2.0,1.0
16,Jemerrio Jones,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
