,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Brandon Ingram,63.0,40.0,0,40.0,0,76.0,109.0,30.0,30.0,97.0,106.0,60.0,77.0,0,76.0,36.0,39.0,121.0,98.0,37.0,78.0,65.0,73.0,99.0,93.0,107.0,5.0,34.0,72.0,0
1,Lonzo Ball,27.0,0.0,39.0,38.0,35.0,77.0,99.0,51.0,35.0,24.0,83.0,34.0,43.0,0,50.0,59.0,0.0,67.0,26.0,34.0,68.0,57.0,0.0,59.0,70.0,88.0,137.0,23.0,65.0,34.0
2,Kyle Kuzma,67.0,34.0,78.0,64.0,59.0,65.0,105.0,65.0,68.0,96.0,144.0,58.0,101.0,0,106.0,61.0,69.0,93.0,103.0,33.0,52.0,62.0,32.0,93.0,83.0,152.0,154.0,62.0,96.0,58.0
3,Josh Hart,23.0,36.0,34.0,46.0,26.0,54.0,83.0,92.0,26.0,69.0,104.0,25.0,86.0,0,68.0,64.0,32.0,93.0,59.0,52.0,71.0,35.0,35.0,87.0,77.0,90.0,124.0,58.0,44.0,21.0
4,Reggie Bullock,96.0,111.0,37.0,84.0,71.0,63.0,63.0,46.0,21.0,32.0,105.0,27.0,103.0,33.0,67.0,34.0,111.0,43.0,116.0,86.0,33.0,84.0,72.0,50.0,0.0,60.0,36.0,59.0,66.0,68.0
5,Mike Muscala,46.0,17.0,44.0,4.0,54.0,48.0,15.0,32.0,113.0,45.0,24.0,39.0,78.0,24.0,39.0,27.0,43.0,19.0,41.0,67.0,37.0,26.0,13.0,53.0,60.0,18.0,31.0,91.0,91.0,65.0
6,Moritz Wagner,5.0,34.0,8.0,10.0,18.0,0.0,1.0,31.0,21.0,49.0,0.0,12.0,16.0,0,8.0,0.0,16.0,24.0,37.0,4.0,34.0,2.0,5.0,13.0,17.0,5.0,0.0,8.0,40.0,29.0
7,Isaac Bonga,0.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,5.0,17.0,1.0,0.0,13.0,0,4.0,0.0,1.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,30.0,5.0
8,Kentavious Caldwell-Pope,41.0,39.0,71.0,63.0,54.0,51.0,66.0,53.0,56.0,96.0,101.0,41.0,97.0,0,58.0,52.0,57.0,69.0,67.0,64.0,97.0,56.0,53.0,106.0,104.0,107.0,90.0,39.0,123.0,63.0
9,Rajon Rondo,50.0,66.0,25.0,31.0,35.0,0.0,17.0,35.0,37.0,90.0,49.0,28.0,111.0,0,34.0,0.0,79.0,96.0,119.0,28.0,36.0,0.0,52.0,68.0,73.0,66.0,29.0,55.0,26.0,33.0
10,LeBron James,77.0,66.0,78.0,33.0,62.0,36.0,70.0,96.0,0.0,21.0,115.0,68.0,83.0,0,107.0,76.0,39.0,75.0,115.0,35.0,0.0,66.0,33.0,100.0,105.0,67.0,154.0,60.0,35.0,66.0
11,Lance Stephenson,30.0,17.0,12.0,3.0,52.0,29.0,18.0,48.0,22.0,72.0,77.0,33.0,48.0,0,20.0,31.0,0.0,68.0,47.0,29.0,59.0,36.0,28.0,57.0,44.0,66.0,53.0,13.0,62.0,48.0
12,JaVale McGee,40.0,46.0,35.0,47.0,44.0,48.0,79.0,68.0,55.0,50.0,86.0,37.0,56.0,0,40.0,38.0,42.0,94.0,60.0,44.0,54.0,40.0,53.0,83.0,92.0,75.0,96.0,36.0,99.0,32.0
13,Alex Caruso,0.0,30.0,35.0,11.0,18.0,0.0,0.0,29.0,24.0,49.0,0.0,0.0,45.0,0,0.0,0.0,22.0,0.0,30.0,28.0,29.0,0.0,1.0,1.0,41.0,22.0,0.0,27.0,69.0,20.0
14,Johnathan Williams,0.0,29.0,0.0,4.0,21.0,0.0,7.0,27.0,15.0,27.0,0.0,0.0,22.0,0,0.0,0.0,6.0,14.0,15.0,25.0,8.0,0.0,0.0,20.0,29.0,4.0,31.0,7.0,45.0,16.0
15,Tyson Chandler,21.0,15.0,30.0,26.0,16.0,23.0,53.0,38.0,0.0,38.0,38.0,30.0,42.0,14.0,49.0,48.0,0.0,45.0,22.0,12.0,45.0,32.0,17.0,23.0,21.0,77.0,56.0,0.0,24.0,20.0
16,Jemerrio Jones,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,25.0,0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,38.0,0
