,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Brandon Ingram,10.2,16.8,0,18.1,0,-0.7,13.5,-37.7,-1.7,-13.0,-3.0,-31.6,6.6,0,-1.4,13.4,-14.3,-13.4,7.9,-2.3,-13.9,1.2,-15.7,4.7,-0.9,10.0,25.8,1.4,-7.2,0
1,Lonzo Ball,21.7,0.0,-8.7,13.5,52.4,4.1,7.9,0.1,35.4,7.5,-5.9,18.2,-4.1,0,-3.0,13.7,0.0,-28.5,27.8,-24.2,-4.8,-17.5,0.0,9.9,-14.7,-10.6,-2.7,0.5,8.6,-26.2
2,Kyle Kuzma,7.4,-1.9,-3.5,21.1,34.2,-1.6,13.1,-7.0,1.2,-21.3,-4.0,-5.9,1.9,0,7.0,15.5,-22.4,-3.9,8.8,-22.0,-4.2,0.7,-14.6,9.2,-7.2,-1.2,0.2,-11.5,-15.2,-7.9
3,Josh Hart,8.3,-31.2,-8.2,18.6,52.6,-18.2,6.1,-2.0,9.6,4.1,-2.1,21.4,-4.7,0,-14.9,22.6,7.2,-12.4,-18.6,-0.1,13.8,-27.3,4.0,30.4,5.8,11.3,1.0,-4.1,-31.9,-54.9
4,Reggie Bullock,4.2,-13.5,-25.5,12.0,-2.1,20.8,13.2,-5.0,-24.9,9.3,5.9,-35.5,4.4,-29.5,2.1,3.5,-13.7,10.7,19.8,8.5,-15.3,-9.7,-3.4,-23.5,0.0,-20.7,3.9,-13.5,-3.2,3.5
5,Mike Muscala,4.4,-33.0,-32.0,57.1,17.2,25.8,-28.3,-16.1,2.2,2.0,22.9,11.8,16.0,1.9,-5.0,2.8,-21.4,50.3,16.4,23.4,19.9,-9.2,-60.7,6.6,-23.4,-11.0,-15.3,-6.0,1.9,15.3
6,Moritz Wagner,-49.2,1.0,-63.7,-39.0,-11.1,0.0,-16.7,-21.0,-33.4,-5.6,0.0,-59.2,-19.2,0,-70.1,0.0,-39.3,4.7,2.5,-74.5,-4.1,20.0,-25.0,-33.3,28.6,-51.1,0.0,17.3,14.6,15.6
7,Isaac Bonga,0.0,-73.1,0.0,0.0,-56.3,0.0,0.0,-25.0,-15.3,42.0,-150.0,0.0,21.3,0,-2.7,0.0,-66.7,21.1,53.6,0.0,0.0,0.0,0.0,0.0,-22.2,0.0,-50.0,0.0,2.9,57.3
8,Kentavious Caldwell-Pope,-22.4,-27.1,2.0,28.3,20.6,6.5,0.6,-27.5,13.7,-25.0,0.2,-8.4,-12.8,0,-2.6,-5.6,-20.9,1.4,-7.2,-9.4,-18.9,-3.9,-36.6,11.7,13.4,18.3,-16.8,-12.6,-12.5,15.1
9,Rajon Rondo,-15.3,-19.3,-30.4,6.1,13.9,0.0,-53.8,-24.2,-25.5,-12.6,2.0,-54.3,-5.4,0,-20.9,0.0,-15.7,5.3,-3.6,-12.0,-32.9,0.0,-24.8,-1.6,23.2,21.5,5.1,-19.8,-23.7,10.1
10,LeBron James,11.5,14.5,-0.2,11.4,37.3,13.4,10.1,-5.5,0.0,12.7,-5.0,2.4,-7.6,0,8.8,24.2,-6.4,-3.2,3.6,13.7,0.0,-17.9,-6.7,9.5,-7.1,6.4,-2.5,-9.0,20.1,-11.5
11,Lance Stephenson,-17.9,-13.9,-33.8,-45.2,14.8,-22.0,-19.5,-13.3,19.5,3.1,-22.7,-30.9,-2.1,0,13.2,-1.6,0.0,-13.3,2.8,2.9,15.0,-16.2,-58.8,10.9,2.8,9.4,9.1,-28.4,-25.9,20.9
12,JaVale McGee,-0.7,-36.9,-6.4,28.5,36.6,-12.9,7.5,-10.2,-4.0,-33.7,0.1,-22.5,8.9,0,2.1,7.7,7.3,-16.3,10.6,-9.7,-32.2,-7.9,5.4,17.3,-5.0,23.8,-14.3,-46.8,-14.5,0.1
13,Alex Caruso,0.0,7.9,9.5,5.7,3.3,0.0,0.0,-2.2,-0.5,-5.8,0.0,0.0,-6.7,0,0.0,0.0,6.7,0.0,34.3,10.2,-3.4,0.0,-50.0,-75.0,1.1,9.5,0.0,-5.2,1.5,28.3
14,Johnathan Williams,0.0,-1.8,0.0,-126.4,0.0,0.0,-20.0,-6.1,23.3,24.1,0.0,0.0,0.0,0,0.0,0.0,11.9,12.7,30.5,10.0,47.6,0.0,0.0,-4.1,8.5,-85.7,-5.0,51.9,7.9,54.3
15,Tyson Chandler,-7.0,44.9,0.0,38.5,35.3,-0.7,28.3,-26.6,0.0,-28.1,-27.6,16.7,4.5,-59.6,1.8,8.3,0.0,5.3,0.0,-3.8,-26.9,-31.8,-71.8,33.8,8.7,8.5,14.1,0.0,-0.2,-65.9
16,Jemerrio Jones,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,39.1,0.0,0.0,14.5,0,0.0,0.0,0.0,0.0,-14.3,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,2.6,0
