,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Jonas Valanciunas,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0,2.0,3.0
1,Delon Wright,3.0,2.0,2.0,4.0,0.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,0,3.0,3.0
2,Chandler Parsons,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0,2.0,1.0
3,Mike Conley,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0
4,Justin Holiday,2.0,3.0,1.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,0.0,2.0,3.0,5.0,4.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0
5,Tyler Dorsey,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0
6,C.J. Miles,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,0,3.0,3.0
7,Dillon Brooks,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0,2.0,1.0
8,Ivan Rabb,1.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0
9,Jaren Jackson Jr.,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0
10,Avery Bradley,3.0,0.0,0.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,0,1.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0
11,Kyle Anderson,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0
12,Jevon Carter,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0
13,Yuta Watanabe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
14,Joakim Noah,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0,1.0,1.0
15,Julian Washburn,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0
16,Bruno Caboclo,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,0,1.0,1.0
17,Tyler Zeller,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
