,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Jonas Valanciunas,46.0,34.0,26.0,63.0,20.0,68.0,50.0,18.0,27.0,56.0,36.0,0,39.0,42.0,14.0,24.0,26.0,46.0,15.0,21.0,64.0,86.0,35.0,58.0,21.0,20.0,21.0,0,47.0,66.0
1,Delon Wright,68.0,38.0,40.0,82.0,0.0,85.0,120.0,53.0,51.0,95.0,42.0,61.0,102.0,47.0,36.0,29.0,54.0,32.0,39.0,24.0,72.0,108.0,62.0,53.0,73.0,37.0,58.0,0,72.0,65.0
2,Chandler Parsons,33.0,0.0,0.0,19.0,0.0,18.0,65.0,0.0,29.0,25.0,25.0,23.0,44.0,19.0,0.0,0.0,0.0,20.0,0.0,0.0,41.0,46.0,0.0,7.0,33.0,0.0,0.0,0,28.0,23.0
3,Mike Conley,51.0,72.0,83.0,61.0,36.0,63.0,58.0,105.0,28.0,63.0,149.0,61.0,100.0,97.0,0.0,72.0,59.0,146.0,138.0,73.0,28.0,35.0,76.0,93.0,104.0,137.0,92.0,57.0,136.0,70.0
4,Justin Holiday,55.0,87.0,35.0,53.0,143.0,98.0,151.0,79.0,107.0,92.0,113.0,116.0,58.0,36.0,0.0,56.0,87.0,163.0,119.0,84.0,157.0,164.0,27.0,67.0,55.0,56.0,155.0,101.0,26.0,67.0
5,Tyler Dorsey,20.0,12.0,11.0,17.0,7.0,3.0,81.0,35.0,42.0,58.0,23.0,19.0,33.0,0.0,12.0,7.0,19.0,26.0,0.0,15.0,51.0,58.0,6.0,37.0,32.0,17.0,0.0,18.0,6.0,32.0
6,C.J. Miles,33.0,12.0,21.0,38.0,16.0,61.0,37.0,50.0,0.0,19.0,9.0,20.0,64.0,17.0,23.0,13.0,34.0,12.0,28.0,18.0,26.0,55.0,41.0,33.0,44.0,16.0,30.0,0,47.0,42.0
7,Dillon Brooks,17.0,25.0,16.0,0.0,0.0,15.0,0.0,21.0,18.0,24.0,19.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,56.0,0.0,14.0,17.0,0,36.0,25.0
8,Ivan Rabb,25.0,0.0,0.0,9.0,29.0,23.0,71.0,10.0,29.0,59.0,4.0,9.0,40.0,29.0,0.0,0.0,6.0,76.0,40.0,14.0,49.0,19.0,9.0,29.0,65.0,0.0,12.0,22.0,19.0,25.0
9,Jaren Jackson Jr.,28.0,48.0,74.0,28.0,26.0,28.0,36.0,78.0,35.0,55.0,75.0,56.0,56.0,57.0,0.0,50.0,37.0,79.0,95.0,55.0,34.0,0.0,54.0,37.0,60.0,113.0,88.0,47.0,75.0,10.0
10,Avery Bradley,68.0,0.0,0.0,102.0,69.0,19.0,135.0,76.0,47.0,64.0,49.0,0,33.0,98.0,66.0,71.0,0.0,0.0,112.0,0.0,129.0,86.0,65.0,87.0,98.0,99.0,140.0,43.0,61.0,89.0
11,Kyle Anderson,20.0,38.0,63.0,0.0,0.0,35.0,33.0,91.0,31.0,53.0,39.0,19.0,68.0,50.0,0.0,24.0,39.0,66.0,64.0,34.0,0.0,0.0,61.0,48.0,61.0,92.0,101.0,34.0,90.0,28.0
12,Jevon Carter,0.0,2.0,11.0,15.0,38.0,0.0,48.0,0.0,19.0,52.0,42.0,26.0,17.0,0.0,0.0,6.0,28.0,25.0,47.0,11.0,52.0,16.0,0.0,4.0,36.0,17.0,37.0,26.0,0.0,0.0
13,Yuta Watanabe,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0,4.0,0,22.0,0.0,0.0,0.0,14.0,27.0,9.0,0.0,27.0,0.0,0.0,5.0,21.0,0.0,0.0,17.0,0.0,0.0
14,Joakim Noah,24.0,22.0,4.0,41.0,22.0,34.0,17.0,43.0,4.0,15.0,44.0,18.0,43.0,41.0,0.0,27.0,13.0,21.0,61.0,16.0,16.0,23.0,0.0,0.0,40.0,21.0,36.0,0,21.0,26.0
15,Julian Washburn,0.0,0.0,0.0,0.0,16.0,0.0,27.0,0.0,12.0,31.0,0.0,0,17.0,0.0,0.0,0.0,0.0,40.0,1.0,20.0,45.0,12.0,0.0,8.0,25.0,0.0,0.0,0,0.0,0.0
16,Bruno Caboclo,11.0,0.0,0.0,38.0,23.0,19.0,103.0,23.0,27.0,67.0,41.0,29.0,31.0,27.0,0.0,0.0,0.0,79.0,7.0,17.0,93.0,47.0,0.0,38.0,35.0,8.0,21.0,0,9.0,7.0
17,Tyler Zeller,0.0,0.0,7.0,0.0,0.0,0.0,44.0,0.0,19.0,19.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
