,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Jonas Valanciunas,-5.6,-21.2,5.3,-4.4,14.3,6.3,36.0,-2.6,10.7,-31.3,-1.4,0,-19.3,-12.3,-9.4,48.0,-53.6,-5.5,-16.8,33.2,18.5,12.6,16.4,1.5,-13.4,6.9,10.6,0,20.0,-2.9
1,Delon Wright,5.2,-28.1,8.6,17.1,0.0,13.1,12.4,6.9,-23.0,13.5,-1.9,11.9,-5.5,-9.0,4.2,-17.2,-38.2,-17.5,12.3,25.1,2.0,-7.9,-15.3,-3.0,-12.5,34.5,-17.5,0,-10.1,-6.1
2,Chandler Parsons,10.1,0.0,0.0,-12.8,0.0,19.4,20.6,0.0,0.2,-5.8,15.7,-47.2,-8.1,8.0,0.0,0.0,0.0,2.6,0.0,0.0,-8.7,-25.0,0.0,-78.6,-28.0,0.0,0.0,0,-8.5,1.5
3,Mike Conley,3.5,-8.2,0.8,-16.8,-16.0,4.6,14.7,-1.1,-11.7,-34.4,-10.4,-3.0,9.9,0.2,0.0,-1.2,-30.1,13.4,-6.6,13.6,-39.9,20.8,6.6,6.2,19.8,-1.4,-2.9,-12.0,7.1,16.5
4,Justin Holiday,-17.4,-20.5,-1.4,-23.2,-18.6,2.4,3.5,-7.7,-10.6,-26.3,-19.5,-6.4,-11.1,11.1,0.0,-20.9,1.7,-9.7,-10.2,12.4,-10.3,-6.2,-39.3,11.1,-17.2,-20.3,6.2,-16.5,15.4,-3.3
5,Tyler Dorsey,-2.2,3.8,-9.1,22.6,46.5,23.3,-0.5,-2.8,9.8,5.6,-4.3,-28.6,-28.2,0.0,-14.7,-12.5,-12.5,-20.8,0.0,-29.0,13.6,-2.2,13.3,12.1,-39.8,-19.0,0.0,19.5,6.4,12.7
6,C.J. Miles,11.8,-25.5,-25.0,4.9,-2.9,-3.3,31.9,-0.9,0.0,28.7,-34.6,1.3,-6.7,-13.6,-11.6,-62.2,-55.3,-19.4,8.5,5.6,8.2,-13.3,-10.9,10.2,21.1,22.1,5.7,0,-1.4,-5.0
7,Dillon Brooks,-31.8,-21.6,-21.2,0.0,0.0,-10.7,0.0,-16.0,-26.9,-4.9,15.1,-65.9,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.8,5.3,0.0,39.3,-0.7,0,28.6,-2.1
8,Ivan Rabb,-32.0,0.0,0.0,-23.2,-1.9,-18.0,-0.2,-75.7,-11.0,17.5,25.0,1.0,5.8,6.9,0.0,0.0,161.9,8.2,-6.2,-10.7,-38.9,-34.4,-9.2,21.8,-15.9,0.0,-18.2,-39.3,5.0,-33.4
9,Jaren Jackson Jr.,-9.5,-15.0,3.9,-38.1,-14.7,13.0,-4.4,9.0,0.2,-16.5,-16.8,-8.9,0.1,0.9,0.0,-3.3,-9.8,-5.9,-5.5,14.0,-37.6,0.0,-1.8,4.3,22.3,4.8,-1.2,-18.2,2.5,15.8
10,Avery Bradley,-13.2,0.0,0.0,-8.6,6.3,-40.6,7.2,0.2,-1.2,-8.3,-5.6,0,-1.6,2.5,-6.0,-11.1,0.0,0.0,-13.1,0.0,-3.1,21.0,-4.8,22.1,2.8,24.1,-13.7,-42.0,-10.2,-9.5
11,Kyle Anderson,21.2,-16.1,3.5,0.0,0.0,16.7,25.0,-6.3,-18.5,-16.2,-22.1,-35.0,-6.7,-2.3,0.0,18.2,-1.3,4.9,-15.2,-16.4,0.0,0.0,5.7,-1.1,9.8,-0.1,-4.4,-18.2,-5.4,16.6
12,Jevon Carter,0.0,-225.0,-33.2,27.7,-13.0,0.0,22.1,0.0,20.5,8.2,-14.2,11.5,-55.9,0.0,0.0,10.6,28.4,-58.9,-16.9,-50.4,5.0,-2.7,0.0,-133.3,-17.7,-6.2,-8.8,-22.3,0.0,0.0
13,Yuta Watanabe,0.0,0.0,0.0,0.0,0.0,0.0,45.1,0.0,0.0,-2.1,25.0,0,25.0,0.0,0.0,0.0,82.6,0.9,-16.7,0.0,-23.6,0.0,0.0,-36.1,-5.4,0.0,0.0,-11.4,0.0,0.0
14,Joakim Noah,-5.8,7.1,6.4,9.9,27.4,-4.5,62.8,-9.7,44.4,-3.1,-17.9,30.2,2.2,-20.3,0.0,7.8,-8.0,5.4,14.5,-32.0,-25.8,-10.4,0.0,0.0,16.4,18.3,-8.0,0,8.3,0.4
15,Julian Washburn,0.0,0.0,0.0,0.0,-10.3,0.0,3.6,0.0,76.3,-8.5,0.0,0,-8.0,100.0,0.0,0.0,0.0,22.4,-200.0,16.3,-28.0,-12.0,0.0,-62.5,-14.4,0.0,0.0,0,0.0,0.0
16,Bruno Caboclo,36.0,0.0,0.0,24.7,19.8,15.5,2.5,-7.3,-18.4,3.3,-1.2,15.8,-28.5,13.4,0.0,0.0,0.0,-18.0,-15.4,21.6,6.8,9.8,0.0,15.4,-26.0,-6.2,-1.4,0,-40.2,-60.0
17,Tyler Zeller,0.0,0.0,-7.9,0.0,0.0,0.0,17.3,0.0,0.0,5.0,0.0,0,0.0,0.0,-66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
