,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Justise Winslow,4.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0
1,Goran Dragic,0.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0
2,Ryan Anderson,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
3,Hassan Whiteside,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0
4,Bam Adebayo,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
5,James Johnson,2.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0
6,Dion Waiters,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
7,Kelly Olynyk,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
8,Josh Richardson,4.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0
9,Derrick Jones Jr.,4.0,3.0,3.0,1.0,4.0,4.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,4.0
10,Duncan Robinson,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Yante Maten,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Udonis Haslem,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,Dwyane Wade,4.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0
14,Kendrick Nunn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
