,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Justise Winslow,129.0,83.0,106.0,89.0,55.0,132.0,32.0,59.0,96.0,60.0,31.0,82.0,71.0,62.0,58.0,0,87.0,67.0,38.0,35.0,31.0,62.0,73.0,31.0,55.0,55.0,31.0,126.0,61.0,63.0
1,Goran Dragic,0.0,76.0,38.0,0.0,91.0,16.0,38.0,0.0,68.0,20.0,25.0,34.0,0.0,18.0,0.0,0,41.0,38.0,0.0,66.0,29.0,58.0,61.0,44.0,35.0,31.0,22.0,60.0,0.0,82.0
2,Ryan Anderson,0.0,21.0,26.0,0.0,0.0,0.0,24.0,24.0,9.0,21.0,0.0,0.0,0.0,27.0,50.0,0,5.0,0.0,0.0,6.0,31.0,20.0,1.0,7.0,0.0,5.0,15.0,29.0,0.0,0.0
3,Hassan Whiteside,77.0,80.0,53.0,62.0,91.0,87.0,41.0,44.0,70.0,22.0,24.0,93.0,32.0,27.0,22.0,0,96.0,44.0,43.0,71.0,25.0,101.0,56.0,27.0,64.0,57.0,51.0,83.0,34.0,98.0
4,Bam Adebayo,91.0,111.0,73.0,82.0,87.0,105.0,55.0,43.0,86.0,57.0,53.0,43.0,45.0,45.0,64.0,0,89.0,50.0,53.0,67.0,55.0,96.0,59.0,53.0,32.0,39.0,41.0,112.0,41.0,84.0
5,James Johnson,37.0,70.0,30.0,70.0,17.0,49.0,56.0,44.0,31.0,19.0,18.0,11.0,55.0,32.0,36.0,0,77.0,28.0,35.0,53.0,42.0,66.0,31.0,17.0,27.0,21.0,27.0,79.0,37.0,51.0
6,Dion Waiters,25.0,126.0,36.0,40.0,47.0,28.0,65.0,55.0,69.0,64.0,32.0,28.0,29.0,0.0,10.0,0,66.0,33.0,0.0,55.0,54.0,29.0,48.0,32.0,19.0,32.0,33.0,58.0,0.0,27.0
7,Kelly Olynyk,81.0,74.0,74.0,40.0,112.0,79.0,45.0,58.0,81.0,52.0,55.0,72.0,30.0,32.0,51.0,0,92.0,43.0,57.0,79.0,67.0,87.0,70.0,63.0,48.0,34.0,32.0,74.0,57.0,73.0
8,Josh Richardson,135.0,81.0,109.0,102.0,133.0,137.0,35.0,67.0,105.0,75.0,75.0,105.0,37.0,55.0,72.0,0,135.0,36.0,72.0,69.0,73.0,147.0,74.0,76.0,70.0,74.0,77.0,97.0,65.0,151.0
9,Derrick Jones Jr.,66.0,75.0,74.0,19.0,64.0,96.0,18.0,0.0,87.0,17.0,47.0,26.0,35.0,42.0,41.0,0,67.0,25.0,21.0,26.0,17.0,66.0,57.0,7.0,0.0,0.0,40.0,37.0,26.0,60.0
10,Duncan Robinson,0.0,0.0,55.0,0.0,0.0,0.0,22.0,2.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,19.0,0.0,0.0,11.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0
11,Yante Maten,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Udonis Haslem,4.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Dwyane Wade,107.0,102.0,73.0,51.0,108.0,72.0,50.0,51.0,105.0,55.0,52.0,27.0,55.0,32.0,25.0,0,95.0,56.0,50.0,81.0,56.0,101.0,66.0,51.0,50.0,53.0,20.0,112.0,49.0,80.0
14,Kendrick Nunn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
