,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Justise Winslow,-11.3,0.9,18.4,10.1,0.0,22.3,24.9,-14.0,12.3,4.9,-18.6,-6.1,16.2,-12.9,14.9,0,-3.3,-1.5,20.7,29.1,-33.8,16.7,2.5,11.8,18.0,-10.9,-3.4,-5.1,-0.1,1.0
1,Goran Dragic,0.0,-6.0,1.2,0.0,3.4,4.4,14.6,0.0,-4.2,30.2,23.5,-2.6,0.0,-25.3,0.0,0,-39.2,-6.3,0.0,18.9,20.5,16.1,6.9,14.4,14.2,-25.0,-15.4,-0.9,0.0,-6.1
2,Ryan Anderson,0.0,-15.9,-13.2,0.0,0.0,0.0,49.8,-6.5,18.8,-19.0,0.0,0.0,0.0,-50.4,-0.8,0,-54.4,0.0,0.0,9.1,-11.0,-11.3,-16.7,39.6,0.0,-130.2,-62.6,-20.0,0.0,0.0
3,Hassan Whiteside,-15.6,-3.1,-7.0,6.7,7.7,28.2,6.8,-19.3,0.4,15.0,7.1,-6.6,-5.4,-9.3,-8.1,0,-11.3,9.5,-3.5,37.1,-13.0,10.6,-2.8,-0.9,21.3,0.0,-10.8,5.9,-10.5,-4.1
4,Bam Adebayo,3.7,-1.4,11.4,0.7,8.5,10.8,12.0,-2.3,6.8,-15.9,-1.7,4.2,17.4,-15.2,20.8,0,-25.4,-17.6,18.9,-9.5,-10.9,-5.3,22.1,19.2,-4.7,-19.9,29.4,-21.5,-6.2,13.8
5,James Johnson,-21.3,-20.1,-15.1,5.8,42.4,12.7,1.8,-5.8,13.4,-41.6,0.3,-40.9,-5.8,-14.9,-19.6,0,-11.4,9.3,-1.2,10.4,7.4,11.6,18.8,29.1,10.9,-35.7,-7.4,-9.9,-45.2,4.0
6,Dion Waiters,1.9,4.7,10.7,-7.4,8.8,31.5,8.4,-10.3,4.5,6.5,-22.6,3.4,-31.9,0.0,-47.2,0,-18.6,-21.2,0.0,-4.5,-13.8,-19.5,8.0,-8.4,-10.5,-4.3,25.8,-28.6,0.0,30.1
7,Kelly Olynyk,4.6,-6.6,10.7,0.0,1.3,20.8,15.4,-12.2,6.1,7.0,7.1,-10.7,23.0,-8.4,12.8,0,-16.3,-7.8,17.1,18.9,-3.2,-18.6,9.0,-10.4,19.6,9.1,23.8,-9.2,1.9,4.2
8,Josh Richardson,-3.3,-7.9,11.0,12.5,8.2,15.8,14.1,-14.6,2.4,-3.6,12.8,-6.8,-2.9,6.3,8.8,0,-13.6,-24.6,5.9,19.4,0.6,4.5,6.1,19.8,8.0,0.6,8.5,-20.6,-25.2,6.4
9,Derrick Jones Jr.,-12.0,7.1,-6.2,0.8,-0.1,21.4,17.1,0.0,0.6,0.3,17.6,0.5,19.2,16.0,19.3,0,-42.4,-14.8,-2.4,21.6,-29.2,6.3,-5.4,-33.3,0.0,0.0,12.7,-18.7,-3.9,-6.0
10,Duncan Robinson,0.0,0.0,-10.5,0.0,0.0,0.0,2.7,66.7,4.3,0.0,0.0,27.3,0.0,0.0,0.0,0,-50.0,0.0,0.0,-31.0,0.0,0.0,-22.7,-8.5,0.0,-33.3,0.0,0.0,0.0,0.0
11,Yante Maten,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Udonis Haslem,-67.5,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,10.3,7.6,0.0,0.0,22.6,0.0,0.0,0,0.0,0.0,0.0,-75.0,0.0,0.0,-56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Dwyane Wade,-5.1,1.4,-13.5,2.8,7.0,11.3,6.8,-11.8,-2.4,-17.9,-6.1,25.5,12.8,2.8,10.5,0,-24.8,6.8,11.2,4.2,9.7,-5.3,-0.6,1.1,3.1,-19.2,-25.8,-10.3,-3.5,-3.0
14,Kendrick Nunn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
