,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Eric Bledsoe,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0
1,Giannis Antetokounmpo,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
2,Khris Middleton,3.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
3,Malcolm Brogdon,2.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0
4,D.J. Wilson,4.0,1.0,4.0,2.0,2.0,3.0,2.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
5,George Hill,6.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0
6,Sterling Brown,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0
7,Tony Snell,2.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
8,Nikola Mirotic,0.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0
9,Donte DiVincenzo,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
10,Ersan Ilyasova,4.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0,3.0
11,Brook Lopez,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
12,Pat Connaughton,4.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
13,Bonzie Colson,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Pau Gasol,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0
15,Tim Frazier,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0
