,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Eric Bledsoe,73.0,94.0,117.0,114.0,127.0,122.0,60.0,65.0,121.0,56.0,58.0,106.0,66.0,63.0,55.0,119.0,0,51.0,52.0,128.0,31.0,83.0,69.0,60.0,54.0,57.0,65.0,122.0,28.0,54.0
1,Giannis Antetokounmpo,75.0,106.0,96.0,100.0,142.0,69.0,66.0,76.0,119.0,60.0,69.0,135.0,73.0,33.0,56.0,122.0,0,56.0,60.0,149.0,35.0,52.0,109.0,70.0,67.0,54.0,74.0,105.0,67.0,64.0
2,Khris Middleton,75.0,99.0,89.0,124.0,133.0,98.0,33.0,71.0,98.0,56.0,69.0,130.0,62.0,68.0,59.0,121.0,0,57.0,63.0,116.0,51.0,87.0,94.0,61.0,59.0,59.0,66.0,132.0,68.0,93.0
3,Malcolm Brogdon,47.0,89.0,55.0,114.0,130.0,29.0,59.0,64.0,47.0,56.0,36.0,112.0,37.0,28.0,53.0,30.0,0,56.0,46.0,126.0,33.0,83.0,35.0,59.0,51.0,59.0,58.0,127.0,31.0,84.0
4,D.J. Wilson,97.0,13.0,85.0,27.0,15.0,58.0,36.0,0.0,67.0,0.0,16.0,10.0,14.0,31.0,23.0,65.0,0,0.0,24.0,37.0,63.0,51.0,32.0,0.0,0.0,7.0,0.0,31.0,16.0,65.0
5,George Hill,137.0,44.0,152.0,17.0,42.0,57.0,43.0,24.0,86.0,25.0,45.0,70.0,20.0,18.0,15.0,59.0,0,29.0,29.0,48.0,40.0,70.0,44.0,0.0,0.0,0.0,0.0,103.0,23.0,63.0
6,Sterling Brown,77.0,34.0,99.0,26.0,30.0,48.0,47.0,6.0,61.0,23.0,48.0,46.0,24.0,0.0,28.0,48.0,0,26.0,19.0,49.0,43.0,40.0,35.0,8.0,19.0,8.0,16.0,52.0,13.0,62.0
7,Tony Snell,41.0,49.0,36.0,72.0,54.0,92.0,26.0,32.0,95.0,42.0,7.0,64.0,12.0,37.0,23.0,88.0,0,25.0,45.0,66.0,14.0,57.0,25.0,40.0,32.0,39.0,21.0,64.0,45.0,62.0
8,Nikola Mirotic,0.0,58.0,23.0,52.0,55.0,22.0,0.0,72.0,55.0,61.0,30.0,19.0,47.0,46.0,53.0,58.0,0,79.0,24.0,57.0,32.0,0.0,53.0,23.0,59.0,58.0,86.0,0.0,56.0,68.0
9,Donte DiVincenzo,0.0,24.0,0.0,14.0,51.0,37.0,0.0,13.0,28.0,14.0,0.0,29.0,15.0,0.0,6.0,0.0,0,19.0,13.0,35.0,0.0,18.0,20.0,0.0,23.0,17.0,13.0,23.0,0.0,0.0
10,Ersan Ilyasova,77.0,38.0,45.0,71.0,56.0,82.0,26.0,36.0,14.0,36.0,33.0,73.0,45.0,24.0,43.0,61.0,0,40.0,17.0,22.0,29.0,66.0,53.0,33.0,37.0,36.0,0.0,60.0,30.0,51.0
11,Brook Lopez,100.0,82.0,114.0,118.0,102.0,121.0,61.0,70.0,119.0,56.0,64.0,119.0,68.0,55.0,50.0,112.0,0,55.0,50.0,114.0,30.0,74.0,97.0,64.0,49.0,56.0,63.0,119.0,60.0,81.0
12,Pat Connaughton,81.0,9.0,73.0,83.0,53.0,90.0,18.0,36.0,45.0,44.0,31.0,22.0,56.0,62.0,39.0,78.0,0,33.0,24.0,36.0,18.0,37.0,56.0,42.0,25.0,43.0,41.0,21.0,36.0,29.0
13,Bonzie Colson,45.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Pau Gasol,0.0,5.0,6.0,0.0,11.0,0.0,20.0,0.0,9.0,5.0,0.0,26.0,2.0,35.0,20.0,0.0,0,34.0,50.0,6.0,30.0,23.0,0.0,25.0,17.0,6.0,15.0,0.0,7.0,9.0
15,Tim Frazier,77.0,37.0,49.0,32.0,38.0,51.0,69.0,41.0,40.0,21.0,43.0,18.0,30.0,24.0,83.0,41.0,24.0,66.0,0.0,0.0,99.0,31.0,11.0,12.0,49.0,27.0,50.0,7.0,13.0,37.0
