,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Eric Bledsoe,31.7,-15.7,9.0,4.8,8.5,12.7,36.0,14.3,21.7,14.0,8.8,5.3,-2.3,15.3,33.6,13.1,0,31.3,24.4,14.6,-1.4,9.9,3.8,-10.2,2.5,6.0,17.9,1.6,5.0,15.9
1,Giannis Antetokounmpo,31.0,1.0,9.9,21.0,9.7,30.8,23.9,13.8,15.5,4.3,12.0,7.2,-5.1,4.9,12.1,16.0,0,24.0,17.0,5.8,-1.2,28.5,13.6,0.5,14.8,8.9,10.9,5.9,19.2,19.8
2,Khris Middleton,33.9,-10.1,7.5,4.2,10.3,21.0,11.1,10.3,22.5,25.8,2.0,17.5,4.4,15.8,7.3,12.3,0,26.0,5.3,3.5,12.0,-0.5,7.6,-20.3,13.7,8.0,10.8,4.9,10.8,12.1
3,Malcolm Brogdon,16.1,11.0,32.2,28.6,5.8,9.8,17.9,7.2,25.4,-13.6,24.1,16.3,-12.5,19.9,-17.9,15.3,0,25.4,10.0,-1.4,11.8,15.2,-7.5,-14.9,18.5,3.4,-3.8,26.0,7.6,20.7
4,D.J. Wilson,14.4,18.8,8.4,11.1,-6.6,-17.6,-9.6,0.0,18.8,0.0,39.1,-57.7,19.6,7.5,22.6,26.4,0,0.0,18.9,24.8,-14.2,-17.7,-8.8,0.0,0.0,58.4,0.0,14.3,-27.4,5.5
5,George Hill,19.8,34.5,2.5,40.7,-15.6,13.9,-5.4,-30.4,-1.9,-1.6,10.4,-14.2,50.0,42.5,26.2,25.6,0,2.8,20.0,22.4,-7.7,-5.9,6.5,0.0,0.0,0.0,0.0,-9.8,6.7,5.0
6,Sterling Brown,14.4,15.4,9.2,-18.1,-31.5,23.2,2.9,-25.0,14.8,-19.5,-2.0,-10.4,-21.0,0.0,-6.6,24.1,0,-8.5,0.2,0.1,-32.1,-24.8,8.2,-62.5,47.9,32.7,28.1,-0.8,13.6,-21.8
7,Tony Snell,18.6,13.0,1.2,28.2,-2.9,2.8,5.9,-6.6,15.2,-29.0,-25.0,-9.5,6.3,-6.4,19.6,25.8,0,-15.8,15.4,32.6,-19.2,4.2,37.8,0.2,-9.4,23.0,-47.8,13.3,-28.3,18.1
8,Nikola Mirotic,0.0,-11.7,21.9,1.8,34.5,8.0,0.0,8.0,-23.1,2.2,26.7,4.5,-3.8,17.1,17.5,5.6,0,7.2,3.5,-10.1,-3.2,0.0,1.8,-33.1,-18.0,21.1,14.5,0.0,-1.7,-2.3
9,Donte DiVincenzo,0.0,25.3,0.0,37.0,17.4,20.7,0.0,-14.0,-6.6,35.3,0.0,13.8,-55.8,0.0,-45.1,0.0,0,46.6,30.3,-13.3,0.0,40.0,2.0,0.0,-18.6,29.6,6.9,13.5,0.0,0.0
10,Ersan Ilyasova,1.8,12.7,4.2,10.7,-9.5,16.7,-3.3,-3.1,-7.1,18.5,14.3,30.3,13.1,37.6,-27.6,42.2,0,5.9,-12.7,9.3,-17.1,11.1,0.8,21.0,1.2,4.3,0.0,12.1,8.9,15.3
11,Brook Lopez,17.4,-1.2,15.5,5.2,14.6,20.6,24.0,15.4,15.6,3.2,6.4,6.4,3.5,9.4,18.7,14.0,0,34.4,0.8,11.4,-1.7,0.6,7.3,-11.9,19.5,19.0,12.5,0.1,17.8,17.8
12,Pat Connaughton,5.3,22.6,-7.6,19.7,-9.2,3.3,36.6,13.7,1.3,10.8,20.4,17.7,31.3,17.2,12.3,17.0,0,8.7,-12.2,16.9,-28.1,-17.9,-11.1,14.5,9.2,19.4,-39.8,-16.8,-25.3,1.9
13,Bonzie Colson,2.1,0.0,-91.7,-105.4,0.0,166.7,0.0,0.0,0.0,0.0,-50.0,0.0,-200.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Pau Gasol,0.0,9.1,-37.4,0.0,7.9,0.0,11.0,0.0,6.3,-87.9,0.0,-32.1,0.0,2.4,-2.3,0.0,0,-18.2,17.3,18.2,-17.3,4.3,0.0,22.9,-20.6,-42.9,-62.5,0.0,0.0,35.3
15,Tim Frazier,-6.8,-15.7,-5.8,2.0,13.5,8.6,-1.0,-14.3,-4.4,-12.6,7.4,-7.9,-21.5,-57.0,-0.8,14.0,-1.8,15.1,0.0,0.0,-9.2,-20.8,-11.0,19.2,-21.5,-13.0,8.6,20.0,1.9,27.6
