,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Gorgui Dieng,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,0,4.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0
1,Andrew Wiggins,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,0,4.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0
2,Robert Covington,2.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0
3,Karl-Anthony Towns,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,0,4.0,0.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,4.0,2.0
4,Tyus Jones,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0
5,Dario Saric,3.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
6,Jerryd Bayless,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0
7,Jeff Teague,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0
8,Taj Gibson,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0
9,Josh Okogie,2.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0
10,Derrick Rose,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0
11,Jared Terrell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0
12,Keita Bates-Diop,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0
13,Anthony Tolliver,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0
14,C.J. Williams,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
15,Luol Deng,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0
16,Cameron Reynolds,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
17,Mitch Creek,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
