,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Gorgui Dieng,10.0,21.0,31.0,22.0,28.0,23.0,49.0,74.0,18.0,54.0,19.0,15.0,39.0,53.0,59.0,32.0,15.0,0,47.0,18.0,64.0,28.0,35.0,19.0,64.0,42.0,68.0,41.0,41.0,2.0
1,Andrew Wiggins,82.0,76.0,73.0,60.0,72.0,65.0,101.0,101.0,70.0,154.0,66.0,46.0,70.0,114.0,145.0,72.0,38.0,0,151.0,35.0,148.0,69.0,63.0,107.0,135.0,95.0,133.0,28.0,142.0,33.0
2,Robert Covington,76.0,73.0,67.0,101.0,99.0,39.0,0.0,37.0,113.0,26.0,39.0,36.0,33.0,0.0,37.0,36.0,29.0,0,79.0,0.0,29.0,39.0,0.0,25.0,23.0,67.0,62.0,37.0,0.0,0.0
3,Karl-Anthony Towns,84.0,75.0,65.0,72.0,70.0,73.0,101.0,97.0,70.0,134.0,96.0,67.0,97.0,137.0,133.0,66.0,27.0,0,141.0,0.0,115.0,68.0,61.0,109.0,121.0,126.0,101.0,35.0,131.0,73.0
4,Tyus Jones,63.0,55.0,31.0,40.0,48.0,28.0,67.0,80.0,35.0,118.0,41.0,35.0,46.0,47.0,50.0,67.0,55.0,0,78.0,37.0,106.0,20.0,34.0,16.0,88.0,96.0,66.0,49.0,29.0,37.0
5,Dario Saric,83.0,66.0,41.0,73.0,121.0,18.0,49.0,95.0,117.0,82.0,69.0,57.0,85.0,42.0,106.0,47.0,63.0,0,78.0,45.0,104.0,82.0,48.0,72.0,78.0,74.0,65.0,56.0,69.0,41.0
6,Jerryd Bayless,14.0,5.0,0.0,2.0,16.0,0.0,14.0,56.0,0.0,42.0,27.0,0.0,32.0,30.0,97.0,29.0,0.0,0,10.0,3.0,16.0,27.0,34.0,50.0,15.0,14.0,24.0,0.0,100.0,0.0
7,Jeff Teague,0.0,33.0,65.0,28.0,34.0,68.0,65.0,29.0,30.0,28.0,74.0,60.0,35.0,61.0,29.0,0.0,40.0,0,76.0,64.0,58.0,28.0,26.0,55.0,69.0,32.0,86.0,30.0,0.0,61.0
8,Taj Gibson,37.0,49.0,59.0,50.0,25.0,58.0,61.0,63.0,38.0,51.0,71.0,53.0,53.0,120.0,69.0,30.0,44.0,0,110.0,61.0,70.0,43.0,18.0,48.0,69.0,85.0,106.0,20.0,81.0,44.0
9,Josh Okogie,42.0,24.0,20.0,15.0,34.0,0.0,77.0,61.0,52.0,99.0,67.0,50.0,81.0,116.0,79.0,46.0,47.0,0,108.0,43.0,128.0,63.0,43.0,41.0,84.0,87.0,62.0,44.0,111.0,35.0
10,Derrick Rose,65.0,29.0,68.0,69.0,26.0,53.0,60.0,50.0,58.0,39.0,48.0,50.0,60.0,78.0,30.0,0.0,50.0,0,0.0,31.0,20.0,0.0,22.0,94.0,71.0,106.0,91.0,30.0,41.0,55.0
11,Jared Terrell,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0,0,0.0,2.0,13.0,0.0,0.0,6.0,21.0,0.0,0.0,16.0,29.0,0.0
12,Keita Bates-Diop,4.0,0.0,0.0,0.0,15.0,0.0,20.0,52.0,16.0,30.0,17.0,10.0,18.0,1.0,22.0,25.0,21.0,0,0.0,48.0,31.0,2.0,27.0,6.0,25.0,0.0,0.0,24.0,26.0,63.0
13,Anthony Tolliver,19.0,26.0,15.0,2.0,20.0,20.0,34.0,48.0,20.0,72.0,27.0,36.0,37.0,57.0,60.0,16.0,50.0,0,16.0,45.0,52.0,48.0,37.0,48.0,39.0,41.0,49.0,51.0,57.0,39.0
14,C.J. Williams,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0,0.0,2.0,0.0,2.0,0.0,6.0,24.0,11.0,0.0,19.0,17.0,0.0
15,Luol Deng,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,36.0,0.0,38.0,12.0,42.0,0.0,32.0,0,36.0,29.0,0.0,15.0,15.0,19.0,7.0,31.0,7.0,0.0,47.0,0.0
16,Cameron Reynolds,0.0,0.0,0.0,0.0,9.0,0.0,15.0,51.0,5.0,18.0,15.0,0.0,6.0,0.0,3.0,13.0,0.0,0,0.0,18.0,7.0,0.0,18.0,0.0,21.0,0.0,0.0,19.0,18.0,22.0
17,Mitch Creek,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
