,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Gorgui Dieng,-18.2,-11.5,-5.3,0.6,-9.5,42.6,-4.4,-10.5,42.4,5.2,-20.7,20.0,-11.5,-5.5,3.6,-23.8,-18.5,0,-8.8,-9.0,2.9,-4.7,7.2,-11.9,-17.0,12.1,3.4,-18.6,-38.2,41.7
1,Andrew Wiggins,-2.3,-10.2,18.2,11.6,19.3,1.7,-2.0,-5.6,-8.1,-7.1,-10.0,-11.5,-11.3,15.5,-1.7,24.6,-27.2,0,0.8,-2.7,-3.0,4.8,-18.6,10.2,-11.0,1.4,5.9,-20.3,-1.9,-25.6
2,Robert Covington,16.6,-8.9,9.7,27.8,2.0,18.8,0.0,5.1,-4.7,-19.6,-4.2,23.9,11.9,0.0,-23.2,-11.4,-38.2,0,3.0,0.0,17.1,0.3,0.0,-14.0,12.6,3.1,15.2,-15.9,0.0,0.0
3,Karl-Anthony Towns,-0.1,-10.5,16.2,31.2,10.1,1.3,5.5,-15.1,-19.7,-10.0,10.4,-1.0,3.0,16.1,-0.4,16.1,-34.5,0,1.9,0.0,3.1,6.9,-43.3,3.8,-5.6,1.7,-1.2,-5.6,5.2,-7.2
4,Tyus Jones,-2.1,-9.3,-16.6,25.0,-21.4,38.3,1.2,-18.0,-11.1,-8.0,-22.5,20.7,-14.5,-11.2,22.1,14.7,-3.2,0,17.6,17.5,11.0,1.0,-20.5,-4.0,-2.7,-1.3,5.3,-13.9,-9.6,13.1
5,Dario Saric,6.4,-13.2,-6.4,21.5,2.8,54.5,-21.0,-8.6,0.8,1.6,-11.9,-9.4,-5.9,-4.3,24.4,4.9,-24.4,0,1.3,-0.3,8.1,-7.8,-30.8,4.4,6.8,26.5,-12.3,-13.7,-20.9,-26.9
6,Jerryd Bayless,-25.2,-111.1,0.0,-60.0,-6.1,0.0,-22.6,-4.1,0.0,-11.9,-30.9,0.0,-45.3,19.5,0.5,-16.8,0.0,0,-51.3,60.0,-11.3,-28.2,-19.9,9.5,-47.7,-3.4,-37.0,0.0,-12.2,0.0
7,Jeff Teague,0.0,-8.0,21.3,13.6,42.9,-0.1,-0.3,-15.6,-15.9,-7.2,19.0,-8.3,32.8,15.7,-30.8,0.0,-44.6,0,-4.8,6.6,-9.2,30.7,-51.4,-8.0,-1.2,5.7,13.4,1.2,0.0,-13.5
8,Taj Gibson,-2.5,-4.1,18.2,24.8,11.8,-10.1,6.2,-8.4,-33.8,-33.5,7.4,1.9,-5.3,22.4,-34.4,23.2,-31.6,0,-6.7,8.5,-8.6,14.3,-32.0,23.8,-12.3,-12.4,17.0,-17.5,-16.8,-0.2
9,Josh Okogie,-26.1,-6.5,6.7,34.4,-8.3,0.0,9.3,-22.6,0.0,-2.7,-4.4,14.1,0.7,12.6,-1.1,11.8,-35.2,0,-5.2,13.4,5.7,-1.4,-36.0,17.0,-8.9,24.3,-13.8,-14.0,1.9,2.1
10,Derrick Rose,6.9,-19.0,-4.9,26.3,16.7,30.7,-8.2,-7.2,-18.4,6.1,22.1,-9.4,-3.7,4.0,-1.8,0.0,4.1,0,0.0,9.1,-7.4,0.0,-51.0,7.5,-1.4,-4.8,-2.5,-10.8,12.5,-4.3
11,Jared Terrell,0.0,83.3,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,89.3,0.0,100.0,3.5,0.0,0.0,0.0,0,0.0,-50.0,-31.9,0.0,0.0,50.0,-27.7,0.0,0.0,-38.9,-25.6,0.0
12,Keita Bates-Diop,-112.5,0.0,0.0,0.0,-12.5,0.0,14.0,-12.2,-37.7,-26.1,16.9,24.2,-2.6,-33.3,-2.8,-11.5,-1.3,0,0.0,20.6,14.3,33.3,0.9,50.0,-16.3,0.0,0.0,-18.9,-45.0,-6.7
13,Anthony Tolliver,-28.5,-21.5,-16.1,-60.0,0.4,33.7,-15.4,-3.1,-27.3,-9.3,1.7,11.5,-7.5,-3.3,1.8,-11.8,-10.0,0,-20.6,19.1,12.1,11.9,-11.1,-1.1,-40.1,-11.5,-15.5,-4.7,5.6,13.5
14,C.J. Williams,0.0,0.0,100.0,0.0,0.0,0.0,-46.3,0.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0.0,-50.0,0.0,33.3,0.0,50.0,-27.0,-44.0,0.0,-25.4,-39.4,0.0
15,Luol Deng,-18.8,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,26.9,0.0,32.1,38.9,10.0,0.0,11.8,0,22.3,39.3,0.0,-10.0,-46.1,22.7,18.1,15.6,0.0,0.0,-19.0,0.0
16,Cameron Reynolds,0.0,0.0,0.0,0.0,-15.0,0.0,-0.4,-10.1,56.6,-11.5,22.8,0.0,22.1,0.0,-16.1,-45.7,0.0,0,0.0,2.9,-84.9,0.0,2.0,0.0,-4.2,0.0,0.0,-2.4,-49.7,11.2
17,Mitch Creek,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,-58.3,0.0,0.0,0.0,0.0,0.0,-8.3,0.0,0.0
