,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Anthony Davis,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0
1,Stanley Johnson,3.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,0.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0
2,E'Twaun Moore,0.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
3,Cheick Diallo,2.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0
4,Solomon Hill,1.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0
5,Jrue Holiday,0.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0
6,Frank Jackson,2.0,1.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0
7,Darius Miller,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0
8,Elfrid Payton,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,0.0
9,Julius Randle,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,4.0,0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0
10,Ian Clark,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0
11,Trevon Bluiett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kenrich Williams,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,4.0,2.0,0.0,2.0,1.0,0,0.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0
13,Jahlil Okafor,2.0,1.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,0.0,1.0,2.0,0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0
14,Christian Wood,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
15,Dairis Bertans,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
