,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Anthony Davis,21.0,75.0,80.0,37.0,37.0,65.0,132.0,38.0,26.0,82.0,99.0,20.0,118.0,60.0,105.0,80.0,51.0,102.0,0,72.0,94.0,24.0,62.0,80.0,36.0,67.0,72.0,40.0,43.0,34.0
1,Stanley Johnson,61.0,74.0,33.0,49.0,80.0,39.0,40.0,29.0,0.0,23.0,64.0,36.0,29.0,57.0,13.0,37.0,85.0,35.0,10.0,54.0,14.0,84.0,58.0,36.0,0.0,54.0,11.0,36.0,27.0,40.0
2,E'Twaun Moore,0.0,26.0,68.0,31.0,0.0,27.0,78.0,74.0,39.0,72.0,70.0,20.0,84.0,39.0,62.0,61.0,24.0,102.0,0,61.0,33.0,26.0,59.0,49.0,57.0,54.0,83.0,36.0,66.0,61.0
3,Cheick Diallo,31.0,22.0,0.0,29.0,16.0,9.0,52.0,52.0,10.0,24.0,21.0,49.0,0.0,54.0,21.0,13.0,20.0,31.0,0,5.0,66.0,31.0,17.0,87.0,35.0,49.0,46.0,43.0,38.0,23.0
4,Solomon Hill,15.0,40.0,31.0,0.0,53.0,4.0,74.0,38.0,33.0,33.0,56.0,5.0,52.0,39.0,30.0,46.0,39.0,29.0,0,0.0,71.0,0.0,0.0,29.0,10.0,60.0,42.0,12.0,20.0,17.0
5,Jrue Holiday,0.0,76.0,75.0,70.0,32.0,63.0,105.0,137.0,79.0,83.0,118.0,64.0,119.0,107.0,141.0,81.0,37.0,153.0,0,72.0,149.0,24.0,75.0,67.0,72.0,64.0,135.0,39.0,94.0,72.0
6,Frank Jackson,58.0,6.0,5.0,18.0,0.0,38.0,63.0,78.0,16.0,23.0,69.0,50.0,15.0,63.0,62.0,5.0,53.0,37.0,0,23.0,55.0,44.0,32.0,62.0,60.0,20.0,94.0,37.0,66.0,21.0
7,Darius Miller,57.0,58.0,33.0,50.0,24.0,59.0,100.0,88.0,52.0,32.0,81.0,37.0,67.0,57.0,97.0,39.0,65.0,95.0,0,54.0,114.0,42.0,17.0,77.0,57.0,74.0,96.0,42.0,51.0,45.0
8,Elfrid Payton,56.0,0.0,65.0,0.0,29.0,52.0,37.0,32.0,32.0,54.0,68.0,28.0,65.0,88.0,57.0,0.0,34.0,51.0,0,8.0,29.0,24.0,30.0,114.0,58.0,100.0,30.0,29.0,78.0,0.0
9,Julius Randle,68.0,49.0,57.0,54.0,55.0,60.0,145.0,92.0,67.0,45.0,90.0,25.0,94.0,134.0,127.0,56.0,36.0,110.0,0,59.0,99.0,44.0,62.0,135.0,105.0,86.0,52.0,68.0,93.0,65.0
10,Ian Clark,44.0,18.0,27.0,40.0,42.0,7.0,29.0,52.0,0.0,53.0,49.0,28.0,4.0,65.0,11.0,14.0,22.0,20.0,0,32.0,41.0,28.0,23.0,69.0,42.0,85.0,56.0,48.0,13.0,12.0
11,Trevon Bluiett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kenrich Williams,60.0,3.0,0.0,40.0,24.0,7.0,40.0,67.0,0.0,34.0,57.0,67.0,0.0,92.0,46.0,0.0,30.0,37.0,0,0.0,53.0,57.0,26.0,98.0,33.0,60.0,36.0,29.0,81.0,2.0
13,Jahlil Okafor,16.0,3.0,0.0,25.0,27.0,31.0,34.0,72.0,31.0,42.0,59.0,50.0,10.0,55.0,59.0,0.0,13.0,18.0,0,0.0,48.0,58.0,17.0,52.0,33.0,82.0,63.0,17.0,20.0,2.0
14,Christian Wood,32.0,0.0,3.0,7.0,26.0,0.0,0.0,0.0,7.0,34.0,8.0,6.0,0.0,27.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,16.0,11.0,52.0,0.0,4.0,7.0,7.0
15,Dairis Bertans,6.0,0.0,0.0,0.0,17.0,0.0,7.0,0.0,0.0,26.0,12.0,0.0,0.0,22.0,0.0,0.0,8.0,0.0,0,0.0,0.0,15.0,0.0,25.0,0.0,29.0,0.0,0.0,0.0,0.0
