,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Anthony Davis,-4.8,-18.2,5.5,14.2,16.4,21.8,1.0,13.2,11.7,-10.4,6.9,-2.6,7.2,-3.8,8.6,0.2,-16.9,11.2,0,1.3,-2.1,-32.0,-2.6,17.8,-26.7,13.1,6.6,23.0,-19.6,28.1
1,Stanley Johnson,0.1,6.7,0.0,-25.5,-13.2,30.4,-40.0,21.4,0.0,11.3,-14.5,-30.6,-48.8,-11.8,-69.2,-27.8,-4.5,-27.8,-10.7,9.8,-50.6,8.4,-8.4,26.2,0.0,-6.1,-60.6,12.8,-22.6,-0.3
2,E'Twaun Moore,0.0,-7.5,5.9,18.1,0.0,47.8,3.5,7.3,-19.4,-3.9,16.2,-20.7,1.8,-1.2,-22.1,-1.8,-30.3,-3.4,0,-4.0,-29.5,-25.0,-16.1,38.1,-17.0,19.3,3.7,25.4,-13.4,0.1
3,Cheick Diallo,-43.9,-7.1,0.0,34.9,-34.3,15.8,13.4,22.0,-5.6,-26.5,-34.8,-12.5,0.0,-10.8,-36.9,12.1,-18.2,-20.4,0,11.8,5.7,-50.2,22.1,12.7,0.7,-6.9,10.4,0.0,-32.0,-18.9
4,Solomon Hill,-20.3,-10.4,-18.5,0.0,-8.6,33.3,14.9,-18.8,31.3,-15.1,-21.4,61.8,-1.8,-36.7,0.3,-34.1,-9.6,35.1,0,0.0,0.1,0.0,0.0,14.0,-4.2,-17.0,-31.2,-33.3,3.2,30.3
5,Jrue Holiday,0.0,-4.3,8.3,13.8,16.3,37.0,10.7,3.5,1.8,-14.0,12.8,-0.1,17.6,-0.5,12.1,1.0,10.1,4.6,0,-4.6,4.5,-24.2,7.6,14.5,-22.8,7.6,-5.4,18.8,-19.0,11.3
6,Frank Jackson,-14.0,-98.5,-74.6,-9.4,0.0,7.8,8.2,7.1,17.6,-10.8,-28.7,-15.2,-33.1,1.4,31.6,-32.2,-16.8,-26.9,0,-18.7,13.6,-31.7,13.2,9.3,-16.8,-3.5,0.9,-28.2,-6.8,-12.0
7,Darius Miller,-9.9,-12.4,-14.0,-2.8,2.0,31.5,-0.8,10.9,-16.7,-17.8,-9.3,-6.6,-22.5,3.1,20.2,-8.5,-1.3,11.3,0,15.1,1.1,-21.1,-5.6,11.6,-5.7,0.6,-14.8,2.2,11.5,-2.0
8,Elfrid Payton,-20.9,0.0,8.0,0.0,-9.1,27.9,7.1,-6.9,-5.0,-3.7,6.1,-20.0,13.5,11.3,17.8,0.0,-28.8,-2.1,0,-54.3,-13.0,-47.1,17.0,-5.7,-14.9,10.9,-13.6,-29.0,-19.7,0.0
9,Julius Randle,-0.5,-10.2,-7.4,18.0,2.5,33.5,16.3,7.4,8.7,-28.5,1.5,-15.7,9.8,-10.8,1.7,-20.4,-12.6,-15.7,0,-2.3,11.2,-48.9,-6.4,4.8,-15.7,10.3,2.7,-2.8,-4.3,9.6
10,Ian Clark,-7.3,-41.0,-16.1,7.7,-3.6,24.6,5.2,19.6,0.0,-11.8,12.8,3.5,-41.7,-13.3,0.0,-18.8,-8.4,-50.3,0,9.8,-11.8,-8.5,5.4,-1.5,-3.7,8.0,-7.7,-2.6,-44.6,-6.7
11,Trevon Bluiett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kenrich Williams,-12.4,56.7,0.0,-4.5,6.0,-82.0,20.5,-5.6,0.0,-2.8,-12.9,-4.7,0.0,-4.1,-3.4,0.0,-20.5,10.6,0,0.0,12.1,-40.2,-12.7,-9.3,-7.2,18.4,14.4,-27.9,17.6,0.0
13,Jahlil Okafor,-5.5,20.0,0.0,-26.1,-5.9,27.8,-8.8,-13.1,-14.3,-3.5,-2.3,-14.8,-7.7,-0.5,14.6,0.0,44.6,-17.6,0,0.0,-12.2,-12.1,-13.4,-13.6,-3.4,10.1,-27.2,-25.6,-6.5,0.0
14,Christian Wood,5.4,0.0,-12.5,-62.2,-16.4,0.0,0.0,0.0,-11.8,-4.1,-24.2,-14.3,0.0,-43.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.9,56.5,-1.2,0.0,-86.9,1.4,-52.8
15,Dairis Bertans,-42.9,0.0,0.0,0.0,-25.6,0.0,-42.9,0.0,0.0,-13.2,-19.4,0.0,0.0,-26.9,0.0,0.0,-5.9,0.0,0,0.0,0.0,15.4,0.0,5.9,0.0,-27.5,0.0,0.0,0.0,0.0
