,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Emmanuel Mudiay,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
1,Lance Thomas,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0
2,Frank Ntilikina,3.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
3,Dennis Smith Jr.,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0
4,Damyean Dotson,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0
5,Isaiah Hicks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Kevin Knox,4.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
7,Mario Hezonja,2.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,4.0,2.0,4.0
8,DeAndre Jordan,3.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,0.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,5.0,4.0,1.0
9,Luke Kornet,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
10,Mitchell Robinson,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0
11,Allonzo Trier,3.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0
12,Noah Vonleh,4.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0
13,Kadeem Allen,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
14,John Jenkins,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0
15,Henry Ellenson,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0
16,Billy Garrett,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
