,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Emmanuel Mudiay,56.0,54.0,28.0,71.0,60.0,53.0,16.0,65.0,22.0,25.0,28.0,91.0,64.0,66.0,23.0,35.0,97.0,47.0,51.0,0,39.0,111.0,80.0,49.0,59.0,43.0,55.0,70.0,58.0,90.0
1,Lance Thomas,34.0,17.0,56.0,37.0,22.0,19.0,33.0,21.0,40.0,19.0,34.0,43.0,36.0,12.0,0.0,61.0,30.0,13.0,0.0,0,0.0,29.0,51.0,34.0,0.0,40.0,45.0,32.0,17.0,8.0
2,Frank Ntilikina,70.0,46.0,97.0,16.0,35.0,24.0,32.0,43.0,15.0,26.0,24.0,51.0,7.0,1.0,13.0,46.0,56.0,0.0,29.0,0,51.0,27.0,58.0,29.0,28.0,0.0,0.0,25.0,16.0,39.0
3,Dennis Smith Jr.,61.0,31.0,19.0,90.0,22.0,60.0,0.0,0.0,111.0,28.0,31.0,25.0,97.0,78.0,57.0,18.0,0.0,77.0,30.0,60.0,74.0,21.0,47.0,92.0,31.0,61.0,68.0,82.0,80.0,57.0
4,Damyean Dotson,55.0,80.0,80.0,123.0,46.0,71.0,57.0,49.0,96.0,52.0,53.0,96.0,73.0,66.0,20.0,84.0,113.0,74.0,19.0,0,47.0,88.0,113.0,34.0,22.0,64.0,72.0,90.0,58.0,112.0
5,Isaiah Hicks,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Kevin Knox,92.0,95.0,73.0,80.0,118.0,91.0,27.0,72.0,113.0,32.0,64.0,88.0,42.0,74.0,42.0,62.0,113.0,66.0,30.0,0,56.0,110.0,122.0,62.0,34.0,44.0,58.0,119.0,88.0,91.0
7,Mario Hezonja,31.0,64.0,60.0,36.0,42.0,27.0,41.0,22.0,70.0,43.0,42.0,56.0,26.0,50.0,43.0,52.0,42.0,0.0,19.0,0,33.0,60.0,58.0,17.0,48.0,0.0,0.0,95.0,30.0,100.0
8,DeAndre Jordan,98.0,64.0,29.0,63.0,24.0,24.0,0.0,49.0,85.0,97.0,56.0,66.0,135.0,127.0,68.0,0.0,31.0,109.0,89.0,59.0,85.0,27.0,50.0,119.0,65.0,56.0,102.0,128.0,109.0,32.0
9,Luke Kornet,43.0,19.0,2.0,67.0,24.0,20.0,0.0,30.0,32.0,21.0,19.0,30.0,21.0,21.0,20.0,43.0,47.0,11.0,0.0,0,7.0,19.0,72.0,14.0,19.0,39.0,10.0,22.0,40.0,72.0
10,Mitchell Robinson,35.0,65.0,52.0,79.0,39.0,68.0,58.0,23.0,78.0,29.0,45.0,31.0,37.0,15.0,13.0,72.0,20.0,46.0,34.0,0,33.0,97.0,46.0,22.0,18.0,41.0,51.0,96.0,30.0,88.0
11,Allonzo Trier,81.0,84.0,91.0,42.0,21.0,49.0,43.0,19.0,75.0,45.0,33.0,62.0,25.0,25.0,38.0,41.0,71.0,54.0,67.0,0,62.0,56.0,60.0,32.0,28.0,54.0,46.0,73.0,22.0,60.0
12,Noah Vonleh,109.0,117.0,93.0,35.0,107.0,64.0,25.0,34.0,44.0,41.0,31.0,117.0,28.0,17.0,55.0,42.0,122.0,53.0,64.0,0,53.0,68.0,90.0,48.0,65.0,34.0,27.0,51.0,24.0,66.0
13,Kadeem Allen,24.0,35.0,0.0,9.0,18.0,32.0,18.0,15.0,55.0,0.0,0.0,0.0,20.0,17.0,20.0,27.0,0.0,0.0,0.0,0,0.0,0.0,23.0,0.0,0.0,0.0,28.0,73.0,0.0,0.0
14,John Jenkins,26.0,0.0,0.0,43.0,0.0,20.0,0.0,3.0,27.0,0.0,25.0,5.0,24.0,0.0,0.0,0.0,11.0,19.0,0.0,0,0.0,39.0,0.0,0.0,0.0,13.0,20.0,26.0,9.0,22.0
15,Henry Ellenson,0.0,8.0,0.0,14.0,0.0,27.0,0.0,3.0,21.0,0.0,23.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,42.0,17.0,3.0,0.0,21.0,8.0,21.0,18.0,18.0
16,Billy Garrett,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
