,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Emmanuel Mudiay,-1.3,-20.0,-8.5,-0.5,-9.2,-0.1,14.2,-11.6,6.5,-53.3,-19.5,-12.2,-13.2,0.9,15.4,-17.0,-10.6,-9.5,14.4,0,-37.5,-10.5,-19.2,-14.3,-2.7,-11.6,-8.9,-40.3,-28.4,-4.4
1,Lance Thomas,29.6,-18.2,-8.8,22.7,11.8,-8.5,3.8,-17.5,-20.4,-31.0,-37.5,2.6,-46.1,22.5,0.0,-25.0,-9.8,-4.7,0.0,0,0.0,-47.0,-13.3,-9.9,0.0,-2.4,2.6,-11.9,-70.3,0.0
2,Frank Ntilikina,3.8,-13.0,14.5,-36.6,-4.1,-22.6,14.5,-10.5,-23.4,-28.7,16.9,-21.4,-71.7,-166.7,-23.1,-8.4,-7.1,0.0,-1.2,0,-4.6,7.1,-6.5,-32.7,-15.0,0.0,0.0,0.0,-106.1,-2.6
3,Dennis Smith Jr.,4.6,-19.0,-5.1,-0.5,3.8,-0.3,0.0,0.0,-19.3,17.1,-9.9,22.2,-0.5,-24.5,-19.4,12.2,0.0,-9.3,11.9,16.9,-2.6,-38.6,-33.5,-16.1,4.8,-5.3,15.7,-11.7,-0.6,9.9
4,Damyean Dotson,11.8,-19.1,4.6,12.7,-13.1,0.6,17.9,-6.5,-19.5,-17.9,-17.1,-4.6,-13.0,-1.4,-66.7,-2.3,-0.9,0.0,5.2,0,-22.3,-12.3,-13.3,-11.9,-18.4,-11.1,-0.4,-33.5,-46.7,1.1
5,Isaiah Hicks,0.0,0.0,0.0,-14.3,0.0,0.0,0.0,0.0,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Kevin Knox,-7.4,-8.6,-4.1,6.8,-7.8,-19.4,-33.6,-14.6,-30.8,-35.8,-42.2,-14.7,-10.1,9.1,-20.2,-13.1,-8.7,-7.2,-12.1,0,-30.8,-21.7,-20.0,-11.8,-15.1,-1.0,-5.7,-23.8,-23.9,-5.9
7,Mario Hezonja,-0.2,-8.4,-17.8,5.6,-9.9,18.5,-30.4,-34.1,-12.1,-27.8,-11.8,-3.7,4.5,5.2,9.5,-0.8,-23.0,0.0,-8.1,0,-10.5,-4.5,-10.8,-30.3,5.8,0.0,0.0,-32.2,-44.1,-0.9
8,DeAndre Jordan,-4.7,7.2,0.1,-4.5,23.0,-13.9,0.0,2.8,-20.2,7.4,4.6,-7.8,-0.8,-10.5,-11.5,0.0,-21.9,-7.3,-5.5,5.9,-5.7,23.6,-37.2,-8.8,-1.0,-11.7,-2.5,-20.1,-4.6,16.3
9,Luke Kornet,15.9,-23.7,63.3,13.4,38.0,-7.3,0.0,3.0,-33.3,-55.1,14.1,-37.7,9.8,7.3,-7.7,-5.7,-13.5,-60.9,0.0,0,-49.5,-38.7,18.3,-33.3,-43.6,-1.1,-43.3,-2.4,3.5,1.9
10,Mitchell Robinson,20.4,-5.6,2.3,4.3,-11.3,-8.1,1.9,-11.0,-22.9,-19.7,-18.1,-3.1,-9.8,-3.4,-11.5,-0.7,-5.3,-11.7,8.9,0,-16.8,0.4,4.2,-13.3,-31.4,-18.9,-7.3,-6.8,-6.7,-8.1
11,Allonzo Trier,4.1,-8.3,4.6,-3.8,-48.3,-5.4,2.7,17.5,-3.8,-29.6,18.0,-11.1,-23.0,-11.1,-2.8,-9.2,-13.0,-2.7,7.2,0,-15.1,3.6,-16.8,-5.9,-18.8,-10.5,-9.8,-22.5,-39.1,-11.8
12,Noah Vonleh,12.4,-5.5,7.9,0.0,-5.7,-5.3,-12.0,-24.2,-22.7,-36.0,-39.5,-6.9,-3.6,26.3,2.8,-16.3,-3.9,-17.3,15.1,0,-31.0,-19.6,-41.4,-30.6,-9.8,14.9,-2.1,-3.8,22.9,3.8
13,Kadeem Allen,18.0,-7.9,0.0,95.8,-13.5,3.5,3.0,-23.3,-8.6,0.0,0.0,0.0,-15.1,-5.8,2.6,-10.8,0.0,0.0,0.0,0,0.0,0.0,1.6,0.0,0.0,0.0,-26.9,-4.3,0.0,0.0
14,John Jenkins,19.7,0.0,0.0,-16.6,0.0,-20.0,0.0,14.3,-9.6,0.0,-3.5,-10.0,-17.0,0.0,0.0,0.0,25.6,-51.3,0.0,0,0.0,10.7,0.0,0.0,0.0,8.3,-33.3,-28.1,-0.9,18.6
15,Henry Ellenson,0.0,14.4,0.0,-6.7,0.0,-14.2,0.0,14.3,-0.4,0.0,-4.1,0.0,-9.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.4,-24.0,33.3,0.0,-37.4,-51.8,-7.4,24.0,13.9
16,Billy Garrett,0.0,0.0,0.0,-14.3,0.0,0.0,0.0,0.0,21.4,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
