,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Dennis Schroder,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0
1,Russell Westbrook,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,1.0,0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0
2,Steven Adams,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0
3,Patrick Patterson,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,0,2.0,2.0,4.0,3.0,3.0,2.0,0.0,3.0,2.0
4,Abdel Nader,2.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0
5,Andre Roberson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Terrance Ferguson,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0
7,Nerlens Noel,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,2.0
8,Paul George,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0
9,Deonte Burton,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0
10,Jerami Grant,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0
11,Raymond Felton,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0
12,Hamidou Diallo,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,2.0,2.0
13,Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,Markieff Morris,2.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,0.0
15,Jawun Evans,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
