,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Dennis Schroder,56.0,47.0,59.0,56.0,62.0,57.0,126.0,115.0,55.0,90.0,120.0,53.0,112.0,75.0,108.0,66.0,68.0,115.0,78.0,59.0,0,51.0,59.0,137.0,78.0,84.0,93.0,70.0,122.0,44.0
1,Russell Westbrook,66.0,69.0,76.0,67.0,72.0,37.0,110.0,147.0,64.0,65.0,113.0,75.0,101.0,116.0,106.0,32.0,73.0,151.0,139.0,29.0,0,74.0,74.0,70.0,151.0,142.0,116.0,81.0,151.0,63.0
2,Steven Adams,70.0,69.0,62.0,62.0,71.0,67.0,146.0,140.0,52.0,102.0,144.0,69.0,134.0,111.0,83.0,52.0,43.0,129.0,145.0,60.0,0,36.0,67.0,105.0,144.0,133.0,97.0,73.0,149.0,55.0
3,Patrick Patterson,35.0,33.0,7.0,30.0,20.0,30.0,47.0,15.0,23.0,34.0,24.0,0.0,54.0,22.0,21.0,21.0,15.0,33.0,63.0,27.0,0,32.0,19.0,71.0,52.0,38.0,34.0,0.0,31.0,33.0
4,Abdel Nader,24.0,0.0,14.0,4.0,0.0,7.0,37.0,19.0,6.0,22.0,15.0,30.0,21.0,31.0,54.0,31.0,30.0,22.0,26.0,23.0,0,33.0,25.0,35.0,58.0,11.0,54.0,20.0,26.0,16.0
5,Andre Roberson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Terrance Ferguson,23.0,48.0,55.0,40.0,18.0,22.0,70.0,75.0,55.0,59.0,114.0,59.0,92.0,78.0,99.0,60.0,60.0,74.0,106.0,52.0,0,30.0,67.0,60.0,121.0,78.0,108.0,66.0,88.0,51.0
7,Nerlens Noel,16.0,27.0,32.0,33.0,19.0,28.0,46.0,52.0,36.0,37.0,48.0,27.0,56.0,39.0,31.0,21.0,27.0,46.0,56.0,33.0,0,46.0,22.0,65.0,53.0,47.0,9.0,16.0,53.0,33.0
8,Paul George,65.0,75.0,74.0,67.0,77.0,63.0,146.0,160.0,67.0,110.0,156.0,75.0,136.0,116.0,70.0,74.0,38.0,152.0,153.0,59.0,0,75.0,40.0,106.0,161.0,146.0,81.0,76.0,156.0,65.0
9,Deonte Burton,20.0,0.0,19.0,0.0,21.0,16.0,0.0,14.0,9.0,10.0,10.0,0.0,1.0,1.0,10.0,6.0,1.0,0.0,14.0,12.0,0,3.0,0.0,17.0,26.0,17.0,2.0,0.0,10.0,0.0
10,Jerami Grant,67.0,63.0,55.0,64.0,60.0,61.0,125.0,133.0,58.0,88.0,136.0,68.0,117.0,110.0,92.0,70.0,77.0,131.0,92.0,62.0,0,77.0,71.0,138.0,87.0,118.0,105.0,77.0,145.0,67.0
11,Raymond Felton,0.0,0.0,4.0,0.0,5.0,20.0,39.0,8.0,18.0,14.0,23.0,0.0,18.0,13.0,14.0,12.0,24.0,20.0,26.0,17.0,0,0.0,12.0,36.0,24.0,11.0,22.0,0.0,0.0,0.0
12,Hamidou Diallo,11.0,30.0,5.0,27.0,11.0,13.0,31.0,4.0,1.0,29.0,25.0,0.0,31.0,23.0,2.0,8.0,0.0,20.0,16.0,37.0,0,17.0,4.0,47.0,8.0,60.0,26.0,0.0,18.0,23.0
13,Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,Markieff Morris,40.0,35.0,76.0,0.0,0.0,52.0,33.0,29.0,54.0,40.0,77.0,70.0,56.0,22.0,28.0,59.0,26.0,40.0,60.0,55.0,29.0,65.0,41.0,27.0,67.0,57.0,22.0,87.0,25.0,0.0
15,Jawun Evans,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,11.0,0.0
