,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Dennis Schroder,8.0,-5.1,6.6,15.9,11.3,12.1,-1.9,-10.6,37.0,3.5,3.8,-15.4,-13.3,-1.2,5.7,13.4,17.1,-17.6,-4.7,37.0,0,8.7,-2.4,23.9,11.5,-9.3,-11.8,8.7,8.0,-18.6
1,Russell Westbrook,14.5,-8.9,17.5,24.0,16.3,19.5,5.2,-10.9,20.4,6.5,3.3,6.4,6.0,10.5,1.9,14.6,-1.0,4.2,3.7,36.7,0,4.5,4.6,12.0,6.9,-0.9,-5.8,4.7,6.7,2.1
2,Steven Adams,5.6,-6.0,16.0,24.6,14.1,22.1,4.7,-12.4,19.2,-1.5,11.0,5.6,-4.4,16.0,2.3,21.6,-3.5,5.2,6.7,30.0,0,15.2,-13.9,14.6,4.0,-1.6,-0.8,1.8,18.0,16.4
3,Patrick Patterson,-15.8,4.5,-70.5,-3.2,-7.1,24.2,-12.7,-40.8,20.9,1.0,-41.8,0.0,3.7,-15.0,2.4,-11.9,22.6,-19.2,-17.3,50.9,0,-14.7,-63.0,-2.3,12.6,0.0,2.3,0.0,-44.5,15.2
4,Abdel Nader,-41.1,0.0,10.5,-27.3,0.0,34.6,-9.3,1.4,-40.4,-1.7,-39.4,-19.6,-2.1,-4.1,1.7,-42.3,19.0,-23.9,-7.6,2.1,0,-5.4,-16.9,-1.2,-5.4,-9.3,11.0,-30.8,-25.1,-67.1
5,Andre Roberson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Terrance Ferguson,-17.9,-5.1,14.3,10.2,-10.5,-4.7,-6.5,-11.3,13.0,-12.7,10.0,23.5,9.2,7.1,8.6,21.1,3.1,3.5,-5.2,15.1,0,6.8,-1.7,21.4,6.2,-2.3,-6.1,-7.0,10.5,1.6
7,Nerlens Noel,31.3,-10.5,-15.3,-17.4,-34.2,-2.6,-19.7,-0.8,21.5,0.0,-16.3,-1.7,14.7,-29.9,-1.6,-7.1,14.6,-7.8,-14.4,-9.2,0,3.7,35.9,20.9,20.8,8.9,-3.9,-11.5,-35.1,-25.2
8,Paul George,8.4,-15.1,15.6,15.7,14.2,10.2,5.3,-5.4,18.5,-5.7,17.1,6.6,3.5,9.2,11.6,16.0,16.7,3.1,-0.3,26.1,0,14.1,17.1,25.4,17.3,2.8,0.0,-3.4,8.7,9.9
9,Deonte Burton,16.4,0.0,-2.8,0.0,0.8,78.2,0.0,2.9,-21.1,-13.6,109.8,0.0,-100.0,0.0,63.8,-84.8,-100.0,0.0,6.1,20.0,0,-71.4,0.0,-18.4,16.4,-12.5,63.3,0.0,-48.4,0.0
10,Jerami Grant,5.2,-13.0,12.6,17.1,-0.7,15.9,0.7,-13.4,22.4,-4.3,7.3,5.0,-3.8,10.3,2.0,19.9,6.4,1.7,13.4,16.5,0,14.4,12.5,22.6,2.6,-8.3,-10.6,-6.6,17.7,4.1
11,Raymond Felton,0.0,0.0,-88.9,0.0,-40.0,-0.5,2.8,27.5,7.7,-3.4,-2.3,0.0,9.9,-24.7,-3.0,-45.7,-3.6,12.2,16.4,-23.9,0,0.0,16.2,0.0,28.6,7.7,13.6,0.0,0.0,0.0
12,Hamidou Diallo,-95.7,3.4,-44.4,6.0,6.9,-28.6,-3.3,-51.4,100.0,-3.4,-39.6,0.0,-19.9,-8.1,33.3,-102.9,0.0,-18.4,3.1,2.6,0,15.5,-87.5,13.8,-47.1,11.1,8.7,0.0,-15.0,22.2
13,Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0
14,Markieff Morris,16.3,-17.6,1.8,0.0,0.0,-8.9,-23.0,18.5,-6.5,-17.0,8.9,-7.6,11.4,-28.2,3.8,-16.0,28.6,-9.0,-8.0,-3.7,-14.5,-3.2,-32.2,-18.7,-17.5,-3.1,0.0,-10.1,-5.9,0.0
15,Jawun Evans,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,-165.0,0.0,0.0,0.0,-100.0,0.5,0.0,-60.0,0,0.0,0.0,0.0,0.0,0.0,-38.8,0.0,-63.6,0.0
