,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Nikola Vucevic,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0
1,Terrence Ross,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
2,Jerian Grant,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0
3,Jarell Martin,3.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0
4,Timofey Mozgov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D.J. Augustin,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
6,Evan Fournier,4.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
7,Jonathan Isaac,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0
8,Markelle Fultz,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
9,Wesley Iwundu,4.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,0,4.0,0.0,1.0,1.0,2.0,4.0,1.0,3.0
10,Khem Birch,3.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0
11,Mohamed Bamba,1.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0
12,Melvin Frazier,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aaron Gordon,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0
14,Troy Caupain,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Amile Jefferson,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,Michael Carter-Williams,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
