,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Nikola Vucevic,127.0,97.0,98.0,124.0,71.0,90.0,61.0,65.0,140.0,63.0,69.0,124.0,64.0,67.0,76.0,125.0,78.0,59.0,53.0,125.0,68.0,0,139.0,71.0,60.0,52.0,32.0,124.0,61.0,129.0
1,Terrence Ross,102.0,76.0,81.0,108.0,89.0,85.0,52.0,55.0,120.0,54.0,59.0,109.0,47.0,45.0,64.0,114.0,72.0,55.0,41.0,88.0,58.0,0,85.0,67.0,55.0,51.0,53.0,96.0,52.0,117.0
2,Jerian Grant,8.0,18.0,19.0,48.0,56.0,43.0,35.0,40.0,25.0,19.0,20.0,38.0,23.0,38.0,17.0,72.0,30.0,4.0,10.0,51.0,16.0,0,27.0,31.0,46.0,27.0,39.0,52.0,14.0,74.0
3,Jarell Martin,35.0,2.0,0.0,8.0,45.0,19.0,5.0,6.0,22.0,1.0,0.0,4.0,10.0,3.0,7.0,4.0,29.0,4.0,10.0,28.0,0.0,0,16.0,0.0,18.0,6.0,13.0,9.0,5.0,20.0
4,Timofey Mozgov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D.J. Augustin,112.0,88.0,85.0,119.0,74.0,82.0,53.0,55.0,132.0,56.0,59.0,95.0,52.0,56.0,74.0,103.0,71.0,59.0,44.0,112.0,64.0,0,119.0,70.0,50.0,46.0,57.0,101.0,64.0,118.0
6,Evan Fournier,126.0,107.0,105.0,132.0,109.0,96.0,33.0,70.0,129.0,60.0,68.0,132.0,59.0,61.0,53.0,110.0,90.0,64.0,63.0,121.0,65.0,0,127.0,67.0,67.0,54.0,57.0,129.0,70.0,126.0
7,Jonathan Isaac,109.0,72.0,97.0,102.0,63.0,54.0,58.0,46.0,94.0,56.0,54.0,106.0,39.0,41.0,61.0,103.0,83.0,57.0,58.0,82.0,56.0,0,101.0,52.0,61.0,48.0,25.0,110.0,60.0,49.0
8,Markelle Fultz,25.0,24.0,26.0,32.0,68.0,0.0,0.0,0.0,44.0,0.0,0.0,26.0,21.0,0.0,25.0,25.0,27.0,0.0,0.0,0.0,0.0,43.0,0.0,7.0,0.0,0.0,0.0,19.0,14.0,0.0
9,Wesley Iwundu,74.0,31.0,32.0,62.0,82.0,47.0,49.0,24.0,70.0,30.0,15.0,58.0,51.0,26.0,44.0,19.0,49.0,33.0,40.0,83.0,18.0,0,77.0,0.0,12.0,26.0,30.0,84.0,16.0,51.0
10,Khem Birch,43.0,32.0,16.0,17.0,57.0,31.0,35.0,6.0,28.0,18.0,13.0,36.0,7.0,2.0,25.0,17.0,25.0,21.0,35.0,34.0,14.0,0,30.0,0.0,0.0,11.0,19.0,37.0,17.0,18.0
11,Mohamed Bamba,13.0,19.0,30.0,46.0,37.0,21.0,0.0,31.0,27.0,15.0,14.0,32.0,34.0,27.0,0.0,55.0,41.0,17.0,0.0,34.0,14.0,0,23.0,30.0,39.0,37.0,41.0,26.0,18.0,45.0
12,Melvin Frazier,8.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,9.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aaron Gordon,92.0,116.0,93.0,143.0,123.0,103.0,63.0,72.0,132.0,58.0,75.0,141.0,60.0,60.0,70.0,143.0,60.0,63.0,64.0,102.0,73.0,0,138.0,76.0,28.0,68.0,73.0,129.0,64.0,148.0
14,Troy Caupain,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Amile Jefferson,8.0,0.0,0.0,0.0,34.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
16,Michael Carter-Williams,36.0,16.0,6.0,3.0,22.0,4.0,7.0,0.0,14.0,4.0,0.0,18.0,36.0,2.0,15.0,18.0,0.0,0.0,36.0,24.0,0.0,0,20.0,0.0,15.0,2.0,9.0,25.0,32.0,7.0
