,Name,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,Nikola Vucevic,26.2,3.5,7.9,9.9,-14.0,10.7,-9.9,-12.8,-1.1,0.7,13.9,-7.1,-24.6,18.6,-10.1,2.8,1.9,-6.5,48.9,13.3,-3.6,0,12.6,12.5,-17.9,-14.8,16.2,12.6,0.0,5.7
1,Terrence Ross,19.5,3.7,-4.2,4.7,4.1,-5.8,-12.5,-14.3,-13.7,5.1,-10.3,8.6,-24.5,18.3,20.8,13.2,-1.0,2.8,7.5,10.9,-0.4,0,12.0,-6.9,-4.0,-11.7,-15.4,-4.1,-21.2,-5.5
2,Jerian Grant,-17.6,-28.1,-10.5,3.9,-6.4,15.1,7.0,-0.5,-53.8,-23.9,-32.9,-2.8,-18.7,1.8,40.7,-4.2,-18.8,46.4,-32.7,-2.9,-8.8,0,-32.8,-11.1,-6.0,11.1,-27.2,9.4,1.0,0.7
3,Jarell Martin,25.5,-175.0,0.0,-19.2,20.6,2.7,18.2,9.8,-43.3,-33.3,0.0,26.8,8.8,21.4,58.3,-78.6,-4.8,46.4,-29.7,38.6,0.0,0,-13.6,0.0,-35.2,49.0,-3.1,57.6,39.0,7.7
4,Timofey Mozgov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D.J. Augustin,28.1,3.5,9.1,6.6,-9.4,14.0,-21.9,-26.7,3.3,9.4,16.2,-16.2,-18.2,14.0,-17.5,2.7,-1.4,-11.4,49.7,13.7,-4.6,0,8.9,18.8,-9.2,-19.6,-8.3,17.9,0.0,-3.9
6,Evan Fournier,28.3,5.6,6.9,5.9,-17.7,5.2,-9.1,-15.1,-6.3,1.9,11.5,-12.8,-14.4,9.8,-8.0,-22.2,0.5,-14.7,37.3,20.9,0.1,0,10.6,26.3,-2.4,-18.1,-5.3,8.9,4.2,-2.4
7,Jonathan Isaac,26.1,4.1,2.4,3.5,-2.3,26.6,-7.7,-7.3,-5.6,-15.4,7.7,-3.3,-27.8,9.3,-26.1,-0.8,1.8,-5.7,42.0,-2.5,-4.1,0,4.8,30.6,-2.6,-16.8,-40.6,6.4,5.1,3.3
8,Markelle Fultz,-7.0,-29.6,-9.1,5.5,7.8,0.0,0.0,0.0,16.9,0.0,0.0,28.6,34.8,0.0,-12.4,-13.7,-10.0,0.0,0.0,0.0,0.0,-5.9,0.0,7.7,0.0,0.0,0.0,-9.3,-29.0,0.0
9,Wesley Iwundu,8.8,8.7,-11.8,6.6,-10.9,-6.4,-2.1,-34.5,24.0,-6.3,-3.0,31.2,-30.8,-12.7,-14.7,-7.8,9.8,19.0,28.4,22.7,-26.7,0,-6.4,0.0,-60.9,-5.0,-5.3,18.9,-46.9,2.2
10,Khem Birch,5.3,18.2,-14.3,-2.9,18.7,-14.2,-8.6,9.8,-7.8,2.6,-32.0,32.8,30.8,-50.0,20.8,-57.9,26.6,11.9,11.5,-1.4,15.5,0,20.1,0.0,0.0,46.2,-53.9,8.2,-29.7,-47.5
11,Mohamed Bamba,42.1,-7.8,0.0,3.6,-38.9,12.0,0.0,-21.2,-30.0,6.0,-28.6,-12.3,-30.6,-11.7,0.0,1.0,-30.0,-11.8,0.0,12.0,-52.5,0,-87.5,2.6,-1.9,-22.3,-21.6,-30.4,5.9,-7.8
12,Melvin Frazier,-17.6,0.0,0.0,0.0,80.0,-23.3,18.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,14.3,0.0,-34.0,-50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Aaron Gordon,22.0,7.7,7.6,5.5,4.1,8.1,-12.8,-15.0,-0.4,19.0,6.7,-5.7,-5.7,7.7,-0.1,7.6,-5.8,-15.7,35.9,5.6,-16.1,0,9.7,13.9,0.1,-19.6,-13.6,4.5,-13.9,-6.2
14,Troy Caupain,0.0,0.0,0.0,16.7,82.7,-23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Amile Jefferson,-17.6,0.0,0.0,0.0,28.4,-23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,-34.0,0.0,0.0,0,-33.9,0.0,0.0,0.0,0.0,61.5,0.0,0.0
16,Michael Carter-Williams,4.8,-7.6,-60.0,-50.0,40.0,-66.7,8.2,0.0,-26.3,-71.4,0.0,33.3,-21.0,-100.0,42.1,-21.7,0.0,0.0,11.2,52.1,0.0,0,33.0,0.0,-19.8,0.0,-15.8,-8.9,-10.8,-56.7
